estacion,hora,q_cafes_llevar_mas_1
Congreso,19,239.0000
Zarate Brazo Largo,1,86.0000
Garay,19,372.0000
Gral Paz Provincia,19,1705.0000
AUBASA BA-LP,23,492.0000
Zarate Brazo Largo,0,85.0000
Bulnes,11,551.0000
Lima,12,1950.0000
Florencio Varela,5,260.0000
Trelles,2,77.0000
Pilar,0,163.0000
Buen Ayre,9,2729.0000
Florencio Varela,7,916.0000
Gral Paz Provincia,10,2514.0000
La Bandera,21,81.0000
Pilar,7,628.0000
Centenera,18,187.0000
Libertador,16,579.0000
Lima,4,708.0000
Parque Sarmiento,18,408.0000
La Carmela,6,537.0000
Arroyo Seco,1,634.0000
Olivos,10,319.0000
Florencio Varela,4,93.0000
Gral Paz Capital,2,309.0000
Villa Allende,9,1583.0000
Congreso,18,402.0000
Floresta,8,386.0000
Villa Allende,15,338.0000
Lima,16,3424.0000
Del Tejar,15,277.0000
Santa Fe,19,46.0000
Villa Allende,17,878.0000
Los Incas,3,null
San Isidro,9,868.0000
Maipu,16,281.0000
Alvear,7,1520.0000
Buen Ayre,15,1028.0000
Arroyo Seco,12,2532.0000
Quilmes,7,1119.0000
AUBASA BA-LP,0,513.0000
Garay,2,103.0000
La Carmela,9,603.0000
Trelles,15,155.0000
Fisherton,17,2209.0000
El Club,17,2278.0000
Trelles,14,94.0000
AUBASA BA-LP,15,1458.0000
DISC Echeverria,7,56.0000
Maipu,8,286.0000
San Isidro,4,115.0000
Santa Rita,20,156.0000
Maschwitz,6,101.0000
Laferrere,0,171.0000
America,12,197.0000
Arroyo Seco,6,3542.0000
Fisherton,19,1517.0000
Parque Sarmiento,7,322.0000
La Bandera,11,975.0000
Lima,9,7328.0000
Boulevard,8,877.0000
Quilmes,13,195.0000
Zarate Brazo Largo,18,195.0000
Centenera,1,30.0000
Santa Rita,6,335.0000
DISC Caraffa,11,306.0000
Trelles,9,310.0000
Libertador,6,398.0000
Arroyo Seco,15,3402.0000
Gral Paz Provincia,12,947.0000
Lima,15,2324.0000
Floresta,4,102.0000
Garay,6,262.0000
Ovidio Lagos,20,207.0000
DISC Caraffa,16,153.0000
Gutierrez,10,567.0000
Bonpland,8,1163.0000
Dialogos,10,916.0000
San Isidro,10,909.0000
Luis Viale,3,96.0000
AUBASA LP-BA,9,2764.0000
Quilmes,19,299.0000
AUBASA LP-BA,3,203.0000
Garay,9,660.0000
Quilmes,10,848.0000
San Isidro,7,567.0000
Dialogos,15,274.0000
Alvear,23,498.0000
Buen Ayre,20,578.0000
Florencio Varela,15,273.0000
Cabildo,9,57.0000
Zarate Brazo Largo,21,61.0000
Quilmes,15,353.0000
Floresta,5,515.0000
Alvear,20,533.0000
Villa Luro,16,834.0000
Arroyo Seco,4,453.0000
San Isidro,2,142.0000
Quilmes,0,177.0000
Arroyo Seco,23,523.0000
Quilmes,1,116.0000
Florencio Varela,22,101.0000
Dialogos,23,103.0000
Del Tejar,14,228.0000
DISC Echeverria,12,12.0000
Villa Luro,4,217.0000
Amanecer,17,371.0000
Alvear,2,437.0000
Quilmes,12,336.0000
San Isidro,8,660.0000
Alsina,17,297.0000
Gutierrez,5,189.0000
Bulnes,14,85.0000
Laferrere,17,306.0000
CORS EVENTOS,8,1.0000
Del Tejar,0,176.0000
Maschwitz,18,96.0000
Las Heras,15,105.0000
DISC Echeverria,8,57.0000
Luis Viale,17,503.0000
Libertador,3,88.0000
CORS EVENTOS,16,6.0000
America,22,86.0000
Cabildo,17,29.0000
Emilio Castro,10,149.0000
Luis Viale,16,423.0000
Libertador,2,124.0000
Lima,22,584.0000
Santa Rita,14,277.0000
America,0,96.0000
Zarate Brazo Largo,12,188.0000
Ovidio Lagos,3,67.0000
La Bandera,7,605.0000
Bulnes,9,532.0000
Ovidio Lagos,5,119.0000
Las Heras,6,232.0000
Congreso,2,50.0000
Las Heras,18,179.0000
Del Tejar,4,28.0000
Emilio Castro,0,33.0000
DISC Caraffa,8,177.0000
Pilar,2,89.0000
Zarate,1,24.0000
Santa Rita,1,119.0000
Maschwitz,9,177.0000
Parque Sarmiento,21,92.0000
Congreso,3,49.0000
Floresta,1,102.0000
Zarate Brazo Largo,2,86.0000
Congreso,12,250.0000
Maipu,22,49.0000
Fisherton,22,60.0000
America,4,42.0000
Congreso,15,320.0000
AUBASA LP-BA,22,314.0000
Maschwitz,16,54.0000
San Isidro,23,100.0000
Villa Luro,3,144.0000
Del Tejar,12,269.0000
Buen Ayre,3,175.0000
Dialogos,22,72.0000
Alsina,1,154.0000
Alsina,3,123.0000
Alberdi,7,43.0000
Emilio Castro,23,22.0000
DISC Echeverria,5,51.0000
CORS EVENTOS,13,null
Alberdi,6,38.0000
America,23,94.0000
Florencio Varela,21,84.0000
Trelles,3,70.0000
Zarate Brazo Largo,17,168.0000
Pilar,13,159.0000
Congreso,13,163.0000
Congreso,20,76.0000
El Club,4,114.0000
Trelles,20,61.0000
Parque Sarmiento,4,8.0000
DISC Echeverria,6,71.0000
Trelles,23,70.0000
Las Heras,21,50.0000
Trelles,13,111.0000
Congreso,4,60.0000
Emilio Castro,21,36.0000
Floresta,14,130.0000
Amanecer,22,96.0000
Dialogos,1,42.0000
Amanecer,5,122.0000
La Carmela,23,62.0000
Santa Fe,18,62.0000
Maschwitz,1,38.0000
Alberdi,11,55.0000
Fisherton,5,37.0000
Disc Panamericana,15,19.0000
Los Incas,6,6.0000
DISC Caraffa,20,75.0000
Santa Fe,12,27.0000
Cabildo,5,22.0000
Laferrere,15,158.0000
Amanecer,4,68.0000
Los Incas,12,null
Cabildo,14,36.0000
Maschwitz,10,122.0000
Villa Allende,3,23.0000
Los Incas,1,null
Maschwitz,21,11.0000
Disc Panamericana,1,null
DISC Echeverria,15,17.0000
Los Incas,19,6.0000
Maschwitz,3,18.0000
Cabildo,22,6.0000
Alberdi,18,32.0000
Centenera,23,36.0000
Los Incas,2,2.0000
DISC Caraffa,22,19.0000
DISC Echeverria,21,13.0000
DISC Echeverria,1,13.0000
Los Incas,4,null
Alberdi,23,16.0000
DISC Echeverria,3,26.0000
Centenera,22,25.0000
Disc Panamericana,0,null
Alberdi,4,4.0000
Disc Panamericana,5,null
Villa Allende,4,4.0000
CORS EVENTOS,18,null
DISC Caraffa,0,null
Disc Panamericana,22,null
