estacion,hora,q_cafes_llevar_mas_1
Gral Paz Provincia,1,599.0000
Santa Rita,12,250.0000
Gutierrez,8,642.0000
El Club,3,155.0000
Luis Viale,19,282.0000
Amanecer,23,130.0000
Santa Fe,15,27.0000
Congreso,1,70.0000
Buen Ayre,2,217.0000
Maipu,7,148.0000
Olivos,22,113.0000
Cabildo,10,89.0000
Centenera,19,115.0000
Congreso,14,226.0000
Gutierrez,22,94.0000
America,21,102.0000
Del Tejar,3,67.0000
Amanecer,15,237.0000
Quilmes,23,126.0000
Libertador,12,302.0000
Emilio Castro,6,168.0000
Floresta,2,126.0000
Olivos,13,131.0000
Emilio Castro,13,99.0000
Floresta,13,107.0000
Maschwitz,12,58.0000
Del Tejar,20,114.0000
Luis Viale,0,130.0000
Trelles,19,126.0000
Olivos,17,367.0000
Floresta,18,306.0000
Maipu,15,122.0000
Floresta,20,119.0000
Luis Viale,2,95.0000
Emilio Castro,19,55.0000
Maipu,5,99.0000
El Arco,21,223.0000
DISC Caraffa,14,47.0000
Quilmes,3,92.0000
America,5,110.0000
Garay,1,93.0000
Santa Rita,8,450.0000
Zarate,16,97.0000
Zarate Brazo Largo,13,144.0000
Cabildo,3,23.0000
Las Heras,2,54.0000
La Carmela,3,112.0000
Congreso,21,53.0000
Alsina,14,198.0000
Santa Rita,21,69.0000
Maschwitz,15,69.0000
Quilmes,22,91.0000
Emilio Castro,5,105.0000
Zarate,23,37.0000
Zarate,2,31.0000
Maschwitz,0,18.0000
Laferrere,2,112.0000
Los Incas,10,7.0000
Amanecer,13,157.0000
Zarate Brazo Largo,22,90.0000
Villa Allende,14,216.0000
Laferrere,21,138.0000
Disc Panamericana,16,14.0000
Congreso,23,64.0000
La Carmela,22,68.0000
Disc Panamericana,7,12.0000
Dialogos,21,93.0000
Emilio Castro,14,26.0000
Olivos,5,106.0000
Centenera,4,31.0000
Zarate,14,56.0000
Maipu,0,170.0000
Bulnes,6,40.0000
Los Incas,8,3.0000
Alberdi,0,24.0000
Los Incas,11,5.0000
Cabildo,12,32.0000
Los Incas,5,null
DISC Echeverria,0,31.0000
Quilmes,21,74.0000
Alberdi,20,13.0000
DISC Echeverria,2,34.0000
Alberdi,21,15.0000
Alberdi,13,28.0000
Dialogos,2,6.0000
Disc Panamericana,21,8.0000
Alberdi,16,59.0000
Alberdi,1,22.0000
Alberdi,2,27.0000
Disc Panamericana,6,9.0000
Maschwitz,4,38.0000
DISC Echeverria,13,12.0000
Zarate,5,2.0000
Disc Panamericana,2,null
Boulevard,16,686.0000
AUBASA LP-BA,20,862.0000
Trelles,6,199.0000
Trelles,1,100.0000
Florencio Varela,2,103.0000
La Bandera,15,527.0000
Florencio Varela,11,615.0000
Zarate Brazo Largo,16,197.0000
Alvear,11,1194.0000
Amanecer,0,163.0000
Libertador,15,422.0000
El Club,6,536.0000
Luis Viale,14,216.0000
Luis Viale,6,162.0000
Santa Rita,5,352.0000
El Club,13,921.0000
Fisherton,16,1233.0000
AUBASA BA-LP,11,2700.0000
Villa Allende,7,859.0000
AUBASA BA-LP,14,963.0000
Bonpland,7,723.0000
La Carmela,17,253.0000
Luis Viale,10,462.0000
DISC Caraffa,19,89.0000
Bonpland,4,238.0000
CORS EVENTOS,17,1.0000
Laferrere,20,224.0000
America,18,533.0000
Maipu,23,107.0000
El Arco,13,270.0000
Parque Sarmiento,19,342.0000
Olivos,8,756.0000
Quilmes,14,258.0000
Lima,23,611.0000
Los Incas,7,9.0000
Santa Fe,7,98.0000
Zarate,8,299.0000
Florencio Varela,9,1185.0000
AUBASA BA-LP,20,715.0000
Gutierrez,23,138.0000
Gral Paz Capital,21,306.0000
El Arco,16,514.0000
Maipu,11,245.0000
Zarate,15,85.0000
Pilar,11,717.0000
Buen Ayre,13,499.0000
DISC Caraffa,7,145.0000
Ovidio Lagos,6,308.0000
Del Tejar,17,456.0000
Fisherton,20,528.0000
Gral Paz Provincia,2,566.0000
Alsina,16,275.0000
Florencio Varela,17,685.0000
Libertador,17,887.0000
Trelles,10,317.0000
AUBASA LP-BA,6,761.0000
Fisherton,12,1110.0000
Santa Rita,13,169.0000
Alvear,19,914.0000
Lima,10,6191.0000
Lima,3,529.0000
Maipu,14,141.0000
Alsina,4,124.0000
Arroyo Seco,3,543.0000
Gral Paz Provincia,23,528.0000
Cabildo,18,42.0000
Quilmes,16,421.0000
Zarate,6,280.0000
San Isidro,15,386.0000
Laferrere,3,127.0000
El Arco,17,761.0000
Disc Panamericana,11,30.0000
La Carmela,15,190.0000
Boulevard,17,904.0000
Zarate Brazo Largo,20,80.0000
Lima,20,1521.0000
Gral Paz Provincia,22,396.0000
AUBASA LP-BA,5,444.0000
Libertador,21,140.0000
Laferrere,16,281.0000
Centenera,2,33.0000
Libertador,19,488.0000
Olivos,11,748.0000
Gral Paz Capital,0,439.0000
Zarate,0,55.0000
Arroyo Seco,14,2449.0000
Disc Panamericana,18,24.0000
Maipu,20,75.0000
San Isidro,14,291.0000
Dialogos,0,128.0000
Bonpland,18,1033.0000
Gral Paz Provincia,0,570.0000
Villa Luro,22,203.0000
Laferrere,9,567.0000
Zarate,17,177.0000
Villa Luro,15,631.0000
