estacion,hora,q_cafes_llevar_solo,q_cafes_local_solo,q_cafes_llevar_solo_leche,q_cafes_llevar_solo_otros,q_cafes_local_solo_leche,q_cafes_local_solo_otros,q_cafes_llevar_solo_otros_negro,q_cafes_local_solo_otros_negro
Anchorena,20,null,25.0000,null,null,11.0000,14.0000,null,25.0000
Villa Allende,3,5.0000,4.0000,null,5.0000,null,4.0000,null,4.0000
AUBASA LP-BA,10,309.0000,262.0000,112.0000,197.0000,26.0000,236.0000,57.0000,169.0000
Laferrere,17,32.0000,81.0000,21.0000,11.0000,10.0000,71.0000,4.0000,20.0000
Alsina,1,57.0000,85.0000,10.0000,47.0000,3.0000,82.0000,30.0000,85.0000
AUBASA BA-LP,17,224.0000,178.0000,66.0000,158.0000,30.0000,148.0000,51.0000,141.0000
Gral Paz Provincia,3,116.0000,91.0000,38.0000,78.0000,13.0000,78.0000,31.0000,55.0000
Los Incas,1,13.0000,3.0000,7.0000,6.0000,null,3.0000,5.0000,3.0000
Maipu,9,100.0000,176.0000,48.0000,52.0000,19.0000,157.0000,null,176.0000
Buen Ayre,5,60.0000,39.0000,40.0000,20.0000,2.0000,37.0000,10.0000,32.0000
Mitre,18,null,null,null,null,null,null,null,null
Bonpland,23,76.0000,141.0000,32.0000,44.0000,11.0000,130.0000,24.0000,111.0000
AUBASA BA-LP,7,412.0000,190.0000,175.0000,237.0000,70.0000,120.0000,86.0000,170.0000
La Carmela,7,214.0000,75.0000,96.0000,118.0000,19.0000,56.0000,40.0000,75.0000
AUBASA BA-LP,10,395.0000,281.0000,144.0000,251.0000,47.0000,234.0000,93.0000,217.0000
America,3,33.0000,45.0000,20.0000,13.0000,null,45.0000,3.0000,45.0000
Los Incas,20,28.0000,null,13.0000,15.0000,null,null,5.0000,null
Quilmes,6,96.0000,57.0000,39.0000,57.0000,14.0000,43.0000,14.0000,41.0000
Olivos,9,176.0000,170.0000,150.0000,26.0000,27.0000,143.0000,5.0000,168.0000
Fisherton,3,3.0000,21.0000,null,3.0000,null,21.0000,3.0000,21.0000
CORS EVENTOS,8,50.0000,null,30.0000,20.0000,null,null,9.0000,null
Gral Paz Provincia,17,151.0000,277.0000,72.0000,79.0000,23.0000,254.0000,21.0000,198.0000
Zarate,9,130.0000,23.0000,79.0000,51.0000,6.0000,17.0000,7.0000,21.0000
Gral Paz Capital,10,396.0000,493.0000,228.0000,168.0000,null,493.0000,142.0000,493.0000
Bonpland,10,276.0000,380.0000,152.0000,124.0000,50.0000,330.0000,26.0000,290.0000
DISC Echeverria,6,null,70.0000,null,null,null,70.0000,null,18.0000
Del Tejar,0,36.0000,93.0000,6.0000,30.0000,6.0000,87.0000,6.0000,93.0000
DISC Caraffa,20,1.0000,22.0000,null,1.0000,5.0000,17.0000,null,15.0000
Zarate,22,23.0000,7.0000,15.0000,8.0000,2.0000,5.0000,3.0000,7.0000
Garay,18,80.0000,260.0000,13.0000,67.0000,10.0000,250.0000,4.0000,182.0000
AUBASA BA-LP,16,238.0000,196.0000,47.0000,191.0000,30.0000,166.0000,57.0000,151.0000
Laferrere,1,24.0000,46.0000,8.0000,16.0000,5.0000,41.0000,3.0000,28.0000
Floresta,9,125.0000,120.0000,44.0000,81.0000,7.0000,113.0000,13.0000,120.0000
Las Heras,21,20.0000,25.0000,3.0000,17.0000,1.0000,24.0000,7.0000,11.0000
Maschwitz,18,null,59.0000,null,null,null,59.0000,null,45.0000
Arroyo Seco,17,968.0000,782.0000,430.0000,538.0000,89.0000,693.0000,136.0000,409.0000
