estacion,hora,q_cafes_llevar_algo,q_cafes_local_algo,q_cafes_llevar_algo_leche,q_cafes_llevar_algo_otros,q_cafes_local_algo_leche,q_cafes_local_algo_otros
Santa Fe,6,234.0000,52.0000,160.0000,74.0000,23.0000,29.0000
Quilmes,8,1683.0000,2277.0000,965.0000,718.0000,1234.0000,1043.0000
Buen Ayre,0,271.0000,396.0000,90.0000,181.0000,109.0000,287.0000
Del Tejar,23,136.0000,232.0000,83.0000,53.0000,54.0000,178.0000
Maipu,12,109.0000,488.0000,74.0000,35.0000,122.0000,366.0000
Maipu,13,119.0000,398.0000,77.0000,42.0000,144.0000,254.0000
Gral Paz Capital,9,4242.0000,4433.0000,2457.0000,1785.0000,null,4433.0000
La Bandera,20,56.0000,312.0000,36.0000,20.0000,41.0000,271.0000
Bulnes,10,350.0000,1137.0000,220.0000,130.0000,457.0000,680.0000
Laferrere,8,1030.0000,1465.0000,610.0000,420.0000,997.0000,468.0000
Luis Viale,22,52.0000,227.0000,10.0000,42.0000,22.0000,205.0000
Rosario Sur,13,null,null,null,null,null,null
Centenera,11,247.0000,577.0000,116.0000,131.0000,226.0000,351.0000
Amanecer,12,310.0000,592.0000,125.0000,185.0000,null,592.0000
AUBASA BA-LP,12,1495.0000,1955.0000,666.0000,829.0000,679.0000,1276.0000
Garay,20,186.0000,556.0000,66.0000,120.0000,122.0000,434.0000
La Bandera,13,146.0000,803.0000,105.0000,41.0000,171.0000,632.0000
Ovidio Lagos,10,559.0000,1741.0000,149.0000,410.0000,259.0000,1482.0000
Fisherton,2,41.0000,99.0000,2.0000,39.0000,null,99.0000
Disc Panamericana,17,26.0000,25.0000,4.0000,22.0000,1.0000,24.0000
Parque Sarmiento,23,154.0000,86.0000,136.0000,18.0000,10.0000,76.0000
Bonpland,5,408.0000,702.0000,240.0000,168.0000,395.0000,307.0000
Boulevard,22,null,null,null,null,null,null
Gral Paz Provincia,13,528.0000,1077.0000,210.0000,318.0000,301.0000,776.0000
Congreso,22,151.0000,121.0000,52.0000,99.0000,25.0000,96.0000
Bonpland,1,214.0000,392.0000,102.0000,112.0000,96.0000,296.0000
Trelles,17,298.0000,486.0000,163.0000,135.0000,205.0000,281.0000
Santa Fe,13,59.0000,41.0000,21.0000,38.0000,4.0000,37.0000
DISC Caraffa,15,15.0000,163.0000,null,15.0000,21.0000,142.0000
Alberdi,19,null,51.0000,null,null,null,51.0000
Ovidio Lagos,12,205.0000,693.0000,58.0000,147.0000,95.0000,598.0000
Bulnes,8,414.0000,1057.0000,287.0000,127.0000,485.0000,572.0000
Buen Ayre,14,551.0000,1184.0000,266.0000,285.0000,252.0000,932.0000
Zarate Brazo Largo,3,85.0000,93.0000,70.0000,15.0000,9.0000,84.0000
Bulnes,20,29.0000,319.0000,20.0000,9.0000,122.0000,197.0000
El Arco,19,604.0000,1539.0000,321.0000,283.0000,578.0000,961.0000
Maschwitz,17,null,167.0000,null,null,null,167.0000
Villa Luro,13,340.0000,843.0000,134.0000,206.0000,313.0000,530.0000
AUBASA BA-LP,3,602.0000,366.0000,277.0000,325.0000,131.0000,235.0000
Dialogos,3,1.0000,2.0000,1.0000,null,2.0000,null
Alsina,18,544.0000,1059.0000,143.0000,401.0000,269.0000,790.0000
Fisherton,18,534.0000,3637.0000,82.0000,452.0000,null,3637.0000
El Club,12,481.0000,1681.0000,254.0000,227.0000,605.0000,1076.0000
Arroyo Seco,8,9731.0000,12123.0000,5414.0000,4317.0000,6607.0000,5516.0000
AUBASA LP-BA,0,616.0000,489.0000,198.0000,418.0000,113.0000,376.0000
Dialogos,16,402.0000,824.0000,245.0000,157.0000,450.0000,374.0000
Anchorena,19,null,null,null,null,null,null
Buen Ayre,17,1487.0000,3328.0000,916.0000,571.0000,1615.0000,1713.0000
Rosario Sur,1,null,null,null,null,null,null
El Club,18,994.0000,3978.0000,579.0000,415.0000,2053.0000,1925.0000
Libertador,8,1291.0000,2179.0000,739.0000,552.0000,1100.0000,1079.0000
Las Heras,23,109.0000,92.0000,76.0000,33.0000,31.0000,61.0000
Garay,10,748.0000,1973.0000,431.0000,317.0000,802.0000,1171.0000
DISC Echeverria,17,null,31.0000,null,null,null,31.0000
