estacion,hora,dia_semana,q_cafes_llevar_algo_leche_sinbakery_alfajor_cachafaz,q_cafes_llevar_algo_otros_sinbakery_alfajor_cachafaz,q_cafes_local_algo_leche_sinbakery_alfajor_cachafaz,q_cafes_local_algo_otros_sinbakery_alfajor_cachafaz
Lima,13,3,6.0000,6.0000,,6.0000
Arroyo Seco,17,3,33.0000,16.0000,5.0000,16.0000
Trelles,13,1,,,,
Los Incas,17,7,1.0000,,,
Cabildo,1,4,,,2.0000,1.0000
Alsina,7,2,1.0000,,,1.0000
Lima,21,5,3.0000,5.0000,3.0000,3.0000
Lima,13,2,,4.0000,,8.0000
Olivos,20,5,1.0000,,,
El Club,6,5,1.0000,,2.0000,2.0000
Centenera,16,2,,,,
Lima,22,5,1.0000,1.0000,1.0000,
Gutierrez,18,5,,,1.0000,2.0000
Arroyo Seco,17,1,30.0000,36.0000,12.0000,36.0000
Buen Ayre,8,7,2.0000,4.0000,8.0000,
Gral Paz Capital,23,3,,2.0000,2.0000,6.0000
Buen Ayre,16,1,2.0000,11.0000,1.0000,21.0000
Gral Paz Provincia,21,6,,3.0000,,1.0000
AUBASA LP-BA,11,5,8.0000,7.0000,,6.0000
Luis Viale,16,5,,3.0000,,
Emilio Castro,22,6,,,,
Alsina,8,5,2.0000,,1.0000,1.0000
Gral Paz Provincia,22,6,2.0000,5.0000,,10.0000
Arroyo Seco,8,6,16.0000,12.0000,3.0000,9.0000
Trelles,23,1,,,,
Parque Sarmiento,21,2,,,,5.0000
AUBASA BA-LP,0,5,,,,1.0000
Alvear,14,2,2.0000,2.0000,,5.0000
OPERADOR LOGISTICO 2,7,6,,,,35636.0000
Gral Paz Capital,21,5,,3.0000,,2.0000
El Club,17,7,1.0000,,5.0000,6.0000
AUBASA LP-BA,9,5,5.0000,7.0000,,2.0000
Gral Paz Capital,2,6,,2.0000,1.0000,8.0000
La Carmela,4,7,,1.0000,,
Fisherton,23,3,,,,13.0000
AUBASA BA-LP,8,6,11.0000,3.0000,,2.0000
Los Incas,23,6,,,,
San Isidro,5,1,,,,
Gral Paz Provincia,12,2,,,,4.0000
Gutierrez,22,5,,,,
Villa Luro,3,6,1.0000,1.0000,,1.0000
AUBASA BA-LP,12,3,5.0000,2.0000,,3.0000
Zarate Brazo Largo,15,7,3.0000,6.0000,,3.0000
Dialogos,15,2,1.0000,,,2.0000
Zarate Brazo Largo,16,4,2.0000,3.0000,,4.0000
Los Incas,13,1,,,,
Santa Rita,5,2,1.0000,,,
Alsina,14,3,,,,2.0000
Maschwitz,6,5,,1.0000,,
Cabildo,12,4,1.0000,,,2.0000
Zarate Brazo Largo,9,4,,1.0000,1.0000,3.0000
Buen Ayre,2,3,1.0000,,1.0000,
Quilmes,23,7,,1.0000,1.0000,
Lima,19,4,2.0000,12.0000,,1.0000
Arroyo Seco,16,7,32.0000,27.0000,13.0000,35.0000
La Bandera,16,7,,1.0000,,2.0000
Buen Ayre,13,3,,4.0000,1.0000,6.0000
AUBASA BA-LP,17,6,7.0000,15.0000,2.0000,7.0000
Villa Allende,18,4,,,,1.0000
Zarate Brazo Largo,13,7,,1.0000,1.0000,1.0000
La Bandera,12,3,,1.0000,,
Gral Paz Provincia,9,5,3.0000,2.0000,,
El Club,5,6,,1.0000,,1.0000
Arroyo Seco,14,1,18.0000,15.0000,1.0000,28.0000
Alberdi,3,1,,,,
Zarate,18,3,,,,
Villa Luro,0,4,,3.0000,2.0000,10.0000
Santa Rita,19,6,,2.0000,,2.0000
Alvear,18,3,,6.0000,,7.0000
Maipu,21,6,,1.0000,,3.0000
Amanecer,11,5,1.0000,,,
Gutierrez,14,1,,,,
Garay,5,1,,1.0000,1.0000,2.0000
Gutierrez,3,5,,1.0000,,
OPERADOR LOGISTICO 2,7,1,,,,4818.0000
Laferrere,15,5,,,,3.0000
Quilmes,0,5,1.0000,1.0000,,6.0000
Alvear,13,5,,3.0000,2.0000,4.0000
Ovidio Lagos,16,3,,,,4.0000
Garay,12,3,,2.0000,,
OPERADOR LOGISTICO 2,15,3,,,,1605.0000
Floresta,0,2,,,1.0000,1.0000
Gutierrez,8,4,,2.0000,1.0000,
Parque Sarmiento,15,4,,1.0000,3.0000,1.0000
Pilar,15,4,3.0000,,,6.0000
Buen Ayre,18,2,1.0000,5.0000,4.0000,5.0000
Lima,23,1,3.0000,7.0000,1.0000,
Garay,20,2,,,,
La Bandera,1,4,,,,
Gral Paz Capital,10,7,3.0000,1.0000,,
Florencio Varela,10,1,,,,
Ovidio Lagos,16,7,,,,2.0000
Lima,18,5,9.0000,11.0000,7.0000,12.0000
Olivos,23,5,2.0000,,,1.0000
Maipu,15,5,1.0000,,2.0000,2.0000
Alsina,1,3,,,1.0000,4.0000
Amanecer,17,1,1.0000,1.0000,,4.0000
Santa Fe,9,3,,,,
