estacion,hora,q_cafes_llevar_algo_otros_sinbakery_negro_choco,q_cafes_local_algo_otros_sinbakery_negro_choco
Alberdi,16,null,2.0000
AUBASA LP-BA,16,43.0000,53.0000
Congreso,8,null,1.0000
Alvear,9,5.0000,9.0000
El Club,15,11.0000,39.0000
Florencio Varela,23,10.0000,null
Luis Viale,23,3.0000,9.0000
Buen Ayre,16,18.0000,34.0000
La Carmela,10,6.0000,null
La Bandera,17,1.0000,17.0000
Centenera,16,12.0000,1.0000
Bonpland,17,3.0000,13.0000
Emilio Castro,14,null,4.0000
Buen Ayre,10,7.0000,8.0000
Pilar,6,2.0000,null
AUBASA LP-BA,1,19.0000,8.0000
Zarate Brazo Largo,22,null,null
Alberdi,0,null,2.0000
Las Heras,9,null,null
Bulnes,7,null,null
Villa Luro,6,7.0000,1.0000
Gral Paz Provincia,21,1.0000,5.0000
Los Incas,11,1.0000,null
San Isidro,21,4.0000,4.0000
Luis Viale,0,3.0000,5.0000
Alsina,22,4.0000,1.0000
Trelles,19,4.0000,16.0000
Congreso,11,null,null
DISC Caraffa,12,null,1.0000
Del Tejar,22,2.0000,null
Congreso,16,1.0000,null
Villa Allende,14,7.0000,31.0000
Quilmes,11,2.0000,7.0000
Boulevard,13,3.0000,13.0000
Alvear,22,4.0000,8.0000
San Isidro,16,18.0000,18.0000
Cabildo,12,null,2.0000
Del Tejar,19,null,1.0000
La Carmela,8,1.0000,null
Alsina,0,2.0000,null
Villa Luro,10,2.0000,13.0000
Boulevard,7,1.0000,null
DISC Echeverria,2,null,1.0000
Maipu,7,null,null
Disc Panamericana,21,null,null
Quilmes,9,5.0000,8.0000
Disc Panamericana,7,null,null
Santa Rita,2,null,1.0000
Rosario Sur,9,null,null
Maschwitz,4,null,null
AUBASA LP-BA,4,8.0000,4.0000
Bulnes,6,null,null
Dialogos,2,null,null
DISC Echeverria,11,null,1.0000
Alberdi,9,null,null
Rosario Sur,20,null,null
DISC Caraffa,18,null,null
Emilio Castro,7,2.0000,2.0000
Las Heras,4,2.0000,1.0000
Disc Panamericana,16,null,null
Bulnes,4,null,null
Rosario Sur,18,null,null
Rosario Sur,8,null,null
Rosario Sur,16,null,null
Disc Panamericana,13,null,null
Disc Panamericana,2,null,null
Rivadavia,11,null,null
Zarate,5,null,null
Anchorena,22,null,null
Anchorena,9,null,null
Anchorena,3,null,null
La Bandera,0,null,null
Anchorena,10,null,null
Emilio Castro,12,2.0000,1.0000
Fisherton,15,7.0000,22.0000
America,11,1.0000,null
Quilmes,18,2.0000,6.0000
Quilmes,21,null,4.0000
La Bandera,12,2.0000,19.0000
Los Incas,5,null,null
Buen Ayre,19,15.0000,16.0000
Floresta,6,null,null
Ovidio Lagos,9,null,null
Parque Sarmiento,6,17.0000,10.0000
Dialogos,9,2.0000,null
Maipu,15,null,1.0000
Laferrere,21,4.0000,4.0000
Gral Paz Capital,12,11.0000,null
Olivos,17,2.0000,6.0000
Cabildo,4,1.0000,null
Floresta,20,null,null
La Carmela,18,11.0000,null
Floresta,18,2.0000,null
La Bandera,16,2.0000,23.0000
Gral Paz Capital,20,7.0000,null
