estacion,hora,dia_semana,q_cafes_llevar_solo,q_cafes_local_solo,q_cafes_llevar_solo_leche,q_cafes_llevar_solo_otros,q_cafes_local_solo_leche,q_cafes_local_solo_otros,q_cafes_llevar_solo_otros_negro,q_cafes_local_solo_otros_negro
Ovidio Lagos,15,2,5.0000,84.0000,,5.0000,3.0000,81.0000,,81.0000
Pilar,19,2,9.0000,30.0000,8.0000,1.0000,8.0000,22.0000,,28.0000
Lima,23,1,107.0000,49.0000,39.0000,68.0000,9.0000,40.0000,33.0000,35.0000
Gutierrez,8,4,62.0000,47.0000,21.0000,41.0000,6.0000,41.0000,12.0000,28.0000
Maipu,8,2,23.0000,48.0000,23.0000,,12.0000,36.0000,,48.0000
AUBASA LP-BA,17,2,85.0000,91.0000,34.0000,51.0000,10.0000,81.0000,10.0000,56.0000
Buen Ayre,18,2,80.0000,100.0000,35.0000,45.0000,12.0000,88.0000,7.0000,87.0000
Bonpland,11,1,28.0000,46.0000,13.0000,15.0000,6.0000,40.0000,2.0000,37.0000
Quilmes,7,2,55.0000,71.0000,23.0000,32.0000,12.0000,59.0000,1.0000,70.0000
Bonpland,11,5,41.0000,98.0000,16.0000,25.0000,12.0000,86.0000,9.0000,72.0000
Fisherton,7,6,56.0000,132.0000,22.0000,34.0000,7.0000,125.0000,4.0000,131.0000
Buen Ayre,17,5,89.0000,119.0000,38.0000,51.0000,16.0000,103.0000,13.0000,93.0000
Pilar,18,6,16.0000,30.0000,12.0000,4.0000,10.0000,20.0000,,29.0000
Gral Paz Capital,10,7,93.0000,116.0000,57.0000,36.0000,8.0000,108.0000,6.0000,98.0000
Zarate Brazo Largo,14,4,8.0000,41.0000,2.0000,6.0000,2.0000,39.0000,4.0000,28.0000
Fisherton,13,5,6.0000,110.0000,3.0000,3.0000,1.0000,109.0000,1.0000,110.0000
Gral Paz Provincia,13,1,24.0000,35.0000,6.0000,18.0000,1.0000,34.0000,1.0000,17.0000
Maipu,15,5,11.0000,37.0000,11.0000,,6.0000,31.0000,,37.0000
Centenera,15,5,9.0000,24.0000,1.0000,8.0000,3.0000,21.0000,1.0000,16.0000
Santa Fe,10,2,16.0000,9.0000,7.0000,9.0000,3.0000,6.0000,1.0000,9.0000
Zarate Brazo Largo,1,5,13.0000,1.0000,6.0000,7.0000,,1.0000,6.0000,
Lima,11,2,107.0000,124.0000,45.0000,62.0000,13.0000,111.0000,26.0000,94.0000
Santa Fe,19,6,8.0000,17.0000,2.0000,6.0000,9.0000,8.0000,2.0000,17.0000
Santa Rita,11,2,17.0000,66.0000,2.0000,15.0000,3.0000,63.0000,9.0000,54.0000
Laferrere,14,3,6.0000,10.0000,2.0000,4.0000,,10.0000,1.0000,10.0000
Bulnes,18,5,18.0000,50.0000,5.0000,13.0000,1.0000,49.0000,1.0000,43.0000
El Arco,19,1,30.0000,82.0000,10.0000,20.0000,6.0000,76.0000,9.0000,63.0000
El Club,19,2,18.0000,86.0000,9.0000,9.0000,21.0000,65.0000,1.0000,80.0000
AUBASA LP-BA,16,2,79.0000,129.0000,28.0000,51.0000,16.0000,113.0000,19.0000,72.0000
Emilio Castro,0,5,9.0000,8.0000,8.0000,1.0000,1.0000,7.0000,,8.0000
