estacion,hora,dia_semana,q_cafes_llevar_solo,q_cafes_local_solo,q_cafes_llevar_solo_leche,q_cafes_llevar_solo_otros,q_cafes_local_solo_leche,q_cafes_local_solo_otros,q_cafes_llevar_solo_otros_negro,q_cafes_local_solo_otros_negro
Olivos,20,1,6.0000,23.0000,6.0000,,3.0000,20.0000,,20.0000
El Arco,17,5,12.0000,59.0000,5.0000,7.0000,7.0000,52.0000,7.0000,46.0000
Ovidio Lagos,17,6,15.0000,70.0000,7.0000,8.0000,,70.0000,,69.0000
Del Tejar,12,2,12.0000,46.0000,10.0000,2.0000,7.0000,39.0000,,32.0000
Emilio Castro,19,5,7.0000,11.0000,,7.0000,1.0000,10.0000,1.0000,10.0000
Zarate Brazo Largo,14,1,23.0000,22.0000,4.0000,19.0000,1.0000,21.0000,9.0000,12.0000
Trelles,20,7,7.0000,21.0000,5.0000,2.0000,6.0000,15.0000,,16.0000
CORS EVENTOS,22,6,3.0000,,,3.0000,,,,
La Bandera,2,7,1.0000,9.0000,1.0000,,,9.0000,,9.0000
Olivos,19,4,8.0000,31.0000,7.0000,1.0000,6.0000,25.0000,,30.0000
Quilmes,13,4,5.0000,36.0000,,5.0000,3.0000,33.0000,,35.0000
Buen Ayre,20,6,34.0000,29.0000,17.0000,17.0000,5.0000,24.0000,3.0000,25.0000
Centenera,4,4,6.0000,6.0000,5.0000,1.0000,4.0000,2.0000,1.0000,5.0000
Bulnes,9,6,15.0000,39.0000,3.0000,12.0000,2.0000,37.0000,2.0000,33.0000
Rivadavia,6,4,6.0000,,5.0000,1.0000,,,,
Amanecer,1,4,6.0000,15.0000,,6.0000,,15.0000,2.0000,14.0000
Cabildo,6,2,18.0000,12.0000,10.0000,8.0000,1.0000,11.0000,,11.0000
Los Incas,19,2,6.0000,3.0000,1.0000,5.0000,,3.0000,,3.0000
Alsina,21,2,5.0000,56.0000,1.0000,4.0000,2.0000,54.0000,1.0000,31.0000
La Carmela,3,3,8.0000,,4.0000,4.0000,,,,
Centenera,17,3,13.0000,41.0000,6.0000,7.0000,2.0000,39.0000,3.0000,34.0000
Gral Paz Capital,2,4,21.0000,15.0000,8.0000,13.0000,6.0000,9.0000,3.0000,15.0000
Dialogos,12,4,12.0000,13.0000,8.0000,4.0000,4.0000,9.0000,2.0000,10.0000
Zarate Brazo Largo,2,4,5.0000,,3.0000,2.0000,,,2.0000,
Parque Sarmiento,1,2,2.0000,14.0000,1.0000,1.0000,2.0000,12.0000,,14.0000
Santa Rita,2,3,2.0000,17.0000,1.0000,1.0000,9.0000,8.0000,,17.0000
Rosario Sur,7,6,16.0000,,8.0000,8.0000,,,,
Pilar,19,6,7.0000,29.0000,2.0000,5.0000,7.0000,22.0000,,27.0000
Emilio Castro,20,7,4.0000,7.0000,2.0000,2.0000,2.0000,5.0000,,7.0000
Florencio Varela,21,3,5.0000,11.0000,2.0000,3.0000,6.0000,5.0000,,11.0000
Maschwitz,17,6,5.0000,,,5.0000,,,,
Floresta,3,4,5.0000,8.0000,1.0000,4.0000,1.0000,7.0000,1.0000,8.0000
Parque Sarmiento,14,7,10.0000,22.0000,1.0000,9.0000,5.0000,17.0000,3.0000,17.0000
Las Heras,4,4,4.0000,2.0000,2.0000,2.0000,,2.0000,,2.0000
Luis Viale,1,5,3.0000,37.0000,1.0000,2.0000,4.0000,33.0000,1.0000,29.0000
Maipu,20,3,8.0000,21.0000,6.0000,2.0000,4.0000,17.0000,,21.0000
Maipu,21,7,7.0000,16.0000,7.0000,,3.0000,13.0000,,16.0000
Boulevard,23,1,2.0000,,2.0000,,,,,
Maschwitz,21,4,4.0000,,3.0000,1.0000,,,,
Pilar,4,1,13.0000,2.0000,12.0000,1.0000,,2.0000,,2.0000
Los Incas,15,4,9.0000,,5.0000,4.0000,,,,
Maschwitz,4,4,7.0000,,6.0000,1.0000,,,,
Cabildo,21,5,4.0000,4.0000,,4.0000,1.0000,3.0000,,4.0000
Las Heras,2,6,9.0000,11.0000,5.0000,4.0000,,11.0000,,11.0000
Alberdi,17,4,1.0000,,1.0000,,,,,
AUBASA LP-BA,0,4,15.0000,8.0000,2.0000,13.0000,,8.0000,3.0000,4.0000
Ovidio Lagos,3,3,2.0000,6.0000,1.0000,1.0000,,6.0000,,6.0000
Alberdi,18,2,2.0000,,,2.0000,,,,
Villa Allende,4,1,1.0000,10.0000,,1.0000,1.0000,9.0000,,3.0000
Dialogos,21,5,2.0000,4.0000,2.0000,,,4.0000,,3.0000
La Bandera,2,1,2.0000,6.0000,1.0000,1.0000,,6.0000,1.0000,6.0000
Florencio Varela,2,5,5.0000,8.0000,,5.0000,2.0000,6.0000,3.0000,8.0000
Rosario Sur,6,7,3.0000,,1.0000,2.0000,,,,
Alberdi,10,5,10.0000,,3.0000,7.0000,,,,
Olivos,1,4,5.0000,4.0000,5.0000,,,4.0000,,4.0000
Laferrere,23,2,2.0000,7.0000,,2.0000,3.0000,4.0000,1.0000,7.0000
Cabildo,19,1,5.0000,2.0000,1.0000,4.0000,,2.0000,,2.0000
Rosario Sur,17,1,9.0000,,2.0000,7.0000,,,,
Cabildo,2,6,8.0000,6.0000,2.0000,6.0000,3.0000,3.0000,,6.0000
La Bandera,6,1,10.0000,7.0000,5.0000,5.0000,1.0000,6.0000,4.0000,7.0000
Fisherton,0,4,5.0000,48.0000,2.0000,3.0000,1.0000,47.0000,1.0000,35.0000
Olivos,21,7,8.0000,18.0000,8.0000,,4.0000,14.0000,,15.0000
La Carmela,9,1,20.0000,8.0000,6.0000,14.0000,2.0000,6.0000,,8.0000
America,3,3,6.0000,3.0000,6.0000,,,3.0000,,1.0000
Bulnes,20,2,2.0000,20.0000,1.0000,1.0000,1.0000,19.0000,,17.0000
Los Incas,0,3,4.0000,,3.0000,1.0000,,,,
La Carmela,12,3,3.0000,6.0000,2.0000,1.0000,,6.0000,,6.0000
Dialogos,13,6,3.0000,17.0000,2.0000,1.0000,3.0000,14.0000,1.0000,13.0000
Quilmes,22,2,1.0000,9.0000,1.0000,,1.0000,8.0000,,9.0000
Bulnes,21,4,1.0000,6.0000,,1.0000,,6.0000,1.0000,5.0000
Dialogos,2,4,2.0000,3.0000,1.0000,1.0000,2.0000,1.0000,,3.0000
Maschwitz,13,6,2.0000,,,2.0000,,,,
Rivadavia,6,3,2.0000,,1.0000,1.0000,,,,
Dialogos,1,5,1.0000,5.0000,1.0000,,3.0000,2.0000,,5.0000
CORS EVENTOS,17,2,3.0000,,,3.0000,,,,
Santa Fe,14,3,3.0000,3.0000,1.0000,2.0000,,3.0000,1.0000,3.0000
Boulevard,21,7,4.0000,3.0000,,4.0000,,3.0000,2.0000,2.0000
Centenera,1,4,3.0000,1.0000,2.0000,1.0000,,1.0000,,1.0000
Alberdi,19,2,3.0000,,1.0000,2.0000,,,,
Zarate,21,1,3.0000,2.0000,1.0000,2.0000,,2.0000,,2.0000
OPERADOR LOGISTICO 2,18,3,,18.0000,,,,18.0000,,18.0000
Centenera,23,6,,5.0000,,,2.0000,3.0000,,3.0000
Rivadavia,20,3,1.0000,,,1.0000,,,,
Alberdi,18,4,3.0000,,2.0000,1.0000,,,,
Alberdi,12,3,1.0000,,1.0000,,,,,
Rivadavia,6,2,1.0000,,1.0000,,,,,
Alvear,9,4,127.0000,206.0000,62.0000,65.0000,35.0000,171.0000,13.0000,184.0000
America,8,2,42.0000,41.0000,21.0000,21.0000,9.0000,32.0000,6.0000,29.0000
San Isidro,11,6,51.0000,95.0000,15.0000,36.0000,12.0000,83.0000,4.0000,68.0000
Bonpland,18,2,16.0000,89.0000,5.0000,11.0000,9.0000,80.0000,7.0000,67.0000
Del Tejar,20,7,9.0000,33.0000,7.0000,2.0000,3.0000,30.0000,,28.0000
Dialogos,10,5,22.0000,40.0000,17.0000,5.0000,11.0000,29.0000,1.0000,27.0000
AUBASA LP-BA,15,7,71.0000,114.0000,13.0000,58.0000,4.0000,110.0000,23.0000,82.0000
El Arco,6,3,36.0000,25.0000,17.0000,19.0000,6.0000,19.0000,7.0000,22.0000
Arroyo Seco,0,6,103.0000,31.0000,49.0000,54.0000,2.0000,29.0000,39.0000,24.0000
AUBASA LP-BA,8,7,107.0000,25.0000,48.0000,59.0000,1.0000,24.0000,7.0000,13.0000
Rivadavia,11,3,3.0000,,3.0000,,,,,
Buen Ayre,4,1,31.0000,24.0000,9.0000,22.0000,6.0000,18.0000,7.0000,17.0000
Lima,20,6,117.0000,51.0000,42.0000,75.0000,12.0000,39.0000,31.0000,39.0000
Luis Viale,21,6,5.0000,32.0000,2.0000,3.0000,1.0000,31.0000,1.0000,17.0000
Dialogos,17,4,10.0000,21.0000,8.0000,2.0000,3.0000,18.0000,1.0000,20.0000
Bulnes,18,6,6.0000,35.0000,4.0000,2.0000,4.0000,31.0000,,32.0000
El Arco,11,4,21.0000,83.0000,16.0000,5.0000,5.0000,78.0000,1.0000,61.0000
Santa Rita,2,2,5.0000,14.0000,5.0000,,2.0000,12.0000,,14.0000
Floresta,18,1,15.0000,42.0000,6.0000,9.0000,,42.0000,3.0000,32.0000
CORS Alem,15,2,72.0000,,35.0000,37.0000,,,6.0000,
Trelles,18,2,10.0000,35.0000,3.0000,7.0000,2.0000,33.0000,2.0000,28.0000
El Arco,7,4,64.0000,105.0000,25.0000,39.0000,2.0000,103.0000,24.0000,97.0000
Arroyo Seco,8,7,286.0000,121.0000,167.0000,119.0000,33.0000,88.0000,33.0000,94.0000
Luis Viale,22,5,6.0000,39.0000,3.0000,3.0000,2.0000,37.0000,2.0000,12.0000
Quilmes,6,3,27.0000,17.0000,3.0000,24.0000,3.0000,14.0000,,16.0000
El Club,1,5,22.0000,28.0000,13.0000,9.0000,,28.0000,,27.0000
El Club,16,5,46.0000,160.0000,12.0000,34.0000,16.0000,144.0000,6.0000,128.0000
Emilio Castro,4,4,2.0000,24.0000,2.0000,,,24.0000,,23.0000
Los Incas,16,1,7.0000,,2.0000,5.0000,,,,
Parque Sarmiento,15,2,20.0000,67.0000,12.0000,8.0000,5.0000,62.0000,2.0000,55.0000
AUBASA BA-LP,18,1,86.0000,44.0000,33.0000,53.0000,4.0000,40.0000,7.0000,36.0000
Cabildo,1,7,4.0000,9.0000,2.0000,2.0000,1.0000,8.0000,,9.0000
Bulnes,9,5,15.0000,44.0000,8.0000,7.0000,1.0000,43.0000,,32.0000
Parque Sarmiento,2,1,6.0000,15.0000,2.0000,4.0000,,15.0000,1.0000,8.0000
Alvear,1,4,23.0000,49.0000,11.0000,12.0000,3.0000,46.0000,4.0000,40.0000
Lima,21,7,53.0000,13.0000,22.0000,31.0000,1.0000,12.0000,13.0000,9.0000
La Bandera,9,5,39.0000,184.0000,15.0000,24.0000,21.0000,163.0000,19.0000,184.0000
San Isidro,18,2,25.0000,74.0000,10.0000,15.0000,18.0000,56.0000,6.0000,64.0000
Maipu,18,1,9.0000,26.0000,8.0000,1.0000,6.0000,20.0000,,26.0000
Buen Ayre,9,4,246.0000,225.0000,103.0000,143.0000,27.0000,198.0000,29.0000,171.0000
Congreso,4,1,16.0000,17.0000,4.0000,12.0000,3.0000,14.0000,3.0000,15.0000
AUBASA BA-LP,12,6,81.0000,42.0000,26.0000,55.0000,3.0000,39.0000,18.0000,29.0000
AUBASA LP-BA,0,7,54.0000,11.0000,18.0000,36.0000,,11.0000,6.0000,6.0000
Olivos,14,6,9.0000,39.0000,8.0000,1.0000,8.0000,31.0000,,35.0000
Alvear,6,3,83.0000,195.0000,35.0000,48.0000,31.0000,164.0000,7.0000,137.0000
Pilar,19,7,13.0000,12.0000,8.0000,5.0000,4.0000,8.0000,,10.0000
Del Tejar,7,1,42.0000,27.0000,38.0000,4.0000,9.0000,18.0000,2.0000,25.0000
San Isidro,8,2,88.0000,96.0000,44.0000,44.0000,23.0000,73.0000,9.0000,69.0000
Emilio Castro,4,1,19.0000,11.0000,7.0000,12.0000,2.0000,9.0000,2.0000,10.0000
Gral Paz Capital,7,4,114.0000,54.0000,73.0000,41.0000,15.0000,39.0000,8.0000,41.0000
Florencio Varela,13,2,7.0000,63.0000,1.0000,6.0000,5.0000,58.0000,3.0000,46.0000
Gral Paz Capital,7,6,136.0000,60.0000,76.0000,60.0000,14.0000,46.0000,19.0000,42.0000
Dialogos,6,3,27.0000,18.0000,23.0000,4.0000,10.0000,8.0000,1.0000,15.0000
Del Tejar,0,3,5.0000,17.0000,5.0000,,3.0000,14.0000,,13.0000
Buen Ayre,9,1,79.0000,80.0000,36.0000,43.0000,13.0000,67.0000,10.0000,55.0000
Ovidio Lagos,8,7,20.0000,21.0000,4.0000,16.0000,3.0000,18.0000,,21.0000
La Bandera,16,4,13.0000,111.0000,4.0000,9.0000,5.0000,106.0000,3.0000,111.0000
Villa Luro,5,6,82.0000,21.0000,14.0000,68.0000,6.0000,15.0000,40.0000,19.0000
Centenera,8,4,50.0000,39.0000,29.0000,21.0000,6.0000,33.0000,13.0000,20.0000
Gutierrez,4,4,14.0000,20.0000,4.0000,10.0000,8.0000,12.0000,1.0000,14.0000
Gral Paz Provincia,6,7,129.0000,39.0000,67.0000,62.0000,8.0000,31.0000,13.0000,30.0000
San Isidro,8,7,75.0000,31.0000,40.0000,35.0000,8.0000,23.0000,8.0000,24.0000
Arroyo Seco,9,3,200.0000,125.0000,94.0000,106.0000,30.0000,95.0000,31.0000,86.0000
Garay,13,4,7.0000,54.0000,6.0000,1.0000,3.0000,51.0000,,36.0000
Gral Paz Provincia,9,2,147.0000,119.0000,56.0000,91.0000,11.0000,108.0000,15.0000,85.0000
La Bandera,9,6,38.0000,177.0000,17.0000,21.0000,23.0000,154.0000,18.0000,177.0000
America,7,4,96.0000,43.0000,49.0000,47.0000,8.0000,35.0000,3.0000,31.0000
Trelles,6,6,25.0000,12.0000,10.0000,15.0000,,12.0000,2.0000,10.0000
CORS Alem,9,5,230.0000,,120.0000,110.0000,,,8.0000,
America,12,4,7.0000,46.0000,3.0000,4.0000,4.0000,42.0000,1.0000,32.0000
Las Heras,9,4,53.0000,49.0000,31.0000,22.0000,3.0000,46.0000,7.0000,48.0000
AUBASA BA-LP,2,2,19.0000,11.0000,11.0000,8.0000,2.0000,9.0000,2.0000,11.0000
Buen Ayre,10,5,138.0000,240.0000,56.0000,82.0000,30.0000,210.0000,19.0000,168.0000
Arroyo Seco,5,3,139.0000,41.0000,77.0000,62.0000,12.0000,29.0000,21.0000,28.0000
Florencio Varela,11,7,17.0000,26.0000,11.0000,6.0000,3.0000,23.0000,,23.0000
Luis Viale,22,2,11.0000,22.0000,7.0000,4.0000,1.0000,21.0000,,10.0000
Bonpland,12,3,23.0000,84.0000,11.0000,12.0000,5.0000,79.0000,3.0000,60.0000
AUBASA BA-LP,23,7,31.0000,29.0000,10.0000,21.0000,7.0000,22.0000,5.0000,25.0000
Luis Viale,13,2,12.0000,62.0000,2.0000,10.0000,1.0000,61.0000,8.0000,46.0000
La Bandera,18,3,11.0000,193.0000,1.0000,10.0000,3.0000,190.0000,,192.0000
Trelles,23,5,4.0000,10.0000,2.0000,2.0000,,10.0000,1.0000,8.0000
Emilio Castro,6,7,28.0000,11.0000,15.0000,13.0000,4.0000,7.0000,6.0000,10.0000
Los Incas,7,5,32.0000,3.0000,19.0000,13.0000,,3.0000,,3.0000
Pilar,7,1,27.0000,4.0000,20.0000,7.0000,,4.0000,,3.0000
Arroyo Seco,7,3,232.0000,47.0000,126.0000,106.0000,19.0000,28.0000,37.0000,34.0000
Gral Paz Provincia,4,1,71.0000,68.0000,26.0000,45.0000,8.0000,60.0000,9.0000,50.0000
Fisherton,17,7,19.0000,219.0000,6.0000,13.0000,1.0000,218.0000,2.0000,214.0000
Del Tejar,6,5,35.0000,72.0000,23.0000,12.0000,10.0000,62.0000,2.0000,70.0000
Quilmes,17,3,24.0000,50.0000,4.0000,20.0000,6.0000,44.0000,3.0000,50.0000
La Bandera,10,6,28.0000,184.0000,8.0000,20.0000,16.0000,168.0000,20.0000,184.0000
Trelles,18,1,14.0000,22.0000,5.0000,9.0000,3.0000,19.0000,3.0000,22.0000
La Bandera,10,4,22.0000,206.0000,13.0000,9.0000,15.0000,191.0000,9.0000,206.0000
Gutierrez,2,4,10.0000,7.0000,3.0000,7.0000,4.0000,3.0000,2.0000,7.0000
El Arco,17,4,17.0000,92.0000,5.0000,12.0000,7.0000,85.0000,7.0000,81.0000
Gral Paz Provincia,3,7,31.0000,68.0000,14.0000,17.0000,11.0000,57.0000,5.0000,45.0000
El Club,17,2,37.0000,157.0000,15.0000,22.0000,23.0000,134.0000,2.0000,116.0000
America,12,5,13.0000,37.0000,8.0000,5.0000,4.0000,33.0000,1.0000,28.0000
Parque Sarmiento,22,3,2.0000,8.0000,2.0000,,3.0000,5.0000,,6.0000
El Arco,19,5,19.0000,59.0000,6.0000,13.0000,2.0000,57.0000,11.0000,47.0000
Dialogos,19,4,9.0000,16.0000,8.0000,1.0000,5.0000,11.0000,1.0000,16.0000
Fisherton,11,5,19.0000,264.0000,8.0000,11.0000,1.0000,263.0000,3.0000,263.0000
Alvear,4,6,24.0000,15.0000,12.0000,12.0000,2.0000,13.0000,4.0000,10.0000
Garay,6,1,24.0000,18.0000,15.0000,9.0000,3.0000,15.0000,6.0000,13.0000
AUBASA BA-LP,5,3,29.0000,8.0000,13.0000,16.0000,3.0000,5.0000,3.0000,7.0000
Emilio Castro,1,1,13.0000,11.0000,3.0000,10.0000,5.0000,6.0000,2.0000,9.0000
Bonpland,13,3,29.0000,67.0000,11.0000,18.0000,8.0000,59.0000,3.0000,47.0000
Las Heras,17,1,25.0000,29.0000,10.0000,15.0000,3.0000,26.0000,7.0000,27.0000
Bonpland,3,6,17.0000,33.0000,6.0000,11.0000,11.0000,22.0000,1.0000,27.0000
Bonpland,15,3,31.0000,80.0000,11.0000,20.0000,7.0000,73.0000,6.0000,48.0000
Las Heras,17,5,19.0000,48.0000,11.0000,8.0000,6.0000,42.0000,1.0000,47.0000
Laferrere,0,6,4.0000,9.0000,1.0000,3.0000,3.0000,6.0000,2.0000,9.0000
Amanecer,13,3,7.0000,57.0000,3.0000,4.0000,2.0000,55.0000,,53.0000
Zarate Brazo Largo,11,6,35.0000,51.0000,20.0000,15.0000,5.0000,46.0000,3.0000,37.0000
Villa Allende,10,3,21.0000,85.0000,4.0000,17.0000,2.0000,83.0000,7.0000,71.0000
Dialogos,6,1,12.0000,33.0000,6.0000,6.0000,14.0000,19.0000,1.0000,28.0000
Buen Ayre,23,7,13.0000,47.0000,3.0000,10.0000,11.0000,36.0000,4.0000,35.0000
El Club,7,3,96.0000,76.0000,47.0000,49.0000,16.0000,60.0000,11.0000,60.0000
Dialogos,12,2,8.0000,19.0000,4.0000,4.0000,5.0000,14.0000,1.0000,13.0000
CORS Alem,18,5,20.0000,,8.0000,12.0000,,,6.0000,
Boulevard,17,4,15.0000,46.0000,4.0000,11.0000,4.0000,42.0000,1.0000,33.0000
Emilio Castro,7,1,13.0000,6.0000,8.0000,5.0000,,6.0000,3.0000,5.0000
Trelles,17,7,4.0000,34.0000,,4.0000,1.0000,33.0000,1.0000,25.0000
Lima,2,7,98.0000,42.0000,32.0000,66.0000,7.0000,35.0000,30.0000,24.0000
Ovidio Lagos,20,4,,57.0000,,,2.0000,55.0000,,57.0000
Florencio Varela,9,3,102.0000,63.0000,75.0000,27.0000,10.0000,53.0000,10.0000,47.0000
Alsina,14,4,22.0000,33.0000,7.0000,15.0000,7.0000,26.0000,6.0000,25.0000
Fisherton,18,7,13.0000,164.0000,3.0000,10.0000,,164.0000,3.0000,163.0000
Gutierrez,20,5,8.0000,15.0000,2.0000,6.0000,4.0000,11.0000,4.0000,14.0000
Villa Luro,16,3,29.0000,70.0000,17.0000,12.0000,7.0000,63.0000,5.0000,49.0000
Garay,3,1,24.0000,18.0000,13.0000,11.0000,2.0000,16.0000,6.0000,11.0000
Bonpland,17,6,34.0000,78.0000,18.0000,16.0000,8.0000,70.0000,2.0000,62.0000
Del Tejar,12,3,21.0000,63.0000,15.0000,6.0000,12.0000,51.0000,,46.0000
Santa Rita,7,5,46.0000,29.0000,24.0000,22.0000,9.0000,20.0000,12.0000,26.0000
Florencio Varela,13,6,7.0000,46.0000,2.0000,5.0000,9.0000,37.0000,2.0000,36.0000
Del Tejar,1,6,12.0000,18.0000,10.0000,2.0000,2.0000,16.0000,,13.0000
Gral Paz Provincia,10,4,116.0000,168.0000,59.0000,57.0000,12.0000,156.0000,18.0000,116.0000
Lima,0,7,54.0000,28.0000,16.0000,38.0000,9.0000,19.0000,23.0000,20.0000
Quilmes,19,6,4.0000,56.0000,,4.0000,3.0000,53.0000,,55.0000
Lima,11,5,103.0000,113.0000,42.0000,61.0000,17.0000,96.0000,19.0000,83.0000
Villa Allende,21,5,3.0000,9.0000,,3.0000,,9.0000,,9.0000
Luis Viale,10,4,11.0000,107.0000,5.0000,6.0000,6.0000,101.0000,3.0000,76.0000
AUBASA BA-LP,14,4,48.0000,58.0000,8.0000,40.0000,4.0000,54.0000,15.0000,45.0000
El Arco,15,2,11.0000,61.0000,7.0000,4.0000,4.0000,57.0000,3.0000,49.0000
Centenera,10,4,32.0000,43.0000,18.0000,14.0000,2.0000,41.0000,4.0000,21.0000
Bonpland,0,4,7.0000,35.0000,5.0000,2.0000,6.0000,29.0000,,26.0000
Parque Sarmiento,16,2,17.0000,63.0000,11.0000,6.0000,3.0000,60.0000,2.0000,46.0000
Quilmes,12,1,4.0000,23.0000,,4.0000,3.0000,20.0000,,22.0000
Bonpland,23,3,13.0000,28.0000,8.0000,5.0000,6.0000,22.0000,1.0000,23.0000
Boulevard,18,7,14.0000,51.0000,5.0000,9.0000,4.0000,47.0000,3.0000,44.0000
Luis Viale,11,5,18.0000,97.0000,5.0000,13.0000,6.0000,91.0000,5.0000,69.0000
Gutierrez,21,1,12.0000,15.0000,2.0000,10.0000,2.0000,13.0000,4.0000,11.0000
AUBASA BA-LP,0,6,29.0000,31.0000,4.0000,25.0000,4.0000,27.0000,8.0000,24.0000
La Carmela,7,5,48.0000,22.0000,24.0000,24.0000,5.0000,17.0000,,22.0000
AUBASA BA-LP,11,4,78.0000,52.0000,27.0000,51.0000,6.0000,46.0000,22.0000,32.0000
Maschwitz,6,1,30.0000,,18.0000,12.0000,,,,
Buen Ayre,17,6,94.0000,108.0000,41.0000,53.0000,7.0000,101.0000,11.0000,69.0000
Las Heras,1,4,13.0000,20.0000,2.0000,11.0000,8.0000,12.0000,5.0000,20.0000
Los Incas,7,6,70.0000,3.0000,25.0000,45.0000,,3.0000,,3.0000
Ovidio Lagos,13,2,1.0000,71.0000,,1.0000,3.0000,68.0000,,68.0000
El Arco,11,2,18.0000,85.0000,8.0000,10.0000,6.0000,79.0000,6.0000,65.0000
Alvear,3,6,25.0000,26.0000,11.0000,14.0000,5.0000,21.0000,4.0000,24.0000
Garay,16,4,17.0000,49.0000,5.0000,12.0000,3.0000,46.0000,5.0000,38.0000
AUBASA LP-BA,18,6,80.0000,63.0000,16.0000,64.0000,7.0000,56.0000,11.0000,52.0000
Bonpland,5,7,41.0000,49.0000,22.0000,19.0000,11.0000,38.0000,,42.0000
Maipu,15,7,6.0000,23.0000,3.0000,3.0000,7.0000,16.0000,,23.0000
Bulnes,15,2,5.0000,40.0000,2.0000,3.0000,2.0000,38.0000,1.0000,34.0000
Luis Viale,16,1,14.0000,34.0000,4.0000,10.0000,3.0000,31.0000,1.0000,21.0000
Bulnes,9,4,7.0000,40.0000,2.0000,5.0000,1.0000,39.0000,1.0000,31.0000
Maipu,20,5,6.0000,11.0000,5.0000,1.0000,2.0000,9.0000,,11.0000
CORS Alem,12,2,15.0000,,9.0000,6.0000,,,1.0000,
Gral Paz Capital,8,1,101.0000,57.0000,60.0000,41.0000,12.0000,45.0000,11.0000,46.0000
Gral Paz Capital,22,2,24.0000,35.0000,9.0000,15.0000,8.0000,27.0000,1.0000,29.0000
AUBASA BA-LP,1,5,8.0000,7.0000,3.0000,5.0000,,7.0000,2.0000,4.0000
Congreso,19,4,15.0000,36.0000,5.0000,10.0000,4.0000,32.0000,2.0000,34.0000
La Bandera,18,7,14.0000,97.0000,8.0000,6.0000,5.0000,92.0000,3.0000,97.0000
El Arco,8,5,56.0000,120.0000,23.0000,33.0000,5.0000,115.0000,20.0000,98.0000
Fisherton,22,4,4.0000,74.0000,2.0000,2.0000,13.0000,61.0000,2.0000,66.0000
Parque Sarmiento,7,2,34.0000,47.0000,18.0000,16.0000,8.0000,39.0000,2.0000,39.0000
Maschwitz,8,1,32.0000,,14.0000,18.0000,,,,
Bulnes,16,6,4.0000,46.0000,1.0000,3.0000,,46.0000,,40.0000
Pilar,15,7,11.0000,24.0000,9.0000,2.0000,6.0000,18.0000,,21.0000
Bulnes,16,5,5.0000,49.0000,3.0000,2.0000,1.0000,48.0000,,41.0000
Trelles,13,2,12.0000,22.0000,6.0000,6.0000,1.0000,21.0000,3.0000,10.0000
Zarate Brazo Largo,6,3,32.0000,15.0000,19.0000,13.0000,1.0000,14.0000,6.0000,8.0000
Garay,7,5,62.0000,43.0000,33.0000,29.0000,6.0000,37.0000,4.0000,41.0000
Trelles,7,4,56.0000,23.0000,26.0000,30.0000,1.0000,22.0000,7.0000,16.0000
Boulevard,10,3,29.0000,88.0000,16.0000,13.0000,8.0000,80.0000,6.0000,74.0000
Zarate Brazo Largo,10,4,24.0000,42.0000,12.0000,12.0000,4.0000,38.0000,2.0000,31.0000
Bonpland,17,1,27.0000,76.0000,11.0000,16.0000,7.0000,69.0000,3.0000,58.0000
San Isidro,21,2,2.0000,9.0000,2.0000,,3.0000,6.0000,,9.0000
Amanecer,14,4,22.0000,53.0000,12.0000,10.0000,3.0000,50.0000,4.0000,46.0000
Los Incas,13,5,7.0000,2.0000,3.0000,4.0000,,2.0000,,2.0000
Pilar,8,7,51.0000,24.0000,23.0000,28.0000,13.0000,11.0000,5.0000,22.0000
Gral Paz Provincia,14,1,25.0000,35.0000,4.0000,21.0000,3.0000,32.0000,3.0000,17.0000
Parque Sarmiento,19,4,9.0000,36.0000,3.0000,6.0000,4.0000,32.0000,2.0000,34.0000
Maipu,10,1,6.0000,21.0000,6.0000,,6.0000,15.0000,,20.0000
America,0,5,10.0000,51.0000,1.0000,9.0000,2.0000,49.0000,,27.0000
Bonpland,5,5,20.0000,26.0000,9.0000,11.0000,11.0000,15.0000,1.0000,25.0000
Del Tejar,5,7,9.0000,15.0000,8.0000,1.0000,4.0000,11.0000,,13.0000
Villa Allende,11,4,16.0000,84.0000,,16.0000,5.0000,79.0000,7.0000,68.0000
Luis Viale,1,7,7.0000,49.0000,2.0000,5.0000,1.0000,48.0000,,39.0000
Fisherton,13,7,11.0000,52.0000,4.0000,7.0000,,52.0000,3.0000,51.0000
Dialogos,19,3,16.0000,12.0000,12.0000,4.0000,7.0000,5.0000,1.0000,11.0000
La Bandera,23,5,,15.0000,,,1.0000,14.0000,,14.0000
Dialogos,12,3,8.0000,25.0000,8.0000,,2.0000,23.0000,,16.0000
Del Tejar,13,5,16.0000,46.0000,12.0000,4.0000,3.0000,43.0000,1.0000,35.0000
Santa Fe,20,1,11.0000,8.0000,1.0000,10.0000,2.0000,6.0000,4.0000,3.0000
Pilar,19,5,7.0000,19.0000,2.0000,5.0000,3.0000,16.0000,1.0000,18.0000
Alsina,16,2,15.0000,50.0000,6.0000,9.0000,2.0000,48.0000,2.0000,42.0000
Olivos,11,2,26.0000,55.0000,10.0000,16.0000,8.0000,47.0000,,51.0000
La Carmela,20,2,3.0000,7.0000,1.0000,2.0000,,7.0000,,7.0000
Cabildo,3,7,5.0000,5.0000,1.0000,4.0000,3.0000,2.0000,,5.0000
Trelles,1,5,3.0000,4.0000,1.0000,2.0000,,4.0000,1.0000,
