estacion,hora,dia_semana,q_cafes_llevar_algo_bakery_negro1,q_cafes_local_algo_bakery_negro1
Del Tejar,0,5,,1.0000
Olivos,14,4,,2.0000
Amanecer,4,7,1.0000,1.0000
Ovidio Lagos,5,3,,
Florencio Varela,15,6,1.0000,
Las Heras,16,1,6.0000,1.0000
Arroyo Seco,22,5,2.0000,2.0000
Las Heras,13,3,1.0000,
AUBASA BA-LP,13,1,6.0000,29.0000
Pilar,21,5,,
Gral Paz Capital,15,2,2.0000,14.0000
Arroyo Seco,11,7,54.0000,97.0000
Parque Sarmiento,8,7,6.0000,27.0000
Del Tejar,15,6,,12.0000
Villa Luro,10,3,7.0000,34.0000
Garay,4,4,,2.0000
Villa Luro,7,3,8.0000,17.0000
AUBASA LP-BA,9,4,31.0000,76.0000
America,13,4,,13.0000
Del Tejar,17,4,1.0000,9.0000
Gral Paz Provincia,4,3,27.0000,17.0000
Las Heras,1,2,,
Bonpland,7,4,15.0000,33.0000
Amanecer,8,7,28.0000,7.0000
Zarate Brazo Largo,21,2,6.0000,2.0000
Alvear,2,1,1.0000,24.0000
Alvear,1,7,3.0000,10.0000
Alsina,14,2,1.0000,14.0000
La Carmela,11,2,,
Alvear,2,7,1.0000,23.0000
Gral Paz Provincia,16,2,6.0000,24.0000
Luis Viale,20,3,2.0000,3.0000
Dialogos,15,3,,1.0000
Luis Viale,17,3,4.0000,24.0000
Maipu,6,6,,
Emilio Castro,7,3,8.0000,4.0000
Villa Allende,10,4,23.0000,54.0000
AUBASA BA-LP,17,7,14.0000,37.0000
Ovidio Lagos,8,6,,3.0000
AUBASA BA-LP,16,1,5.0000,25.0000
Amanecer,11,6,7.0000,5.0000
Ovidio Lagos,17,2,,3.0000
Villa Luro,9,4,5.0000,39.0000
Parque Sarmiento,10,5,5.0000,46.0000
Congreso,5,6,8.0000,3.0000
Bonpland,15,7,,19.0000
San Isidro,3,7,1.0000,2.0000
Zarate,16,3,,
Pilar,4,3,1.0000,
La Carmela,7,3,,2.0000
Santa Rita,18,6,3.0000,11.0000
AUBASA LP-BA,14,6,1.0000,16.0000
Parque Sarmiento,9,7,3.0000,18.0000
Arroyo Seco,2,5,12.0000,14.0000
Las Heras,17,7,6.0000,
Santa Rita,10,4,10.0000,22.0000
El Club,3,1,,6.0000
AUBASA BA-LP,7,6,52.0000,71.0000
Buen Ayre,13,2,4.0000,14.0000
Santa Rita,4,2,3.0000,
AUBASA BA-LP,17,5,20.0000,43.0000
Trelles,6,7,2.0000,19.0000
Parque Sarmiento,7,6,8.0000,27.0000
Quilmes,16,4,,1.0000
Del Tejar,6,3,1.0000,17.0000
Dialogos,11,4,1.0000,6.0000
El Club,19,6,,16.0000
Cabildo,8,5,,
El Club,14,5,,22.0000
Cabildo,12,5,,
Centenera,3,4,,
Dialogos,11,1,,2.0000
La Bandera,13,2,3.0000,
Parque Sarmiento,0,7,,1.0000
Gral Paz Provincia,6,6,20.0000,47.0000
AUBASA LP-BA,4,4,6.0000,8.0000
Zarate,13,3,,
Laferrere,9,6,3.0000,1.0000
Maipu,14,1,,
Cabildo,7,4,,
Congreso,9,2,11.0000,22.0000
Arroyo Seco,18,3,43.0000,61.0000
El Arco,9,2,30.0000,52.0000
El Club,18,3,3.0000,20.0000
AUBASA LP-BA,6,6,31.0000,10.0000
Arroyo Seco,16,1,55.0000,79.0000
Gral Paz Provincia,19,7,3.0000,16.0000
La Bandera,8,6,51.0000,
