estacion,hora,dia_semana,q_cafes_llevar_algo_bakery_negro1,q_cafes_local_algo_bakery_negro1
Alsina,14,4,5.0000,7.0000
Lima,20,6,30.0000,26.0000
Florencio Varela,9,3,5.0000,21.0000
Floresta,18,1,,8.0000
Amanecer,23,7,,2.0000
Santa Rita,2,2,2.0000,
Fisherton,18,7,3.0000,2.0000
Dialogos,17,4,3.0000,
Ovidio Lagos,20,4,,1.0000
El Arco,11,4,9.0000,57.0000
Trelles,13,2,4.0000,6.0000
Trelles,18,2,4.0000,9.0000
Luis Viale,21,6,,10.0000
La Carmela,12,5,,1.0000
Garay,3,1,3.0000,5.0000
Luis Viale,22,5,2.0000,3.0000
Quilmes,6,3,,
Villa Luro,16,3,3.0000,22.0000
Arroyo Seco,8,7,136.0000,205.0000
Bulnes,9,5,3.0000,11.0000
Zarate Brazo Largo,5,7,18.0000,9.0000
El Arco,7,4,42.0000,29.0000
Villa Luro,15,1,1.0000,7.0000
El Club,1,5,1.0000,1.0000
AUBASA BA-LP,18,1,15.0000,38.0000
El Club,16,5,3.0000,60.0000
Zarate Brazo Largo,10,4,10.0000,23.0000
Gral Paz Provincia,14,7,3.0000,19.0000
Cabildo,1,7,,
Alvear,1,4,1.0000,4.0000
Del Tejar,7,1,,6.0000
La Bandera,9,5,31.0000,
San Isidro,8,2,10.0000,40.0000
Dialogos,4,6,,3.0000
Dialogos,7,6,3.0000,12.0000
Zarate Brazo Largo,7,1,17.0000,26.0000
San Isidro,18,2,4.0000,20.0000
Gral Paz Capital,7,6,20.0000,42.0000
Buen Ayre,9,4,50.0000,123.0000
Gral Paz Capital,7,4,24.0000,20.0000
Buen Ayre,9,1,25.0000,113.0000
Los Incas,11,3,,
Los Incas,5,4,,
Lima,21,7,12.0000,15.0000
Floresta,15,6,,5.0000
Dialogos,6,3,2.0000,1.0000
AUBASA BA-LP,12,6,10.0000,37.0000
Santa Rita,7,5,17.0000,12.0000
Bonpland,17,6,1.0000,33.0000
Zarate Brazo Largo,6,7,21.0000,36.0000
Alvear,6,3,12.0000,52.0000
Los Incas,12,2,,
Florencio Varela,13,6,3.0000,7.0000
Bonpland,17,1,4.0000,25.0000
Boulevard,5,1,,
Del Tejar,12,3,1.0000,11.0000
La Carmela,20,1,,1.0000
Villa Luro,5,6,3.0000,7.0000
Arroyo Seco,9,3,97.0000,138.0000
Gral Paz Provincia,20,7,4.0000,12.0000
Dialogos,2,1,,3.0000
America,7,4,7.0000,35.0000
Gral Paz Provincia,10,4,8.0000,83.0000
Luis Viale,10,4,1.0000,32.0000
La Carmela,12,4,,
Lima,11,5,44.0000,98.0000
Gral Paz Provincia,9,2,26.0000,67.0000
Gutierrez,4,4,,1.0000
Garay,13,4,4.0000,8.0000
AUBASA BA-LP,14,4,7.0000,22.0000
Gral Paz Provincia,6,7,25.0000,36.0000
Maipu,10,1,,
Trelles,6,6,,7.0000
San Isidro,8,7,7.0000,46.0000
Zarate Brazo Largo,10,7,22.0000,57.0000
La Bandera,16,4,1.0000,
La Bandera,9,6,46.0000,
Parque Sarmiento,19,4,2.0000,8.0000
Pilar,8,7,1.0000,12.0000
Ovidio Lagos,8,7,,2.0000
Lima,0,7,13.0000,20.0000
Laferrere,17,4,,1.0000
Olivos,20,7,,2.0000
Buen Ayre,20,3,4.0000,13.0000
Centenera,8,4,5.0000,25.0000
El Arco,15,2,1.0000,8.0000
Gral Paz Capital,15,7,7.0000,7.0000
Arroyo Seco,5,3,41.0000,18.0000
Bonpland,12,3,2.0000,26.0000
Bonpland,5,5,1.0000,10.0000
La Bandera,18,3,3.0000,
Las Heras,9,4,9.0000,4.0000
Centenera,10,4,8.0000,23.0000
America,12,4,1.0000,20.0000
CORS Alem,9,5,26.0000,
Buen Ayre,10,5,41.0000,144.0000
Florencio Varela,11,7,5.0000,11.0000
Boulevard,18,7,1.0000,10.0000
El Arco,16,1,6.0000,11.0000
Bonpland,0,4,,3.0000
Los Incas,6,2,,
Parque Sarmiento,14,4,1.0000,10.0000
Parque Sarmiento,16,2,3.0000,22.0000
Los Incas,7,5,,
Garay,11,1,5.0000,20.0000
Gral Paz Capital,19,6,8.0000,22.0000
Luis Viale,5,6,1.0000,5.0000
CORS Alem,18,2,14.0000,
Emilio Castro,19,5,2.0000,2.0000
Gutierrez,16,1,1.0000,11.0000
Zarate Brazo Largo,14,1,5.0000,3.0000
Dialogos,15,1,,
Cabildo,19,1,,
Alsina,15,7,2.0000,4.0000
Villa Luro,13,6,,14.0000
AUBASA BA-LP,1,1,3.0000,18.0000
Floresta,15,5,1.0000,6.0000
Zarate Brazo Largo,15,2,10.0000,8.0000
Alsina,5,3,,4.0000
Trelles,20,7,2.0000,3.0000
El Arco,14,7,3.0000,7.0000
AUBASA BA-LP,19,4,10.0000,21.0000
Boulevard,14,6,1.0000,5.0000
AUBASA BA-LP,2,5,3.0000,7.0000
Dialogos,13,6,,1.0000
Bulnes,6,2,,2.0000
Gral Paz Capital,2,4,4.0000,1.0000
Olivos,5,7,,
Cabildo,2,6,,
Villa Allende,4,1,,3.0000
Alvear,23,2,1.0000,2.0000
Santa Rita,11,7,9.0000,12.0000
Gutierrez,20,3,1.0000,6.0000
La Bandera,6,1,5.0000,
America,19,4,1.0000,14.0000
Gutierrez,2,7,1.0000,1.0000
San Isidro,16,3,2.0000,25.0000
Zarate Brazo Largo,1,7,2.0000,2.0000
Trelles,17,7,2.0000,13.0000
Villa Luro,4,4,2.0000,5.0000
Dialogos,10,5,6.0000,5.0000
Bulnes,16,6,,13.0000
America,4,3,1.0000,2.0000
Del Tejar,4,3,,4.0000
Buen Ayre,4,1,7.0000,9.0000
Florencio Varela,13,2,2.0000,7.0000
Congreso,4,1,2.0000,1.0000
AUBASA LP-BA,0,7,2.0000,2.0000
Del Tejar,0,3,,4.0000
Centenera,20,5,,
Centenera,13,2,,3.0000
Zarate,17,2,,
Quilmes,19,6,2.0000,4.0000
America,20,2,1.0000,6.0000
Alsina,7,6,10.0000,11.0000
Quilmes,12,1,,1.0000
Ovidio Lagos,20,2,,
Luis Viale,13,2,1.0000,10.0000
Emilio Castro,6,7,12.0000,5.0000
America,0,5,2.0000,2.0000
AUBASA BA-LP,20,3,4.0000,6.0000
AUBASA BA-LP,23,7,2.0000,9.0000
America,2,5,1.0000,4.0000
Del Tejar,20,2,2.0000,3.0000
Alvear,0,5,1.0000,6.0000
Gral Paz Provincia,2,6,2.0000,4.0000
La Bandera,2,1,,
Del Tejar,22,1,,9.0000
Laferrere,13,4,1.0000,
Fisherton,23,7,1.0000,6.0000
El Club,3,2,1.0000,
Maipu,21,7,,
Rivadavia,6,2,,
La Carmela,16,5,,1.0000
Emilio Castro,10,3,4.0000,
Villa Luro,14,5,1.0000,6.0000
Lima,2,7,31.0000,12.0000
Arroyo Seco,0,6,11.0000,6.0000
AUBASA LP-BA,15,7,4.0000,24.0000
CORS Alem,15,2,4.0000,
Bulnes,18,6,1.0000,9.0000
CORS Alem,19,4,3.0000,
Gutierrez,20,5,1.0000,4.0000
Cabildo,18,2,,
Centenera,0,4,,
Parque Sarmiento,15,2,,9.0000
Villa Luro,2,4,,5.0000
America,4,7,,
Pilar,19,7,,1.0000
Olivos,14,6,,9.0000
Amanecer,14,4,4.0000,4.0000
Villa Allende,21,5,2.0000,4.0000
Gral Paz Provincia,14,1,1.0000,12.0000
Florencio Varela,23,6,7.0000,
Luis Viale,22,2,,1.0000
Quilmes,2,2,,1.0000
La Bandera,5,2,,
La Carmela,13,1,1.0000,
Los Incas,15,4,,
Bonpland,2,2,,4.0000
Garay,23,3,1.0000,3.0000
Emilio Castro,3,6,,1.0000
Quilmes,12,7,,
Emilio Castro,4,4,,2.0000
El Arco,3,6,4.0000,3.0000
Maipu,18,1,,
Emilio Castro,4,1,,1.0000
Los Incas,13,5,,
CORS Alem,14,3,7.0000,
Los Incas,0,3,,
Laferrere,23,2,,1.0000
Bulnes,9,1,,2.0000
Laferrere,0,1,2.0000,
Pilar,15,7,,1.0000
La Carmela,17,7,,
America,1,5,,1.0000
Los Incas,16,1,,
Zarate,3,3,,
Pilar,4,4,,
Garay,2,7,1.0000,1.0000
Trelles,23,5,2.0000,2.0000
Boulevard,23,4,,
Cabildo,2,3,,
El Arco,21,3,,3.0000
Bulnes,16,5,,7.0000
Floresta,23,4,,
San Isidro,21,2,1.0000,1.0000
AUBASA BA-LP,2,2,4.0000,7.0000
Bonpland,23,3,1.0000,6.0000
Zarate Brazo Largo,2,4,2.0000,
Parque Sarmiento,1,2,,1.0000
Olivos,1,4,,
America,3,3,1.0000,2.0000
Santa Fe,18,3,2.0000,1.0000
Los Incas,19,2,,
Gutierrez,2,2,,
Pilar,23,5,,1.0000
Del Tejar,1,6,,
Florencio Varela,20,5,,
Santa Fe,14,3,,
Emilio Castro,20,7,2.0000,
Quilmes,22,2,,1.0000
Parque Sarmiento,2,1,,
Los Incas,1,5,,
La Bandera,2,7,,
America,2,3,,2.0000
Florencio Varela,21,3,,
Floresta,22,3,,1.0000
Las Heras,0,1,3.0000,1.0000
CORS EVENTOS,22,6,,
Dialogos,12,2,2.0000,3.0000
Amanecer,1,2,2.0000,3.0000
Villa Allende,1,7,,2.0000
Villa Allende,5,4,,5.0000
El Arco,14,1,,4.0000
Santa Rita,2,6,,
Fisherton,22,3,,1.0000
Bulnes,6,1,,
Centenera,0,2,,
Boulevard,21,7,,1.0000
Ovidio Lagos,23,5,,
Ovidio Lagos,22,2,,
Amanecer,1,4,,
Centenera,23,6,,1.0000
Laferrere,22,1,1.0000,
CORS Alem,19,3,,
Zarate,21,1,,
Luis Viale,1,5,,7.0000
Centenera,1,4,,
Zarate,0,1,,
Fisherton,0,4,,2.0000
Boulevard,23,1,,
Quilmes,2,3,,
Bulnes,21,4,,
CORS Alem,19,5,,
Los Incas,3,1,,
CORS EVENTOS,20,2,,
CORS EVENTOS,14,5,,
CORS EVENTOS,17,2,,
Rivadavia,6,4,,
Arroyo Seco,7,3,105.0000,129.0000
Luis Viale,11,5,2.0000,18.0000
El Club,17,2,5.0000,45.0000
La Bandera,10,6,22.0000,
AUBASA BA-LP,0,6,4.0000,1.0000
Del Tejar,6,5,1.0000,16.0000
El Arco,17,4,7.0000,13.0000
Garay,8,4,8.0000,29.0000
Pilar,19,4,,3.0000
Floresta,2,4,,
AUBASA BA-LP,11,4,29.0000,56.0000
La Carmela,7,5,1.0000,2.0000
Villa Allende,11,4,14.0000,41.0000
La Bandera,10,4,18.0000,
America,12,5,1.0000,17.0000
Trelles,18,1,2.0000,5.0000
Gral Paz Provincia,3,7,2.0000,13.0000
Zarate,3,1,,
Gutierrez,2,4,,1.0000
Del Tejar,5,7,,4.0000
Los Incas,12,7,,
Fisherton,17,7,9.0000,3.0000
Fisherton,11,5,5.0000,
Garay,6,1,4.0000,8.0000
Pilar,6,2,1.0000,2.0000
El Arco,11,2,22.0000,31.0000
Dialogos,12,3,,1.0000
Buen Ayre,17,6,14.0000,73.0000
AUBASA BA-LP,5,3,13.0000,16.0000
La Carmela,8,4,,
Zarate Brazo Largo,17,2,10.0000,6.0000
Fisherton,13,7,1.0000,
Amanecer,18,7,1.0000,7.0000
Dialogos,19,3,,1.0000
Las Heras,17,1,4.0000,1.0000
Del Tejar,13,5,,11.0000
Alsina,10,2,2.0000,16.0000
El Arco,19,5,7.0000,24.0000
Alvear,4,6,2.0000,3.0000
La Bandera,6,4,8.0000,
Trelles,2,2,,
Bonpland,13,3,4.0000,27.0000
Alvear,3,6,4.0000,9.0000
Los Incas,7,6,,
Santa Rita,5,1,2.0000,2.0000
Villa Allende,10,3,24.0000,52.0000
Bulnes,15,2,,3.0000
Luis Viale,14,6,1.0000,17.0000
AUBASA LP-BA,18,6,15.0000,41.0000
Garay,16,4,5.0000,37.0000
Olivos,11,2,,1.0000
Congreso,19,4,5.0000,22.0000
Gral Paz Capital,8,1,15.0000,30.0000
Bulnes,9,4,1.0000,16.0000
Amanecer,8,1,12.0000,1.0000
AUBASA BA-LP,1,5,1.0000,9.0000
Luis Viale,16,1,1.0000,18.0000
Buen Ayre,6,1,6.0000,29.0000
El Club,7,3,13.0000,47.0000
Zarate Brazo Largo,11,6,9.0000,39.0000
Buen Ayre,3,7,2.0000,7.0000
Zarate Brazo Largo,11,3,5.0000,12.0000
Maipu,5,4,,
Gral Paz Capital,22,2,,
Bonpland,5,7,1.0000,10.0000
Centenera,18,3,,5.0000
Amanecer,13,3,1.0000,2.0000
Arroyo Seco,4,3,18.0000,15.0000
Laferrere,5,3,2.0000,
Fisherton,12,7,5.0000,9.0000
Bonpland,6,1,5.0000,34.0000
Quilmes,3,2,,
Maipu,13,4,,
Lima,5,5,38.0000,25.0000
Arroyo Seco,3,6,18.0000,15.0000
Gral Paz Capital,6,2,7.0000,13.0000
Dialogos,4,2,,1.0000
Amanecer,2,2,,
Centenera,10,3,8.0000,23.0000
Parque Sarmiento,19,7,2.0000,4.0000
Del Tejar,20,6,,2.0000
Lima,3,3,15.0000,13.0000
Florencio Varela,14,6,4.0000,2.0000
Alvear,17,3,6.0000,55.0000
Parque Sarmiento,12,3,1.0000,16.0000
Amanecer,7,2,26.0000,16.0000
Ovidio Lagos,19,4,,2.0000
El Club,21,6,,5.0000
Parque Sarmiento,11,1,4.0000,7.0000
Floresta,6,6,6.0000,8.0000
Florencio Varela,13,4,2.0000,3.0000
Olivos,18,1,,15.0000
Dialogos,9,1,1.0000,14.0000
Parque Sarmiento,21,6,,2.0000
Lima,21,4,5.0000,9.0000
Buen Ayre,8,6,61.0000,104.0000
Arroyo Seco,8,4,125.0000,162.0000
Gral Paz Capital,3,7,8.0000,6.0000
Alvear,8,6,17.0000,67.0000
Gutierrez,11,7,7.0000,17.0000
Maipu,8,7,,
Zarate Brazo Largo,14,2,3.0000,12.0000
Amanecer,0,4,,1.0000
Gral Paz Capital,7,7,28.0000,37.0000
Buen Ayre,19,1,6.0000,37.0000
Garay,15,1,6.0000,13.0000
AUBASA LP-BA,23,3,,2.0000
Gral Paz Provincia,13,5,2.0000,10.0000
Zarate,15,4,3.0000,
Luis Viale,7,7,8.0000,16.0000
AUBASA LP-BA,4,2,1.0000,4.0000
Buen Ayre,8,5,67.0000,117.0000
AUBASA LP-BA,7,1,11.0000,20.0000
America,10,2,3.0000,53.0000
Amanecer,6,4,13.0000,7.0000
Centenera,14,5,4.0000,2.0000
Cabildo,7,7,,
Trelles,8,7,,14.0000
Maipu,9,7,,
Laferrere,4,7,,1.0000
Fisherton,17,2,3.0000,3.0000
Alvear,17,5,5.0000,48.0000
Zarate,4,3,,
Zarate,11,7,,
Santa Rita,7,7,23.0000,21.0000
Parque Sarmiento,5,1,4.0000,
Arroyo Seco,0,4,11.0000,2.0000
Pilar,9,1,2.0000,4.0000
Gral Paz Capital,5,6,15.0000,8.0000
Centenera,8,3,4.0000,12.0000
Congreso,20,4,1.0000,2.0000
Villa Luro,11,5,5.0000,45.0000
Gral Paz Provincia,6,3,11.0000,23.0000
Luis Viale,6,6,7.0000,12.0000
San Isidro,18,4,1.0000,21.0000
Alvear,12,3,3.0000,47.0000
Maipu,11,3,,
Gral Paz Capital,23,6,1.0000,3.0000
America,12,2,3.0000,29.0000
Gral Paz Capital,12,1,4.0000,10.0000
Los Incas,11,4,,
El Club,10,7,6.0000,65.0000
La Carmela,10,4,1.0000,
Lima,21,6,11.0000,12.0000
Bonpland,21,5,1.0000,9.0000
Olivos,17,4,,5.0000
Bonpland,14,4,3.0000,17.0000
Lima,7,2,107.0000,132.0000
Garay,10,3,10.0000,36.0000
Trelles,15,3,1.0000,8.0000
Las Heras,2,3,1.0000,
Ovidio Lagos,12,7,1.0000,4.0000
Buen Ayre,7,2,38.0000,62.0000
AUBASA LP-BA,21,2,1.0000,4.0000
Gral Paz Capital,6,1,15.0000,17.0000
El Club,8,5,13.0000,89.0000
La Carmela,6,3,1.0000,
Cabildo,22,6,,
Bulnes,10,7,,21.0000
Fisherton,16,2,10.0000,
Olivos,10,4,3.0000,3.0000
Del Tejar,19,7,,2.0000
Villa Luro,11,3,3.0000,40.0000
Dialogos,4,1,2.0000,2.0000
Santa Rita,8,4,19.0000,18.0000
Gutierrez,17,3,5.0000,14.0000
Fisherton,11,4,6.0000,4.0000
Florencio Varela,4,4,17.0000,
Gral Paz Provincia,19,3,8.0000,16.0000
Quilmes,12,3,,4.0000
Quilmes,18,6,,3.0000
La Carmela,16,3,,
Emilio Castro,10,5,3.0000,4.0000
Lima,15,7,24.0000,63.0000
Zarate Brazo Largo,7,3,18.0000,29.0000
AUBASA BA-LP,13,4,3.0000,26.0000
Arroyo Seco,8,2,130.0000,157.0000
Santa Rita,9,4,8.0000,15.0000
Garay,4,5,3.0000,1.0000
Parque Sarmiento,11,4,3.0000,28.0000
Quilmes,9,3,,4.0000
El Arco,11,7,19.0000,54.0000
Santa Rita,20,4,,7.0000
Trelles,7,3,4.0000,19.0000
Las Heras,13,5,4.0000,
El Club,6,2,10.0000,28.0000
Alsina,2,7,,3.0000
AUBASA BA-LP,1,7,7.0000,7.0000
Bonpland,20,4,3.0000,15.0000
Gral Paz Capital,12,7,11.0000,22.0000
Alvear,17,7,1.0000,35.0000
Arroyo Seco,1,7,24.0000,8.0000
Villa Allende,19,4,8.0000,33.0000
Las Heras,18,1,5.0000,
Buen Ayre,5,3,11.0000,12.0000
Dialogos,16,6,1.0000,6.0000
Olivos,12,7,1.0000,1.0000
Florencio Varela,10,4,4.0000,23.0000
Las Heras,10,1,7.0000,
Trelles,6,3,4.0000,17.0000
Fisherton,10,1,12.0000,2.0000
AUBASA BA-LP,22,2,3.0000,1.0000
AUBASA LP-BA,10,4,27.0000,84.0000
Santa Rita,11,6,3.0000,11.0000
Villa Luro,6,1,3.0000,16.0000
Trelles,19,2,4.0000,4.0000
Gral Paz Provincia,23,3,2.0000,6.0000
Cabildo,18,4,,
Olivos,10,5,4.0000,5.0000
Villa Allende,9,7,36.0000,56.0000
Del Tejar,7,4,2.0000,16.0000
Floresta,12,5,,1.0000
Florencio Varela,10,2,9.0000,15.0000
Boulevard,14,3,4.0000,13.0000
Laferrere,8,5,5.0000,1.0000
Congreso,10,3,8.0000,16.0000
La Bandera,8,7,36.0000,
Arroyo Seco,7,5,106.0000,145.0000
Pilar,10,3,,11.0000
Garay,6,2,11.0000,7.0000
El Club,12,7,9.0000,34.0000
Centenera,20,1,,2.0000
Florencio Varela,21,5,,
Buen Ayre,14,7,2.0000,13.0000
Dialogos,10,4,2.0000,11.0000
AUBASA LP-BA,20,5,1.0000,14.0000
Villa Allende,6,2,25.0000,10.0000
America,11,2,3.0000,51.0000
Gral Paz Capital,11,5,13.0000,36.0000
Lima,12,3,11.0000,75.0000
Las Heras,14,4,2.0000,
Villa Luro,8,4,12.0000,47.0000
San Isidro,6,3,6.0000,16.0000
Los Incas,8,4,,
La Carmela,11,3,,
Lima,12,2,25.0000,43.0000
Quilmes,5,1,,1.0000
Del Tejar,17,3,,12.0000
Las Heras,16,3,4.0000,
Gral Paz Capital,16,3,1.0000,17.0000
Trelles,13,6,1.0000,3.0000
Arroyo Seco,13,6,19.0000,14.0000
Gral Paz Provincia,15,3,7.0000,15.0000
Del Tejar,15,3,2.0000,12.0000
Quilmes,9,7,,4.0000
La Carmela,10,6,,2.0000
Bonpland,16,1,3.0000,30.0000
Gral Paz Provincia,4,1,12.0000,22.0000
Pilar,7,1,2.0000,8.0000
Quilmes,17,3,1.0000,3.0000
Pilar,0,5,,
La Bandera,20,5,1.0000,
Zarate,20,2,,
Parque Sarmiento,22,3,,
Dialogos,19,4,,3.0000
Las Heras,17,5,3.0000,6.0000
Bonpland,15,3,5.0000,28.0000
Dialogos,6,1,,10.0000
Maipu,20,5,,
Pilar,19,5,,3.0000
Centenera,5,1,1.0000,3.0000
Alsina,16,2,1.0000,7.0000
Santa Fe,17,7,3.0000,
Pilar,4,7,4.0000,
La Carmela,20,2,,2.0000
Floresta,11,3,1.0000,7.0000
America,4,4,,5.0000
Villa Allende,22,4,,
Florencio Varela,20,2,,
Pilar,2,1,1.0000,1.0000
Olivos,19,3,,9.0000
Santa Fe,12,2,2.0000,4.0000
Alsina,1,2,,1.0000
Luis Viale,19,4,,15.0000
Cabildo,21,7,,
Emilio Castro,16,2,2.0000,5.0000
Alsina,16,3,,7.0000
Zarate Brazo Largo,18,7,11.0000,11.0000
Quilmes,13,2,,
Luis Viale,21,5,,15.0000
Bonpland,14,6,,14.0000
Lima,2,3,15.0000,10.0000
El Arco,0,1,2.0000,2.0000
Trelles,12,3,1.0000,5.0000
Congreso,21,5,,3.0000
America,6,7,4.0000,11.0000
Fisherton,15,4,1.0000,
Gral Paz Provincia,21,7,,2.0000
Luis Viale,12,4,5.0000,11.0000
Las Heras,14,5,2.0000,
Gutierrez,3,7,,1.0000
Bonpland,20,6,,10.0000
Trelles,19,1,4.0000,7.0000
San Isidro,13,7,,6.0000
Floresta,14,2,,2.0000
Gutierrez,14,4,2.0000,6.0000
Santa Rita,3,7,1.0000,2.0000
Villa Luro,3,4,,6.0000
Del Tejar,8,2,,28.0000
Gral Paz Capital,2,5,1.0000,
Centenera,1,2,,
Emilio Castro,19,7,1.0000,
Zarate,2,6,,
Santa Fe,9,5,8.0000,6.0000
Las Heras,8,3,17.0000,3.0000
Luis Viale,2,4,,1.0000
America,19,5,2.0000,13.0000
Parque Sarmiento,12,4,,14.0000
Santa Rita,20,2,1.0000,4.0000
Alvear,22,5,2.0000,6.0000
Zarate,5,2,,
Villa Luro,1,6,1.0000,5.0000
El Club,2,5,,3.0000
Los Incas,6,3,,
Del Tejar,1,7,,4.0000
San Isidro,2,5,,
Los Incas,21,3,,
Alsina,15,2,1.0000,10.0000
La Bandera,7,1,7.0000,
Gral Paz Provincia,19,1,2.0000,21.0000
AUBASA LP-BA,0,5,1.0000,1.0000
Dialogos,19,6,,4.0000
Olivos,13,7,,
Garay,14,7,8.0000,13.0000
Garay,1,3,,
Dialogos,13,2,,4.0000
Bulnes,15,3,1.0000,4.0000
El Arco,23,7,3.0000,3.0000
Arroyo Seco,0,1,8.0000,11.0000
La Carmela,2,5,,
AUBASA BA-LP,21,7,3.0000,3.0000
Cabildo,22,2,,
Gral Paz Provincia,21,4,1.0000,3.0000
Zarate,15,3,,
Centenera,12,5,10.0000,8.0000
Emilio Castro,9,7,14.0000,5.0000
Alsina,4,7,,1.0000
Santa Rita,21,1,,1.0000
Olivos,13,6,,
America,16,1,1.0000,9.0000
AUBASA LP-BA,23,4,,4.0000
Parque Sarmiento,16,7,2.0000,15.0000
Bulnes,16,2,1.0000,14.0000
Fisherton,1,3,1.0000,
Bonpland,3,5,1.0000,1.0000
Garay,21,6,2.0000,9.0000
Las Heras,22,6,1.0000,
Villa Allende,23,5,,1.0000
La Bandera,3,6,,
Bonpland,3,6,,
Del Tejar,5,6,,3.0000
Buen Ayre,23,7,1.0000,1.0000
Maipu,15,7,,
AUBASA LP-BA,0,6,,
El Arco,0,4,2.0000,5.0000
Laferrere,22,5,,
La Carmela,23,4,,
America,5,4,7.0000,4.0000
La Carmela,13,5,1.0000,
Santa Rita,3,6,,
San Isidro,22,1,,1.0000
Bonpland,23,5,,7.0000
Los Incas,22,7,,
Zarate,22,5,,
Quilmes,2,5,,
Las Heras,1,4,3.0000,
Ovidio Lagos,13,2,,8.0000
CORS Alem,12,2,8.0000,
Parque Sarmiento,22,5,1.0000,1.0000
Villa Luro,2,1,,7.0000
Gutierrez,12,1,,5.0000
La Bandera,3,5,,
Del Tejar,22,6,,2.0000
Santa Fe,13,3,1.0000,
Gutierrez,22,4,,3.0000
AUBASA LP-BA,14,4,7.0000,16.0000
Quilmes,20,6,,
Amanecer,14,7,1.0000,1.0000
La Bandera,4,6,1.0000,
Trelles,23,7,,2.0000
Las Heras,4,2,,
Emilio Castro,1,1,2.0000,1.0000
La Bandera,21,3,,1.0000
Dialogos,14,7,,2.0000
Villa Luro,3,2,,4.0000
Olivos,23,6,,
Zarate,16,7,2.0000,
Boulevard,3,2,,
Villa Luro,1,4,1.0000,3.0000
Florencio Varela,12,1,5.0000,2.0000
Amanecer,3,4,2.0000,
Olivos,2,5,,
Maipu,23,2,,
Maipu,1,5,,
Fisherton,1,4,1.0000,2.0000
El Arco,23,1,2.0000,
Gutierrez,21,1,1.0000,2.0000
San Isidro,2,2,1.0000,
Trelles,1,5,,1.0000
Zarate Brazo Largo,0,1,,
San Isidro,23,2,,
Pilar,0,4,,
Floresta,1,3,2.0000,
Fisherton,0,1,2.0000,13.0000
Centenera,1,7,,
AUBASA LP-BA,22,2,2.0000,2.0000
Floresta,23,1,,
Laferrere,13,5,1.0000,
Maipu,2,2,,
Santa Fe,15,7,2.0000,1.0000
La Carmela,21,4,,
Pilar,22,2,,
El Arco,3,2,3.0000,
Las Heras,22,2,,
Luis Viale,3,3,,1.0000
Laferrere,0,6,1.0000,1.0000
La Bandera,21,4,,1.0000
Cabildo,0,2,,
Santa Fe,20,1,,1.0000
Pilar,2,2,,
La Bandera,23,5,,
Cabildo,15,7,,
Dialogos,21,4,,
La Bandera,22,6,,1.0000
Floresta,23,3,,1.0000
Centenera,0,5,,1.0000
Cabildo,15,1,,
Los Incas,13,6,,
Cabildo,3,7,,
Luis Viale,1,7,,2.0000
Los Incas,4,7,,
Rivadavia,16,7,,
Santa Fe,21,1,,
Floresta,23,5,,1.0000
Bulnes,15,7,,
Cabildo,22,1,,
Los Incas,4,1,,
Boulevard,2,5,,
Centenera,0,3,,
Rivadavia,9,6,,
Villa Allende,2,6,,
Rivadavia,7,2,,
AUBASA LP-BA,11,1,16.0000,26.0000
Maipu,10,3,1.0000,
Maipu,22,3,,
Maipu,17,3,,
San Isidro,10,4,6.0000,57.0000
Alvear,18,4,5.0000,52.0000
Villa Luro,6,3,3.0000,16.0000
El Club,7,5,8.0000,71.0000
America,9,7,4.0000,45.0000
Gutierrez,17,6,8.0000,6.0000
Gral Paz Provincia,8,3,23.0000,70.0000
Gral Paz Capital,22,7,2.0000,5.0000
Gutierrez,9,1,6.0000,15.0000
Cabildo,11,2,,1.0000
Pilar,21,4,,2.0000
Buen Ayre,14,2,3.0000,21.0000
Zarate,19,1,,
Las Heras,18,3,15.0000,1.0000
Gral Paz Capital,2,1,3.0000,5.0000
Las Heras,7,2,34.0000,3.0000
Trelles,16,1,3.0000,11.0000
Boulevard,21,2,,
Luis Viale,17,5,3.0000,18.0000
AUBASA BA-LP,12,7,22.0000,39.0000
CORS Alem,10,6,13.0000,
Villa Luro,12,4,7.0000,22.0000
Congreso,5,3,1.0000,2.0000
Laferrere,20,7,,1.0000
Pilar,7,3,3.0000,9.0000
Fisherton,0,2,1.0000,5.0000
Bonpland,12,4,1.0000,32.0000
Villa Allende,14,1,8.0000,4.0000
Zarate,18,5,,
Congreso,21,2,1.0000,6.0000
Pilar,9,2,1.0000,27.0000
Garay,15,3,4.0000,16.0000
Alsina,15,5,2.0000,8.0000
Villa Luro,12,1,3.0000,9.0000
Florencio Varela,9,1,2.0000,1.0000
Gral Paz Capital,20,6,5.0000,5.0000
Lima,22,4,4.0000,7.0000
Boulevard,6,3,3.0000,5.0000
Boulevard,17,6,3.0000,23.0000
Ovidio Lagos,15,3,,1.0000
Luis Viale,16,6,,16.0000
Maipu,8,4,,4.0000
Olivos,20,4,,
Fisherton,11,7,6.0000,3.0000
AUBASA BA-LP,18,7,15.0000,38.0000
Alvear,15,6,,29.0000
El Club,11,4,7.0000,60.0000
Garay,14,5,9.0000,13.0000
Bonpland,6,4,5.0000,28.0000
Gutierrez,11,2,4.0000,24.0000
Boulevard,9,6,23.0000,17.0000
Pilar,15,1,,
Floresta,20,7,2.0000,5.0000
Gutierrez,12,4,1.0000,15.0000
Santa Rita,16,5,,5.0000
Zarate,12,5,,2.0000
