estacion,hora,q_cafes_llevar_algo_leche_sinbakery_sinsandwiches_caramelos,q_cafes_llevar_algo_otros_sinbakery_sinsandwiches_caramelos,q_cafes_local_algo_leche_sinbakery_sinsandwiches_caramelos,q_cafes_local_algo_otros_sinbakery_sinsandwiches_caramelos
Santa Rita,2,1.0000,30.0000,1.0000,24.0000
Emilio Castro,9,11.0000,29.0000,2.0000,13.0000
Lima,5,82.0000,110.0000,6.0000,30.0000
Amanecer,15,10.0000,34.0000,null,83.0000
Las Heras,17,26.0000,28.0000,4.0000,31.0000
Parque Sarmiento,20,10.0000,74.0000,5.0000,70.0000
America,6,44.0000,35.0000,null,8.0000
Maschwitz,4,null,null,null,19.0000
Del Tejar,3,null,8.0000,null,9.0000
Rosario Sur,9,null,null,null,null
Emilio Castro,5,7.0000,12.0000,1.0000,8.0000
Gral Paz Provincia,18,34.0000,62.0000,13.0000,89.0000
Bonpland,12,10.0000,21.0000,5.0000,62.0000
Congreso,6,31.0000,22.0000,1.0000,31.0000
Del Tejar,5,7.0000,2.0000,null,12.0000
Rosario Sur,18,null,null,null,null
La Bandera,23,null,null,null,null
Parque Sarmiento,17,50.0000,114.0000,16.0000,138.0000
Dialogos,21,9.0000,5.0000,2.0000,14.0000
Alberdi,21,null,null,null,12.0000
AUBASA BA-LP,22,20.0000,108.0000,13.0000,89.0000
Zarate,23,27.0000,20.0000,null,19.0000
Zarate,2,8.0000,18.0000,null,10.0000
AUBASA LP-BA,4,30.0000,48.0000,5.0000,16.0000
Bulnes,6,3.0000,5.0000,null,5.0000
Olivos,12,25.0000,12.0000,2.0000,31.0000
DISC Echeverria,13,null,null,null,11.0000
Lima,14,92.0000,361.0000,19.0000,310.0000
Libertador,12,10.0000,22.0000,6.0000,68.0000
Centenera,0,2.0000,6.0000,null,4.0000
Quilmes,23,14.0000,21.0000,3.0000,44.0000
Maschwitz,0,null,null,null,10.0000
Bonpland,22,10.0000,16.0000,8.0000,65.0000
Gral Paz Capital,7,54.0000,56.0000,null,24.0000
Laferrere,10,15.0000,13.0000,4.0000,21.0000
Emilio Castro,6,27.0000,42.0000,null,6.0000
America,15,14.0000,25.0000,null,106.0000
Laferrere,2,5.0000,20.0000,4.0000,21.0000
Los Incas,8,61.0000,20.0000,null,null
Alberdi,13,null,null,null,14.0000
Floresta,2,1.0000,7.0000,null,6.0000
Olivos,13,20.0000,3.0000,3.0000,37.0000
Gral Paz Capital,17,74.0000,60.0000,null,145.0000
Lima,7,114.0000,153.0000,29.0000,72.0000
Emilio Castro,13,3.0000,11.0000,1.0000,16.0000
Floresta,13,1.0000,1.0000,1.0000,28.0000
Arroyo Seco,21,102.0000,171.0000,13.0000,104.0000
Zarate Brazo Largo,11,32.0000,13.0000,null,17.0000
