estacion,hora,dia_semana,q_cafes_llevar_mas_1
El Arco,6,3,60.0000
Fisherton,22,3,6.0000
Pilar,15,7,7.0000
Bulnes,16,6,4.0000
Amanecer,1,2,2.0000
Dialogos,17,4,15.0000
El Club,16,5,58.0000
Villa Luro,16,3,34.0000
Garay,3,1,8.0000
Villa Luro,12,5,27.0000
Las Heras,6,6,25.0000
Congreso,23,2,
Congreso,0,3,11.0000
Congreso,12,5,10.0000
Del Tejar,17,6,15.0000
El Club,13,2,23.0000
Bulnes,20,2,2.0000
Emilio Castro,20,6,6.0000
Parque Sarmiento,15,5,12.0000
Ovidio Lagos,22,1,
Villa Luro,5,4,26.0000
Las Heras,19,6,10.0000
Olivos,20,1,6.0000
El Arco,17,5,16.0000
El Club,19,4,48.0000
San Isidro,23,7,11.0000
La Carmela,11,7,29.0000
Zarate Brazo Largo,15,1,22.0000
Dialogos,5,6,13.0000
Trelles,20,7,5.0000
Del Tejar,22,1,4.0000
Villa Allende,18,2,17.0000
Santa Fe,18,3,18.0000
Laferrere,13,4,2.0000
AUBASA LP-BA,0,2,93.0000
Amanecer,5,7,24.0000
Buen Ayre,2,1,64.0000
Boulevard,13,3,4.0000
Olivos,1,3,11.0000
Ovidio Lagos,20,4,4.0000
CORS Alem,15,2,71.0000
Alsina,14,4,2.0000
Buen Ayre,0,4,55.0000
Gral Paz Provincia,14,6,16.0000
El Arco,15,3,6.0000
Ovidio Lagos,1,6,6.0000
Alberdi,16,7,4.0000
Fisherton,21,3,3.0000
Parque Sarmiento,16,5,14.0000
Gral Paz Provincia,4,5,70.0000
Maipu,14,2,7.0000
Rosario Sur,12,7,12.0000
Trelles,9,5,38.0000
Los Incas,9,7,18.0000
La Bandera,17,7,23.0000
La Carmela,21,6,5.0000
Santa Rita,13,6,8.0000
Boulevard,8,1,30.0000
Alsina,16,6,11.0000
Santa Rita,8,7,42.0000
Alberdi,18,2,5.0000
Congreso,3,6,14.0000
Zarate Brazo Largo,11,1,75.0000
Buen Ayre,3,5,16.0000
Villa Allende,15,6,8.0000
Santa Rita,2,6,6.0000
La Bandera,8,5,30.0000
Las Heras,0,1,8.0000
Pilar,19,6,25.0000
La Bandera,9,1,17.0000
Luis Viale,20,6,3.0000
La Carmela,0,7,2.0000
America,2,3,5.0000
Pilar,5,6,42.0000
Florencio Varela,22,1,12.0000
Amanecer,23,7,16.0000
Luis Viale,21,6,13.0000
Zarate Brazo Largo,6,3,61.0000
Alvear,1,4,22.0000
Cabildo,18,5,8.0000
Luis Viale,3,6,21.0000
Cabildo,1,6,2.0000
Santa Fe,18,2,21.0000
Fisherton,5,2,24.0000
Alsina,17,6,15.0000
Bonpland,6,5,37.0000
Maschwitz,12,4,6.0000
Quilmes,5,2,20.0000
Fisherton,0,4,13.0000
Alberdi,10,5,17.0000
Villa Allende,1,7,5.0000
Villa Luro,15,1,22.0000
Emilio Castro,4,4,17.0000
Gral Paz Provincia,22,4,20.0000
La Carmela,13,4,4.0000
Buen Ayre,1,5,13.0000
Amanecer,5,6,15.0000
Cabildo,9,4,15.0000
Del Tejar,5,4,6.0000
Maipu,6,5,
Las Heras,1,3,9.0000
Zarate Brazo Largo,14,1,27.0000
Boulevard,6,7,16.0000
Villa Luro,13,6,12.0000
La Bandera,2,1,
Floresta,15,5,13.0000
Rosario Sur,17,1,12.0000
Bulnes,9,1,6.0000
Maipu,20,3,6.0000
Las Heras,2,6,10.0000
Trelles,18,2,6.0000
Santa Rita,1,3,9.0000
Luis Viale,21,3,27.0000
Amanecer,20,5,15.0000
Rosario Sur,8,3,14.0000
Amanecer,2,7,18.0000
Emilio Castro,5,3,12.0000
Olivos,21,7,6.0000
Congreso,13,4,11.0000
Zarate Brazo Largo,2,4,12.0000
El Arco,14,7,11.0000
Zarate Brazo Largo,15,2,43.0000
Boulevard,23,4,4.0000
Florencio Varela,21,3,8.0000
Pilar,23,5,10.0000
Del Tejar,4,3,3.0000
El Arco,3,6,17.0000
Santa Rita,22,6,11.0000
Garay,4,3,15.0000
La Carmela,12,3,8.0000
Santa Rita,2,3,4.0000
La Carmela,15,3,16.0000
Congreso,13,3,11.0000
Boulevard,21,7,2.0000
America,3,3,7.0000
Bulnes,6,2,3.0000
Gral Paz Capital,2,4,20.0000
Floresta,4,2,6.0000
Los Incas,3,1,2.0000
Garay,11,3,32.0000
Trelles,4,5,12.0000
Florencio Varela,21,7,12.0000
Bonpland,0,5,12.0000
Santa Rita,14,1,7.0000
Parque Sarmiento,21,7,2.0000
Centenera,2,5,8.0000
Centenera,5,2,11.0000
Maschwitz,10,7,20.0000
El Club,4,7,19.0000
Alsina,21,2,4.0000
Dialogos,2,4,2.0000
Emilio Castro,19,5,7.0000
La Bandera,2,7,2.0000
Alberdi,7,7,10.0000
Santa Rita,12,5,2.0000
Laferrere,23,2,8.0000
El Arco,21,3,3.0000
CORS Alem,19,4,11.0000
Parque Sarmiento,2,1,7.0000
America,22,4,10.0000
CORS Alem,7,5,46.0000
Del Tejar,21,4,4.0000
Del Tejar,19,2,11.0000
Buen Ayre,21,4,17.0000
Luis Viale,13,5,4.0000
Maschwitz,17,6,16.0000
Floresta,3,4,8.0000
Dialogos,15,1,16.0000
Olivos,1,4,5.0000
Ovidio Lagos,23,5,17.0000
Alberdi,9,7,12.0000
CORS Alem,18,5,121.0000
Alberdi,12,5,6.0000
La Carmela,12,5,15.0000
El Club,4,5,14.0000
Pilar,4,1,13.0000
Laferrere,2,4,9.0000
Olivos,6,3,37.0000
Centenera,1,4,2.0000
America,1,5,13.0000
America,4,7,14.0000
Zarate,18,4,16.0000
Amanecer,23,3,12.0000
Las Heras,12,7,16.0000
America,21,6,2.0000
Congreso,2,7,17.0000
Trelles,8,1,32.0000
Parque Sarmiento,14,7,7.0000
OPERADOR LOGISTICO 2,10,7,
Maipu,21,7,
Cabildo,10,6,4.0000
Dialogos,12,2,10.0000
America,3,2,4.0000
La Carmela,3,3,10.0000
Villa Luro,3,3,18.0000
Olivos,5,2,6.0000
Centenera,0,4,2.0000
Villa Allende,22,6,3.0000
Cabildo,5,4,7.0000
Maschwitz,8,1,30.0000
Cabildo,18,2,8.0000
Floresta,23,4,
OPERADOR LOGISTICO 2,14,4,
Florencio Varela,2,5,2.0000
Villa Luro,4,4,
Floresta,20,4,4.0000
La Carmela,21,5,4.0000
Parque Sarmiento,12,7,10.0000
Maipu,20,1,2.0000
Fisherton,2,2,6.0000
Luis Viale,5,6,16.0000
CORS EVENTOS,22,6,2.0000
Trelles,19,4,4.0000
CORS EVENTOS,17,3,14.0000
Santa Rita,20,7,2.0000
Zarate Brazo Largo,2,7,20.0000
San Isidro,4,6,14.0000
OPERADOR LOGISTICO 2,13,5,
Las Heras,3,4,9.0000
Rosario Sur,5,7,9.0000
San Isidro,3,5,7.0000
Los Incas,11,2,15.0000
La Carmela,13,1,13.0000
Olivos,5,7,19.0000
El Club,3,2,3.0000
CORS EVENTOS,16,7,2.0000
Centenera,4,4,6.0000
Parque Sarmiento,1,2,
La Bandera,6,1,7.0000
OPERADOR LOGISTICO,21,1,
Alberdi,21,3,5.0000
Centenera,23,3,
Maschwitz,20,3,2.0000
CORS Alem,11,6,25.0000
Ovidio Lagos,22,2,
Maschwitz,12,1,6.0000
Centenera,23,6,2.0000
Maschwitz,13,6,2.0000
Centenera,0,2,4.0000
Alberdi,16,1,6.0000
Boulevard,5,6,8.0000
La Bandera,5,2,
Rosario Sur,18,3,2.0000
Zarate,14,2,14.0000
Las Heras,3,3,3.0000
Villa Allende,1,5,2.0000
Maschwitz,15,3,6.0000
Alberdi,6,2,6.0000
Alsina,19,1,10.0000
Boulevard,21,5,2.0000
Santa Fe,16,6,10.0000
Santa Fe,14,3,3.0000
Los Incas,14,4,4.0000
Rosario Sur,23,3,4.0000
Los Incas,0,3,4.0000
Trelles,17,7,3.0000
Emilio Castro,20,7,4.0000
Maschwitz,5,6,4.0000
Emilio Castro,9,1,10.0000
Emilio Castro,13,6,3.0000
Santa Fe,12,5,9.0000
Los Incas,13,4,2.0000
Pilar,4,2,15.0000
Maschwitz,4,4,4.0000
OPERADOR LOGISTICO,19,6,
Alsina,3,5,4.0000
Zarate,21,1,11.0000
Alberdi,22,1,4.0000
Maschwitz,20,1,14.0000
Las Heras,4,6,11.0000
Boulevard,23,1,2.0000
America,4,3,2.0000
Cabildo,19,1,7.0000
Alberdi,18,4,2.0000
Alberdi,16,2,2.0000
Cabildo,2,6,6.0000
OPERADOR LOGISTICO,18,5,
Alberdi,17,4,2.0000
OPERADOR LOGISTICO 2,18,5,
Quilmes,22,2,2.0000
Maschwitz,19,6,11.0000
CORS Alem,19,5,4.0000
Bulnes,21,4,
OPERADOR LOGISTICO,8,2,
CORS Alem,13,3,15.0000
Rivadavia,6,3,3.0000
Maschwitz,21,4,3.0000
Bulnes,6,1,
Las Heras,4,4,3.0000
Rivadavia,6,4,2.0000
Boulevard,5,2,2.0000
Alberdi,16,6,2.0000
Cabildo,2,3,4.0000
Cabildo,21,5,
Los Incas,14,3,2.0000
OPERADOR LOGISTICO,11,2,
OPERADOR LOGISTICO,14,4,
Rivadavia,11,3,2.0000
Rosario Sur,17,3,2.0000
Alberdi,12,3,2.0000
Zarate Brazo Largo,6,7,187.0000
Buen Ayre,9,4,381.0000
Buen Ayre,9,1,342.0000
Gral Paz Capital,7,6,292.0000
San Isidro,18,2,35.0000
Bonpland,17,6,34.0000
AUBASA LP-BA,0,7,111.0000
Alvear,6,3,74.0000
Pilar,19,7,29.0000
San Isidro,8,2,50.0000
Zarate Brazo Largo,7,1,116.0000
Gral Paz Capital,7,4,222.0000
AUBASA BA-LP,12,6,157.0000
Dialogos,6,3,25.0000
Santa Rita,7,5,39.0000
La Bandera,9,5,42.0000
Del Tejar,7,1,18.0000
Gral Paz Provincia,9,2,209.0000
Gral Paz Provincia,10,4,170.0000
Pilar,8,7,160.0000
Arroyo Seco,9,3,708.0000
Gral Paz Provincia,6,7,267.0000
Trelles,6,6,29.0000
Zarate Brazo Largo,10,7,163.0000
Lima,11,5,342.0000
Centenera,8,4,47.0000
La Carmela,12,4,3.0000
Buen Ayre,20,3,39.0000
Gral Paz Provincia,14,1,30.0000
Lima,0,7,107.0000
Del Tejar,1,6,11.0000
Buen Ayre,10,5,276.0000
La Bandera,18,3,8.0000
Las Heras,9,4,39.0000
AUBASA BA-LP,2,2,43.0000
America,0,5,9.0000
Arroyo Seco,5,3,299.0000
Florencio Varela,11,7,40.0000
Bonpland,12,3,12.0000
Gral Paz Capital,15,7,66.0000
AUBASA BA-LP,20,3,61.0000
Parque Sarmiento,16,2,18.0000
Pilar,19,4,18.0000
Arroyo Seco,7,3,730.0000
Gutierrez,2,4,14.0000
La Carmela,7,5,68.0000
Gral Paz Provincia,4,1,108.0000
America,12,5,10.0000
Del Tejar,6,5,17.0000
Luis Viale,11,5,14.0000
Fisherton,17,7,25.0000
La Bandera,10,6,33.0000
AUBASA BA-LP,11,4,169.0000
Gral Paz Provincia,3,7,51.0000
El Club,17,2,51.0000
Villa Allende,23,5,2.0000
Buen Ayre,17,6,183.0000
El Arco,19,5,27.0000
Fisherton,13,7,12.0000
Pilar,6,2,32.0000
Dialogos,12,3,46.0000
Alsina,10,2,18.0000
Fisherton,11,5,24.0000
El Arco,11,2,61.0000
Dialogos,19,6,15.0000
AUBASA BA-LP,1,5,34.0000
AUBASA LP-BA,18,6,166.0000
Buen Ayre,23,7,24.0000
Gral Paz Capital,8,1,237.0000
Laferrere,0,6,8.0000
Garay,16,4,26.0000
Villa Allende,10,3,57.0000
El Club,7,3,80.0000
Buen Ayre,6,1,135.0000
Luis Viale,14,6,3.0000
Dialogos,21,4,16.0000
Bonpland,3,6,12.0000
Bulnes,9,4,30.0000
Zarate Brazo Largo,11,6,77.0000
Garay,14,7,27.0000
Alvear,17,3,40.0000
Floresta,6,6,55.0000
AUBASA LP-BA,0,6,37.0000
Arroyo Seco,3,6,175.0000
Parque Sarmiento,19,7,4.0000
Fisherton,12,7,32.0000
Parque Sarmiento,11,1,23.0000
Gral Paz Capital,6,2,141.0000
Amanecer,7,2,46.0000
El Club,21,6,29.0000
Lima,5,5,200.0000
Dialogos,9,1,26.0000
Arroyo Seco,4,3,193.0000
Olivos,18,1,23.0000
Arroyo Seco,0,1,147.0000
Buen Ayre,19,1,198.0000
Buen Ayre,8,6,514.0000
Arroyo Seco,8,4,810.0000
Santa Fe,12,2,6.0000
Alvear,8,6,133.0000
Gral Paz Capital,3,7,67.0000
AUBASA BA-LP,21,7,26.0000
Emilio Castro,16,2,14.0000
Maschwitz,7,7,28.0000
Zarate Brazo Largo,0,1,16.0000
Zarate Brazo Largo,14,2,13.0000
Arroyo Seco,0,4,99.0000
Buen Ayre,8,5,509.0000
Fisherton,17,2,16.0000
El Arco,0,1,13.0000
Alvear,17,5,40.0000
Gutierrez,12,1,32.0000
Centenera,14,5,6.0000
Villa Luro,11,5,52.0000
El Club,10,7,124.0000
Gral Paz Capital,12,1,87.0000
La Carmela,10,4,30.0000
San Isidro,18,4,35.0000
America,12,2,13.0000
Fisherton,15,4,8.0000
Gral Paz Capital,23,6,36.0000
Maipu,23,2,4.0000
Luis Viale,6,6,54.0000
Bonpland,14,4,17.0000
Fisherton,11,4,22.0000
Dialogos,4,1,10.0000
Bonpland,20,6,10.0000
Lima,7,2,598.0000
Fisherton,16,2,11.0000
Gral Paz Capital,6,1,219.0000
El Club,8,5,75.0000
Santa Rita,21,1,2.0000
Alberdi,18,6,16.0000
America,16,1,7.0000
AUBASA LP-BA,23,4,18.0000
Del Tejar,19,7,8.0000
Del Tejar,8,2,87.0000
Buen Ayre,7,2,335.0000
Quilmes,18,6,18.0000
Gral Paz Provincia,19,3,79.0000
Bulnes,10,7,22.0000
San Isidro,13,7,17.0000
El Club,6,2,35.0000
Arroyo Seco,8,2,945.0000
Parque Sarmiento,11,4,19.0000
Lima,15,7,351.0000
Parque Sarmiento,16,7,17.0000
Fisherton,1,4,4.0000
Fisherton,0,1,10.0000
Alsina,2,7,
El Arco,11,7,41.0000
Gral Paz Capital,12,7,102.0000
Zarate Brazo Largo,7,3,110.0000
El Arco,23,1,13.0000
AUBASA BA-LP,13,4,57.0000
Arroyo Seco,1,7,234.0000
Luis Viale,3,3,6.0000
Alvear,17,7,48.0000
Florencio Varela,10,2,47.0000
Santa Rita,11,6,16.0000
Floresta,12,5,10.0000
Villa Allende,19,4,10.0000
Fisherton,10,1,62.0000
AUBASA LP-BA,10,4,197.0000
Boulevard,14,3,9.0000
Parque Sarmiento,12,4,11.0000
Olivos,10,5,26.0000
Laferrere,8,5,41.0000
Del Tejar,7,4,60.0000
Buen Ayre,5,3,84.0000
Trelles,6,3,33.0000
Dialogos,16,6,18.0000
Santa Fe,9,5,33.0000
Florencio Varela,10,4,52.0000
Gral Paz Capital,11,5,77.0000
AUBASA LP-BA,22,2,23.0000
Dialogos,10,4,31.0000
Buen Ayre,14,7,75.0000
Arroyo Seco,7,5,909.0000
Florencio Varela,21,5,13.0000
America,11,2,26.0000
Amanecer,14,7,37.0000
Pilar,10,3,46.0000
Villa Luro,1,6,10.0000
Quilmes,5,1,19.0000
Quilmes,9,7,62.0000
Lima,12,3,114.0000
Lima,12,2,197.0000
Arroyo Seco,13,6,220.0000
Los Incas,8,4,30.0000
Villa Luro,8,4,61.0000
Bonpland,16,1,9.0000
Gral Paz Provincia,19,1,84.0000
Gral Paz Provincia,15,3,46.0000
Las Heras,14,4,11.0000
America,9,7,42.0000
AUBASA LP-BA,4,1,74.0000
CORS EVENTOS,17,6,35.0000
Ovidio Lagos,12,3,
San Isidro,10,4,55.0000
Gral Paz Capital,2,1,57.0000
AUBASA LP-BA,11,1,179.0000
Gutierrez,9,1,84.0000
El Club,7,5,66.0000
Gral Paz Capital,1,1,79.0000
Alvear,18,4,49.0000
Gutierrez,17,6,34.0000
Gral Paz Capital,22,7,20.0000
Las Heras,18,3,26.0000
Maschwitz,9,6,32.0000
Maipu,10,3,11.0000
Cabildo,23,4,4.0000
Villa Luro,12,1,41.0000
Olivos,20,4,
Villa Allende,14,1,11.0000
CORS Alem,10,6,66.0000
Emilio Castro,23,2,16.0000
Zarate,18,5,23.0000
Pilar,9,2,32.0000
Garay,15,3,21.0000
Alsina,15,5,11.0000
Florencio Varela,9,1,42.0000
Garay,23,4,13.0000
Arroyo Seco,0,7,164.0000
Boulevard,17,6,22.0000
Boulevard,6,3,52.0000
Bonpland,12,4,4.0000
Luis Viale,16,6,10.0000
Villa Luro,12,4,19.0000
AUBASA BA-LP,12,7,202.0000
Villa Allende,15,5,20.0000
AUBASA BA-LP,18,7,196.0000
El Club,14,1,25.0000
Fisherton,11,7,44.0000
Gral Paz Capital,12,5,41.0000
Gutierrez,11,2,28.0000
Congreso,2,1,14.0000
Zarate Brazo Largo,12,1,33.0000
El Club,11,4,63.0000
Emilio Castro,14,7,12.0000
Pilar,23,7,17.0000
Boulevard,9,6,70.0000
Zarate Brazo Largo,15,4,17.0000
Arroyo Seco,16,2,647.0000
Maipu,17,4,9.0000
Boulevard,14,7,13.0000
Arroyo Seco,11,4,317.0000
Las Heras,7,7,43.0000
Trelles,18,4,14.0000
OPERADOR LOGISTICO 2,9,6,
Garay,15,6,39.0000
Gral Paz Provincia,9,6,216.0000
Gral Paz Provincia,7,4,300.0000
Gral Paz Capital,10,4,193.0000
Amanecer,19,5,21.0000
Santa Rita,17,3,8.0000
Gral Paz Provincia,15,2,52.0000
Garay,7,2,35.0000
Zarate,9,3,55.0000
Arroyo Seco,15,4,329.0000
AUBASA LP-BA,7,2,278.0000
Alvear,19,6,24.0000
San Isidro,18,5,50.0000
Alvear,5,6,41.0000
Bonpland,17,1,27.0000
Dialogos,7,6,30.0000
Emilio Castro,4,1,19.0000
La Bandera,9,6,37.0000
El Arco,15,2,5.0000
Centenera,13,2,2.0000
San Isidro,8,7,80.0000
La Bandera,16,4,3.0000
Ovidio Lagos,8,7,37.0000
Gral Paz Provincia,20,7,45.0000
Garay,13,4,18.0000
AUBASA BA-LP,23,7,43.0000
Centenera,10,4,38.0000
Alsina,7,6,42.0000
Ovidio Lagos,20,2,4.0000
Quilmes,2,2,4.0000
Laferrere,22,1,8.0000
La Bandera,10,4,25.0000
Garay,8,4,57.0000
Pilar,7,1,27.0000
Gutierrez,21,1,18.0000
Zarate Brazo Largo,17,2,47.0000
Dialogos,19,4,27.0000
La Carmela,8,4,73.0000
Ovidio Lagos,13,2,
Bonpland,15,3,25.0000
Amanecer,13,3,4.0000
Gral Paz Capital,22,2,15.0000
Las Heras,17,5,15.0000
Bonpland,5,7,22.0000
Congreso,19,4,10.0000
Centenera,10,3,30.0000
El Arco,23,7,8.0000
Del Tejar,20,6,4.0000
Lima,3,3,83.0000
Bonpland,6,1,20.0000
Gral Paz Capital,7,7,252.0000
AUBASA LP-BA,23,3,32.0000
Luis Viale,7,7,29.0000
Gral Paz Provincia,13,5,16.0000
Maipu,9,7,24.0000
Santa Rita,7,7,46.0000
AUBASA LP-BA,4,2,53.0000
Amanecer,6,4,40.0000
AUBASA LP-BA,7,1,157.0000
Laferrere,4,7,12.0000
Trelles,8,7,30.0000
Gral Paz Provincia,6,3,141.0000
Olivos,23,6,14.0000
Pilar,9,1,44.0000
Alvear,12,3,25.0000
America,6,7,34.0000
Emilio Castro,9,7,58.0000
Gral Paz Capital,5,6,144.0000
Olivos,17,4,14.0000
Garay,10,3,50.0000
Gutierrez,17,3,34.0000
Quilmes,12,3,20.0000
Santa Rita,8,4,54.0000
Villa Luro,11,3,33.0000
Emilio Castro,10,5,53.0000
Florencio Varela,4,4,23.0000
La Carmela,16,3,8.0000
Quilmes,9,3,43.0000
Las Heras,13,5,14.0000
Santa Rita,20,4,2.0000
Bonpland,20,4,23.0000
OPERADOR LOGISTICO 2,16,5,
Villa Allende,9,7,80.0000
Bulnes,16,2,
Villa Luro,6,1,52.0000
AUBASA LP-BA,20,5,32.0000
Alvear,22,5,11.0000
Bonpland,23,5,18.0000
El Club,12,7,56.0000
La Bandera,8,7,34.0000
Garay,21,6,2.0000
Gral Paz Capital,16,3,46.0000
Las Heras,16,3,15.0000
Buen Ayre,14,2,52.0000
Gral Paz Provincia,8,3,185.0000
Centenera,1,6,2.0000
Zarate,19,1,32.0000
Cabildo,11,2,14.0000
Fisherton,0,2,10.0000
Lima,22,4,78.0000
Gral Paz Capital,20,6,27.0000
AUBASA BA-LP,21,5,57.0000
Alvear,15,6,30.0000
Bonpland,19,7,15.0000
Garay,14,5,35.0000
Alvear,7,7,106.0000
Villa Luro,4,5,8.0000
Cabildo,5,5,9.0000
Dialogos,23,6,11.0000
Amanecer,7,5,74.0000
Quilmes,15,3,19.0000
Villa Luro,0,2,22.0000
Gral Paz Capital,13,3,32.0000
Lima,21,7,112.0000
Centenera,20,5,10.0000
OPERADOR LOGISTICO 2,11,4,
Amanecer,14,4,16.0000
Los Incas,1,5,2.0000
America,7,4,44.0000
AUBASA BA-LP,14,4,83.0000
Luis Viale,10,4,9.0000
Zarate,17,2,23.0000
America,20,2,6.0000
Bonpland,0,4,6.0000
Los Incas,7,5,34.0000
El Arco,17,4,14.0000
Los Incas,12,7,9.0000
Garay,6,1,31.0000
Las Heras,17,1,33.0000
Dialogos,19,3,29.0000
La Bandera,6,4,14.0000
Alvear,4,6,12.0000
AUBASA BA-LP,5,3,74.0000
Cabildo,15,7,4.0000
Bulnes,15,2,2.0000
Buen Ayre,3,7,40.0000
Florencio Varela,20,2,20.0000
Olivos,19,3,12.0000
La Carmela,2,5,22.0000
Zarate,15,3,10.0000
Luis Viale,12,4,6.0000
Centenera,8,3,34.0000
Lima,21,6,91.0000
Bonpland,21,5,15.0000
Las Heras,2,3,8.0000
Olivos,13,6,10.0000
AUBASA LP-BA,21,2,18.0000
Gutierrez,14,4,6.0000
Gutierrez,3,7,8.0000
La Carmela,6,3,37.0000
AUBASA BA-LP,1,7,76.0000
AUBASA LP-BA,14,4,41.0000
Las Heras,8,3,31.0000
AUBASA BA-LP,22,2,20.0000
Congreso,10,3,32.0000
Gral Paz Provincia,23,3,41.0000
Floresta,23,1,7.0000
La Carmela,11,3,12.0000
Bonpland,3,5,11.0000
La Carmela,10,6,26.0000
Del Tejar,15,3,19.0000
Las Heras,7,2,35.0000
Gutierrez,23,3,13.0000
Cabildo,10,3,23.0000
Bonpland,6,4,26.0000
Ovidio Lagos,23,7,4.0000
Maipu,23,7,9.0000
Garay,14,4,7.0000
Floresta,17,4,16.0000
Quilmes,9,6,50.0000
Santa Rita,9,1,19.0000
La Carmela,7,4,62.0000
Pilar,16,7,38.0000
Pilar,12,6,3.0000
La Carmela,20,1,15.0000
Los Incas,13,5,6.0000
Olivos,14,6,6.0000
Parque Sarmiento,19,4,7.0000
Quilmes,19,6,15.0000
Quilmes,2,3,9.0000
Maipu,10,1,15.0000
Villa Luro,5,6,31.0000
Luis Viale,13,2,6.0000
Quilmes,12,1,13.0000
Parque Sarmiento,14,4,2.0000
Garay,2,7,6.0000
Florencio Varela,23,6,17.0000
CORS Alem,9,5,126.0000
America,12,4,4.0000
Las Heras,22,6,3.0000
AUBASA BA-LP,0,6,76.0000
Quilmes,17,3,28.0000
Villa Allende,11,4,18.0000
Alvear,3,6,24.0000
Amanecer,8,1,30.0000
Zarate Brazo Largo,11,3,40.0000
Ovidio Lagos,19,4,4.0000
Garay,15,1,9.0000
Maipu,8,7,34.0000
Lima,21,4,84.0000
Zarate,15,4,10.0000
Alsina,1,2,6.0000
Gutierrez,11,7,49.0000
El Arco,0,4,18.0000
El Arco,3,2,7.0000
Zarate,11,7,30.0000
Zarate Brazo Largo,18,7,59.0000
America,10,2,15.0000
Centenera,12,5,18.0000
Las Heras,14,5,13.0000
America,5,4,12.0000
Santa Rita,3,7,17.0000
Trelles,15,3,7.0000
Olivos,10,4,21.0000
Trelles,19,1,17.0000
Gral Paz Capital,2,5,23.0000
Santa Rita,9,4,24.0000
Trelles,7,3,30.0000
Boulevard,3,2,
Centenera,1,2,
America,19,5,5.0000
Centenera,1,7,3.0000
Las Heras,10,1,22.0000
Trelles,19,2,10.0000
Quilmes,20,6,6.0000
Zarate,5,2,42.0000
Alsina,15,2,15.0000
Del Tejar,17,3,25.0000
San Isidro,6,3,40.0000
Florencio Varela,12,1,26.0000
Maipu,17,3,11.0000
Zarate,1,7,32.0000
Maschwitz,11,1,10.0000
Maipu,22,3,4.0000
Pilar,7,3,78.0000
Maipu,8,4,14.0000
Ovidio Lagos,15,3,3.0000
Gutierrez,12,4,17.0000
Villa Luro,13,4,6.0000
Las Heras,0,6,10.0000
Santa Fe,16,2,6.0000
Pilar,15,1,7.0000
Rosario Sur,22,3,2.0000
Santa Rita,16,5,15.0000
CORS Alem,17,3,85.0000
Centenera,14,2,8.0000
Ovidio Lagos,14,6,4.0000
Garay,15,7,35.0000
Los Incas,17,5,8.0000
Gral Paz Capital,4,3,73.0000
Rosario Sur,3,7,4.0000
San Isidro,6,1,20.0000
Villa Luro,22,6,12.0000
Emilio Castro,8,5,37.0000
Amanecer,0,2,19.0000
Los Incas,5,4,12.0000
Boulevard,5,1,12.0000
Del Tejar,0,3,2.0000
CORS Alem,14,3,42.0000
Bonpland,5,5,16.0000
Los Incas,6,2,9.0000
La Bandera,20,5,4.0000
Del Tejar,5,7,8.0000
Amanecer,18,7,16.0000
Del Tejar,13,5,11.0000
Santa Rita,5,1,36.0000
Maipu,5,4,11.0000
Luis Viale,16,1,10.0000
Parque Sarmiento,12,3,4.0000
Floresta,23,3,2.0000
Pilar,22,2,7.0000
Luis Viale,19,4,16.0000
Alberdi,5,7,6.0000
Laferrere,22,5,5.0000
Quilmes,13,2,8.0000
Dialogos,14,7,10.0000
San Isidro,23,2,4.0000
Gral Paz Provincia,21,7,15.0000
El Club,2,5,2.0000
Del Tejar,1,7,11.0000
Cabildo,0,2,2.0000
Villa Luro,6,3,56.0000
Luis Viale,17,5,15.0000
Congreso,1,6,4.0000
Bonpland,22,1,20.0000
La Carmela,22,5,4.0000
Las Heras,12,4,10.0000
Ovidio Lagos,0,3,8.0000
El Arco,14,1,10.0000
Villa Allende,21,5,8.0000
Dialogos,2,1,21.0000
Gutierrez,4,4,27.0000
Boulevard,18,7,19.0000
Zarate,3,1,43.0000
San Isidro,2,2,17.0000
Bonpland,13,3,13.0000
Dialogos,6,1,39.0000
Los Incas,13,6,4.0000
Centenera,18,3,15.0000
La Carmela,20,2,8.0000
La Bandera,21,3,
Villa Luro,2,1,30.0000
Quilmes,3,2,
Pilar,2,2,4.0000
Luis Viale,2,4,6.0000
Las Heras,18,1,20.0000
Trelles,13,6,4.0000
San Isidro,2,5,9.0000
AUBASA LP-BA,0,5,35.0000
Del Tejar,0,2,21.0000
Dialogos,15,7,7.0000
Florencio Varela,0,6,18.0000
Maipu,4,1,6.0000
Bonpland,5,4,15.0000
Alvear,22,2,22.0000
Cabildo,18,1,8.0000
AUBASA BA-LP,1,3,17.0000
Florencio Varela,13,6,14.0000
Del Tejar,12,3,10.0000
Pilar,4,4,22.0000
Zarate,0,1,27.0000
Laferrere,17,4,3.0000
Trelles,18,1,18.0000
Floresta,2,4,5.0000
Olivos,13,7,6.0000
Emilio Castro,1,1,13.0000
CORS Alem,12,2,42.0000
Rosario Sur,9,7,14.0000
Bulnes,15,3,6.0000
Laferrere,5,3,28.0000
Florencio Varela,14,6,22.0000
Cabildo,21,7,4.0000
Amanecer,0,4,21.0000
Bonpland,14,6,16.0000
Alsina,16,3,11.0000
Gral Paz Provincia,21,4,9.0000
Maipu,11,3,6.0000
Villa Luro,3,2,20.0000
Gutierrez,22,4,2.0000
Maipu,1,5,16.0000
Las Heras,22,2,3.0000
Zarate,2,6,14.0000
La Carmela,13,5,8.0000
