estacion,hora,dia_semana,q_cafes_llevar_algo_otros_sinbakery_negro_caramelonochoco,q_cafes_local_algo_otros_sinbakery_negro_caramelonochoco
Pilar,16,1,,
Centenera,14,3,,2.0000
Gral Paz Provincia,15,1,3.0000,10.0000
Zarate,3,2,1.0000,
Quilmes,1,6,1.0000,4.0000
Dialogos,17,5,1.0000,1.0000
Luis Viale,12,6,,4.0000
Santa Rita,11,2,,3.0000
Laferrere,14,3,,2.0000
Zarate Brazo Largo,3,3,,
Alberdi,8,3,,
La Carmela,0,5,,
Maipu,15,5,,
El Club,19,2,1.0000,3.0000
Olivos,23,5,,
Santa Fe,19,6,3.0000,
Lima,11,2,22.0000,16.0000
Garay,23,2,,1.0000
Lima,18,5,42.0000,22.0000
Fisherton,13,5,1.0000,
El Arco,19,1,4.0000,1.0000
AUBASA BA-LP,1,2,8.0000,6.0000
Dialogos,9,2,,1.0000
Buen Ayre,19,3,5.0000,5.0000
Gral Paz Provincia,13,1,2.0000,
Zarate,18,1,,
Santa Fe,10,2,3.0000,
Parque Sarmiento,18,3,,7.0000
Alsina,1,3,,2.0000
San Isidro,14,2,3.0000,7.0000
AUBASA LP-BA,16,2,6.0000,15.0000
Santa Rita,17,4,,4.0000
Fisherton,21,5,,
Gutierrez,16,5,3.0000,4.0000
La Carmela,6,5,,
Bulnes,18,5,1.0000,1.0000
Laferrere,15,2,1.0000,
Florencio Varela,10,1,1.0000,3.0000
El Club,2,4,,
Alberdi,1,4,,
Centenera,15,5,1.0000,3.0000
Garay,16,6,1.0000,2.0000
Emilio Castro,20,1,1.0000,1.0000
Rosario Sur,22,6,,
Centenera,5,4,2.0000,
Del Tejar,6,6,,
Ovidio Lagos,16,7,,1.0000
Luis Viale,8,5,5.0000,
Luis Viale,18,7,2.0000,2.0000
La Bandera,10,7,1.0000,
Cabildo,22,7,,
Gral Paz Capital,14,1,3.0000,6.0000
Alsina,5,7,,
Los Incas,22,3,,
Floresta,11,5,4.0000,1.0000
Congreso,5,4,1.0000,
Santa Fe,17,5,1.0000,
Gutierrez,3,5,,
Garay,5,1,2.0000,1.0000
Emilio Castro,1,3,1.0000,
Santa Fe,21,4,,
Bonpland,8,1,2.0000,2.0000
Garay,7,1,2.0000,
Quilmes,0,5,,
Maipu,0,3,,
Los Incas,17,1,,
Maschwitz,7,1,,
OPERADOR LOGISTICO 2,15,3,,
Bonpland,11,1,,3.0000
Luis Viale,8,1,,6.0000
Alvear,6,7,8.0000,3.0000
Congreso,3,2,1.0000,
Rosario Sur,23,6,,
Del Tejar,6,7,2.0000,2.0000
La Bandera,21,1,2.0000,
Villa Luro,2,3,2.0000,1.0000
Los Incas,2,4,,
Las Heras,13,7,2.0000,
Villa Luro,5,5,1.0000,
Trelles,14,1,,
Emilio Castro,22,4,1.0000,
Zarate Brazo Largo,1,5,4.0000,1.0000
Del Tejar,2,5,,
El Club,5,5,4.0000,8.0000
Las Heras,14,7,4.0000,
Rivadavia,16,5,,
Zarate Brazo Largo,8,2,11.0000,
Alberdi,3,1,,
Quilmes,3,6,,
Las Heras,15,7,3.0000,
Santa Rita,3,2,,
Villa Luro,12,6,3.0000,1.0000
Boulevard,3,3,,
Alberdi,4,3,,
Ovidio Lagos,7,7,,
Zarate,6,3,,
Emilio Castro,0,5,,
Los Incas,1,2,,
Parque Sarmiento,4,4,1.0000,
Rosario Sur,14,6,,
Congreso,10,2,,1.0000
Bonpland,5,2,1.0000,
Alberdi,23,3,,
Mitre,10,5,,
OPERADOR LOGISTICO 2,19,6,,
Olivos,4,2,,
La Bandera,1,4,2.0000,
Bulnes,22,6,,
Rivadavia,14,3,,
Anchorena,12,2,,
La Bandera,4,4,,
Anchorena,5,6,,
Bulnes,4,5,,
Zarate Brazo Largo,2,3,1.0000,
Anchorena,15,2,,
Santa Fe,22,2,,
Bulnes,2,4,,
