estacion,hora,q_cafes_llevar_solo_otros_negro1,q_cafes_local_solo_otros_negro1
Villa Luro,6,38.0000,37.0000
Bulnes,7,15.0000,16.0000
San Isidro,21,8.0000,7.0000
Gral Paz Provincia,21,12.0000,40.0000
Luis Viale,0,4.0000,13.0000
Congreso,11,null,3.0000
DISC Caraffa,12,null,31.0000
Alsina,22,30.0000,2.0000
Trelles,19,9.0000,56.0000
Quilmes,11,17.0000,137.0000
Congreso,16,null,1.0000
Del Tejar,22,6.0000,null
Del Tejar,19,3.0000,2.0000
Villa Luro,10,40.0000,133.0000
Alsina,0,33.0000,1.0000
San Isidro,16,17.0000,45.0000
Boulevard,13,25.0000,66.0000
Alvear,22,20.0000,78.0000
Cabildo,12,3.0000,41.0000
La Carmela,8,49.0000,null
Las Heras,4,10.0000,5.0000
Parque Sarmiento,6,12.0000,4.0000
America,11,19.0000,null
La Bandera,12,9.0000,154.0000
Fisherton,15,26.0000,80.0000
Ovidio Lagos,9,null,null
Emilio Castro,12,12.0000,18.0000
Buen Ayre,19,15.0000,44.0000
Floresta,6,12.0000,null
Quilmes,18,10.0000,53.0000
Dialogos,9,24.0000,8.0000
Gral Paz Capital,12,49.0000,null
Maipu,15,null,29.0000
Olivos,17,10.0000,22.0000
Laferrere,21,3.0000,40.0000
Floresta,20,3.0000,null
La Carmela,18,21.0000,null
La Bandera,16,15.0000,147.0000
Fisherton,8,60.0000,128.0000
Luis Viale,13,5.0000,34.0000
Gral Paz Capital,20,27.0000,null
Centenera,15,16.0000,4.0000
Luis Viale,2,7.0000,9.0000
Emilio Castro,19,10.0000,5.0000
Bulnes,12,5.0000,40.0000
Pilar,4,7.0000,1.0000
Lima,1,176.0000,64.0000
Luis Viale,5,6.0000,6.0000
Trelles,18,22.0000,40.0000
Amanecer,6,25.0000,null
Garay,12,4.0000,86.0000
Gutierrez,11,7.0000,25.0000
Quilmes,3,11.0000,10.0000
Bonpland,6,41.0000,24.0000
America,5,8.0000,null
Garay,0,7.0000,9.0000
Villa Luro,2,7.0000,13.0000
Garay,7,11.0000,50.0000
Alberdi,20,null,5.0000
Garay,1,2.0000,10.0000
Alvear,12,38.0000,102.0000
Libertador,10,39.0000,72.0000
Zarate Brazo Largo,13,null,null
AUBASA BA-LP,1,33.0000,26.0000
San Isidro,18,21.0000,40.0000
Santa Rita,8,null,2.0000
Zarate,16,6.0000,null
Olivos,5,null,7.0000
Arroyo Seco,18,153.0000,316.0000
Arroyo Seco,13,92.0000,358.0000
DISC Echeverria,0,null,17.0000
Luis Viale,19,4.0000,43.0000
Santa Rita,12,null,3.0000
Gutierrez,8,26.0000,16.0000
El Club,3,7.0000,11.0000
Gral Paz Provincia,1,39.0000,47.0000
Boulevard,16,23.0000,57.0000
Trelles,6,46.0000,56.0000
Maipu,10,null,2.0000
AUBASA LP-BA,20,27.0000,24.0000
Los Incas,17,6.0000,null
Trelles,1,15.0000,31.0000
DISC Caraffa,13,3.0000,19.0000
La Bandera,15,6.0000,214.0000
Florencio Varela,11,5.0000,10.0000
Zarate Brazo Largo,16,null,null
Amanecer,18,11.0000,null
Santa Rita,23,3.0000,1.0000
