estacion,hora,q_cafes_llevar_solo_otros_negro1,q_cafes_local_solo_otros_negro1
Alvear,3,24.0000,32.0000
Luis Viale,4,4.0000,7.0000
Cabildo,16,5.0000,33.0000
Villa Allende,6,10.0000,64.0000
Florencio Varela,20,2.0000,null
Gral Paz Capital,16,53.0000,null
Alvear,21,10.0000,51.0000
Olivos,23,1.0000,19.0000
El Arco,12,9.0000,65.0000
Garay,22,2.0000,30.0000
Alvear,16,21.0000,135.0000
Ovidio Lagos,21,null,null
Santa Rita,15,1.0000,3.0000
Gral Paz Capital,1,18.0000,null
Gutierrez,12,10.0000,19.0000
Quilmes,4,15.0000,6.0000
Congreso,5,1.0000,null
La Carmela,4,45.0000,null
Garay,16,9.0000,91.0000
Pilar,12,9.0000,null
Maschwitz,8,null,41.0000
Garay,15,5.0000,80.0000
Pilar,10,14.0000,null
Garay,23,3.0000,22.0000
Alberdi,8,null,27.0000
Laferrere,23,9.0000,48.0000
Gral Paz Provincia,11,41.0000,144.0000
Libertador,18,22.0000,41.0000
Pilar,15,8.0000,null
Pilar,17,16.0000,1.0000
Cabildo,21,3.0000,16.0000
Dialogos,13,3.0000,3.0000
Gral Paz Provincia,15,40.0000,143.0000
Santa Rita,18,3.0000,4.0000
Buen Ayre,21,14.0000,15.0000
Floresta,21,1.0000,null
Parque Sarmiento,9,21.0000,35.0000
Villa Luro,19,14.0000,63.0000
Olivos,21,3.0000,15.0000
La Carmela,13,9.0000,null
Alberdi,5,null,5.0000
Buen Ayre,6,24.0000,17.0000
Laferrere,11,3.0000,32.0000
CORS EVENTOS,11,27.0000,null
AUBASA LP-BA,23,32.0000,20.0000
Dialogos,6,8.0000,8.0000
Anchorena,0,null,null
Dialogos,14,12.0000,4.0000
San Isidro,19,9.0000,13.0000
Anchorena,16,null,null
Olivos,19,5.0000,19.0000
La Carmela,11,19.0000,null
Alvear,10,63.0000,148.0000
Villa Luro,7,57.0000,56.0000
Boulevard,11,43.0000,120.0000
Alsina,10,31.0000,3.0000
Fisherton,11,22.0000,295.0000
Disc Panamericana,14,1.0000,null
Boulevard,10,31.0000,120.0000
CORS EVENTOS,14,23.0000,null
Villa Allende,11,13.0000,154.0000
Villa Luro,8,79.0000,70.0000
Libertador,20,18.0000,17.0000
El Club,14,21.0000,128.0000
Libertador,22,11.0000,21.0000
Floresta,16,4.0000,null
Dialogos,22,6.0000,4.0000
Centenera,6,39.0000,8.0000
Fisherton,9,44.0000,168.0000
Emilio Castro,3,3.0000,4.0000
Villa Allende,3,null,1.0000
AUBASA LP-BA,10,69.0000,111.0000
AUBASA BA-LP,17,67.0000,66.0000
Maipu,9,null,null
Laferrere,17,4.0000,70.0000
Gral Paz Provincia,3,39.0000,49.0000
Alsina,1,30.0000,null
Buen Ayre,5,12.0000,8.0000
AUBASA BA-LP,10,108.0000,90.0000
Quilmes,6,17.0000,23.0000
AUBASA BA-LP,7,100.0000,30.0000
Olivos,9,6.0000,2.0000
America,3,3.0000,null
La Carmela,7,47.0000,null
Bonpland,23,28.0000,40.0000
CORS EVENTOS,8,16.0000,null
Bonpland,10,30.0000,107.0000
DISC Echeverria,6,null,53.0000
Gral Paz Capital,10,151.0000,null
Gral Paz Provincia,17,30.0000,96.0000
Zarate,9,7.0000,2.0000
Del Tejar,0,6.0000,null
Garay,18,4.0000,83.0000
Floresta,9,13.0000,null
AUBASA BA-LP,16,77.0000,61.0000
Laferrere,1,4.0000,24.0000
Congreso,10,2.0000,1.0000
Arroyo Seco,17,180.0000,461.0000
Maschwitz,18,null,15.0000
Trelles,23,5.0000,23.0000
Del Tejar,16,4.0000,2.0000
Boulevard,15,25.0000,59.0000
Pilar,14,5.0000,null
AUBASA LP-BA,18,72.0000,92.0000
Congreso,7,1.0000,null
Parque Sarmiento,5,2.0000,1.0000
Quilmes,17,10.0000,37.0000
Alsina,3,29.0000,1.0000
Libertador,9,36.0000,63.0000
Luis Viale,17,11.0000,114.0000
Gral Paz Provincia,20,14.0000,50.0000
Alberdi,7,null,21.0000
Cabildo,8,9.0000,34.0000
Buen Ayre,4,5.0000,1.0000
Florencio Varela,14,3.0000,null
Congreso,4,null,null
Libertador,3,27.0000,10.0000
Boulevard,20,9.0000,11.0000
Alsina,20,8.0000,2.0000
El Arco,15,18.0000,62.0000
Las Heras,11,14.0000,13.0000
Libertador,23,24.0000,14.0000
Florencio Varela,12,4.0000,10.0000
Bonpland,0,26.0000,41.0000
Gral Paz Provincia,5,95.0000,27.0000
Garay,8,27.0000,85.0000
Florencio Varela,8,36.0000,36.0000
Alvear,5,37.0000,18.0000
Maschwitz,1,null,11.0000
Ovidio Lagos,4,null,null
Ovidio Lagos,18,null,null
Ovidio Lagos,7,null,null
Laferrere,12,2.0000,35.0000
Villa Luro,1,11.0000,21.0000
Pilar,18,10.0000,null
Florencio Varela,10,16.0000,13.0000
Santa Rita,9,2.0000,7.0000
Arroyo Seco,16,160.0000,619.0000
Emilio Castro,10,16.0000,20.0000
Centenera,9,41.0000,6.0000
Luis Viale,16,12.0000,103.0000
El Club,2,4.0000,30.0000
Trelles,12,16.0000,88.0000
Cabildo,17,3.0000,38.0000
El Club,9,65.0000,101.0000
Arroyo Seco,0,91.0000,55.0000
Gral Paz Capital,11,121.0000,null
Pilar,8,26.0000,null
Gral Paz Provincia,8,72.0000,139.0000
Garay,5,8.0000,4.0000
Trelles,16,27.0000,66.0000
El Club,11,26.0000,226.0000
Garay,11,13.0000,86.0000
Laferrere,15,3.0000,71.0000
Las Heras,10,16.0000,18.0000
Congreso,17,3.0000,1.0000
CORS EVENTOS,10,22.0000,null
Zarate,19,2.0000,2.0000
Centenera,8,49.0000,8.0000
El Club,10,53.0000,192.0000
San Isidro,1,12.0000,6.0000
Emilio Castro,21,6.0000,4.0000
San Isidro,0,18.0000,6.0000
Libertador,2,31.0000,11.0000
Las Heras,16,29.0000,16.0000
Alberdi,11,null,7.0000
Ovidio Lagos,11,null,null
Del Tejar,9,6.0000,null
Buen Ayre,8,50.0000,55.0000
Bulnes,17,4.0000,31.0000
Lima,21,115.0000,53.0000
Parque Sarmiento,11,6.0000,32.0000
Bulnes,15,3.0000,36.0000
Villa Allende,19,5.0000,101.0000
DISC Echeverria,15,null,28.0000
Del Tejar,10,null,null
Alberdi,18,null,7.0000
Zarate,12,17.0000,null
AUBASA LP-BA,8,92.0000,55.0000
Dialogos,7,18.0000,8.0000
Alberdi,6,null,7.0000
Lima,22,107.0000,52.0000
Zarate Brazo Largo,15,null,null
Gutierrez,7,16.0000,6.0000
America,0,11.0000,null
Gutierrez,20,12.0000,12.0000
Zarate Brazo Largo,12,null,null
Lima,18,217.0000,142.0000
Villa Luro,18,15.0000,80.0000
Alsina,13,7.0000,7.0000
Alvear,6,53.0000,116.0000
Gutierrez,13,6.0000,24.0000
Gutierrez,4,15.0000,3.0000
El Arco,7,41.0000,30.0000
Floresta,14,4.0000,null
Quilmes,5,18.0000,5.0000
La Bandera,7,20.0000,70.0000
Garay,14,1.0000,80.0000
Villa Allende,18,9.0000,75.0000
Amanecer,9,52.0000,null
Boulevard,18,16.0000,44.0000
Villa Luro,17,15.0000,108.0000
Villa Allende,10,29.0000,162.0000
Bulnes,9,23.0000,26.0000
Amanecer,4,20.0000,null
Ovidio Lagos,5,null,null
Congreso,19,null,2.0000
AUBASA LP-BA,11,61.0000,69.0000
Zarate Brazo Largo,1,null,null
Garay,19,2.0000,75.0000
Bonpland,2,14.0000,41.0000
Cabildo,14,3.0000,43.0000
Lima,12,86.0000,105.0000
Las Heras,6,13.0000,6.0000
Gral Paz Provincia,19,23.0000,77.0000
Bulnes,11,11.0000,37.0000
Zarate Brazo Largo,0,null,null
AUBASA BA-LP,23,33.0000,18.0000
Las Heras,18,12.0000,16.0000
Pilar,0,8.0000,null
Buen Ayre,9,42.0000,61.0000
Florencio Varela,7,12.0000,29.0000
America,23,18.0000,null
Gral Paz Provincia,10,44.0000,160.0000
La Bandera,21,2.0000,16.0000
Pilar,7,55.0000,null
Libertador,16,21.0000,45.0000
Lima,4,159.0000,42.0000
Centenera,18,20.0000,1.0000
La Carmela,6,66.0000,null
Arroyo Seco,1,115.0000,78.0000
Parque Sarmiento,18,46.0000,12.0000
Olivos,10,2.0000,8.0000
Florencio Varela,4,3.0000,null
Congreso,18,2.0000,null
Villa Allende,9,37.0000,119.0000
Gral Paz Capital,2,15.0000,null
Villa Allende,15,18.0000,103.0000
Floresta,8,16.0000,null
Lima,16,284.0000,216.0000
Del Tejar,15,3.0000,5.0000
Villa Allende,17,12.0000,117.0000
Trelles,3,20.0000,11.0000
Alvear,7,80.0000,157.0000
San Isidro,9,35.0000,28.0000
Maipu,16,null,20.0000
Buen Ayre,15,28.0000,98.0000
Quilmes,7,58.0000,114.0000
AUBASA BA-LP,0,43.0000,26.0000
Arroyo Seco,12,91.0000,370.0000
La Carmela,9,39.0000,null
Trelles,15,19.0000,80.0000
Garay,2,6.0000,20.0000
Trelles,14,17.0000,77.0000
Fisherton,17,29.0000,214.0000
El Club,17,36.0000,125.0000
AUBASA BA-LP,15,70.0000,101.0000
Laferrere,0,15.0000,31.0000
Maipu,8,null,4.0000
Arroyo Seco,6,118.0000,70.0000
Fisherton,19,31.0000,94.0000
Maschwitz,9,null,25.0000
Parque Sarmiento,7,14.0000,24.0000
America,12,12.0000,null
Pilar,13,5.0000,null
Congreso,13,1.0000,1.0000
Boulevard,8,76.0000,48.0000
Lima,9,184.0000,93.0000
Quilmes,13,10.0000,52.0000
La Bandera,11,16.0000,271.0000
Congreso,3,null,null
Congreso,20,null,null
Santa Rita,6,2.0000,1.0000
Zarate Brazo Largo,18,2.0000,null
Amanecer,5,14.0000,null
DISC Caraffa,11,2.0000,25.0000
Floresta,1,7.0000,null
El Club,4,6.0000,9.0000
Trelles,9,57.0000,71.0000
Libertador,6,15.0000,20.0000
Lima,15,251.0000,241.0000
Arroyo Seco,15,194.0000,630.0000
Gral Paz Provincia,12,22.0000,108.0000
Garay,6,11.0000,34.0000
Floresta,4,9.0000,null
Los Incas,19,3.0000,null
Congreso,12,null,null
DISC Caraffa,16,null,12.0000
Bonpland,8,56.0000,91.0000
Trelles,20,8.0000,25.0000
Dialogos,10,9.0000,9.0000
Gutierrez,10,22.0000,17.0000
Zarate Brazo Largo,2,null,null
AUBASA LP-BA,9,95.0000,89.0000
Quilmes,10,26.0000,180.0000
San Isidro,10,32.0000,22.0000
Quilmes,19,6.0000,29.0000
Garay,9,15.0000,105.0000
AUBASA LP-BA,3,47.0000,15.0000
Luis Viale,3,9.0000,9.0000
AUBASA LP-BA,22,26.0000,16.0000
San Isidro,7,36.0000,13.0000
Congreso,15,1.0000,null
Los Incas,6,5.0000,null
Quilmes,15,23.0000,44.0000
Alvear,23,28.0000,49.0000
Maschwitz,16,null,15.0000
Cabildo,9,5.0000,41.0000
Buen Ayre,20,15.0000,26.0000
Zarate Brazo Largo,21,null,null
San Isidro,23,4.0000,2.0000
Alvear,20,13.0000,47.0000
Villa Luro,16,12.0000,105.0000
Arroyo Seco,4,88.0000,33.0000
Maschwitz,3,null,6.0000
La Carmela,23,20.0000,null
San Isidro,2,15.0000,4.0000
Del Tejar,12,null,null
Quilmes,0,7.0000,15.0000
Arroyo Seco,23,89.0000,48.0000
Florencio Varela,22,1.0000,null
Villa Luro,4,14.0000,2.0000
Del Tejar,14,1.0000,5.0000
Alvear,2,23.0000,21.0000
Quilmes,12,11.0000,60.0000
Amanecer,17,13.0000,null
San Isidro,8,33.0000,16.0000
Gutierrez,5,12.0000,4.0000
Bulnes,14,1.0000,16.0000
Anchorena,18,null,null
Centenera,5,46.0000,4.0000
Las Heras,0,7.0000,5.0000
Buen Ayre,12,17.0000,55.0000
Villa Allende,1,null,2.0000
Villa Allende,21,8.0000,38.0000
Libertador,0,30.0000,18.0000
Zarate Brazo Largo,5,null,null
Olivos,3,null,2.0000
Villa Luro,5,27.0000,11.0000
Santa Fe,8,38.0000,4.0000
Emilio Castro,22,6.0000,4.0000
Amanecer,14,11.0000,null
DISC Echeverria,14,null,3.0000
Libertador,4,20.0000,1.0000
Zarate Brazo Largo,9,1.0000,null
Pilar,19,9.0000,null
Las Heras,15,23.0000,26.0000
Las Heras,21,7.0000,16.0000
Trelles,13,16.0000,83.0000
Emilio Castro,23,6.0000,4.0000
DISC Echeverria,1,null,24.0000
CORS EVENTOS,16,34.0000,null
DISC Echeverria,5,null,73.0000
El Club,21,12.0000,52.0000
Floresta,3,10.0000,null
CORS EVENTOS,13,10.0000,null
Zarate Brazo Largo,4,null,null
Buen Ayre,23,10.0000,13.0000
Los Incas,15,6.0000,null
Florencio Varela,1,9.0000,null
Anchorena,13,null,null
Centenera,23,2.0000,1.0000
Floresta,23,4.0000,null
DISC Echeverria,21,null,10.0000
Florencio Varela,5,9.0000,null
Congreso,2,1.0000,null
Florencio Varela,21,null,null
Del Tejar,4,2.0000,null
Emilio Castro,0,6.0000,8.0000
Santa Fe,19,8.0000,1.0000
Zarate Brazo Largo,17,null,null
San Isidro,4,10.0000,2.0000
Santa Rita,1,3.0000,null
Maschwitz,6,null,21.0000
Parque Sarmiento,21,12.0000,1.0000
Ovidio Lagos,20,null,null
Maipu,22,null,null
America,4,9.0000,null
Fisherton,22,10.0000,null
Dialogos,15,6.0000,13.0000
Alberdi,4,null,2.0000
Villa Luro,3,6.0000,5.0000
Maschwitz,10,null,19.0000
DISC Echeverria,12,null,11.0000
Buen Ayre,3,4.0000,9.0000
Alsina,17,13.0000,12.0000
Anchorena,4,null,null
Alberdi,15,null,7.0000
Trelles,22,5.0000,11.0000
Pilar,16,9.0000,null
Centenera,3,4.0000,3.0000
Fisherton,3,3.0000,null
Amanecer,1,4.0000,null
Cabildo,5,1.0000,13.0000
Santa Rita,14,1.0000,8.0000
Amanecer,22,2.0000,null
Pilar,2,4.0000,null
Zarate,1,6.0000,null
DISC Echeverria,7,null,47.0000
Florencio Varela,15,3.0000,null
Floresta,5,10.0000,null
Anchorena,5,null,null
Santa Fe,18,10.0000,3.0000
Las Heras,22,4.0000,1.0000
Maipu,6,null,2.0000
America,20,4.0000,null
Laferrere,5,18.0000,16.0000
Anchorena,17,null,null
Centenera,21,1.0000,1.0000
Laferrere,13,2.0000,37.0000
Emilio Castro,2,3.0000,4.0000
Parque Sarmiento,1,2.0000,1.0000
Parque Sarmiento,0,null,null
Anchorena,20,null,null
Anchorena,1,null,null
Los Incas,21,2.0000,null
Anchorena,14,null,null
Dialogos,23,9.0000,2.0000
CORS EVENTOS,12,1.0000,null
Disc Panamericana,3,null,null
Los Incas,1,5.0000,null
DISC Echeverria,8,null,42.0000
Disc Panamericana,5,null,null
Dialogos,1,1.0000,1.0000
Anchorena,15,null,null
DISC Caraffa,8,5.0000,15.0000
Los Incas,12,3.0000,null
Quilmes,1,6.0000,8.0000
Parque Sarmiento,4,null,1.0000
Parque Sarmiento,22,null,2.0000
America,22,3.0000,null
Villa Allende,4,null,null
CORS EVENTOS,18,null,null
Cabildo,22,4.0000,10.0000
Santa Rita,20,null,4.0000
Zarate,3,null,null
Disc Panamericana,8,null,null
DISC Echeverria,22,null,6.0000
Los Incas,20,5.0000,null
Zarate,22,3.0000,null
DISC Echeverria,3,null,22.0000
Ovidio Lagos,3,null,null
Los Incas,4,8.0000,null
Fisherton,5,4.0000,1.0000
Disc Panamericana,15,1.0000,null
Los Incas,2,3.0000,null
Maschwitz,22,null,7.0000
Anchorena,23,null,null
DISC Caraffa,20,null,8.0000
Trelles,2,9.0000,19.0000
Alberdi,23,null,2.0000
Centenera,1,5.0000,1.0000
Disc Panamericana,19,1.0000,null
Anchorena,2,null,null
Los Incas,3,1.0000,null
Disc Panamericana,22,null,null
Anchorena,21,null,null
Villa Allende,5,null,7.0000
Santa Fe,12,5.0000,3.0000
Maschwitz,21,null,2.0000
Dialogos,5,null,null
Disc Panamericana,1,null,null
Centenera,22,3.0000,2.0000
DISC Caraffa,22,null,1.0000
Fisherton,4,1.0000,null
Disc Panamericana,4,null,null
Villa Allende,23,null,null
DISC Caraffa,1,null,null
