estacion,hora,q_cafes_llevar_algo_leche_sinbakery_alfajor,q_cafes_llevar_algo_otros_sinbakery_alfajor,q_cafes_local_algo_leche_sinbakery_alfajor,q_cafes_local_algo_otros_sinbakery_alfajor
Parque Sarmiento,17,4.0000,19.0000,12.0000,29.0000
Zarate,23,5.0000,10.0000,null,6.0000
Bulnes,6,3.0000,1.0000,1.0000,2.0000
AUBASA LP-BA,4,11.0000,29.0000,6.0000,7.0000
AUBASA BA-LP,22,1.0000,19.0000,6.0000,29.0000
Alberdi,21,null,null,null,7.0000
DISC Echeverria,13,null,null,null,1.0000
Olivos,12,4.0000,null,5.0000,2.0000
Quilmes,23,10.0000,11.0000,null,9.0000
Lima,14,35.0000,122.0000,13.0000,146.0000
Libertador,12,8.0000,11.0000,6.0000,17.0000
Centenera,0,5.0000,2.0000,null,4.0000
Maschwitz,0,null,null,null,1.0000
Gral Paz Capital,7,42.0000,38.0000,null,9.0000
Laferrere,2,11.0000,25.0000,9.0000,11.0000
Alberdi,13,null,null,null,10.0000
Emilio Castro,6,9.0000,10.0000,null,2.0000
Bonpland,22,1.0000,3.0000,7.0000,16.0000
Los Incas,8,25.0000,2.0000,null,2.0000
America,15,4.0000,9.0000,null,11.0000
Laferrere,10,6.0000,4.0000,2.0000,6.0000
Floresta,2,7.0000,9.0000,1.0000,23.0000
Lima,7,58.0000,48.0000,18.0000,35.0000
Gral Paz Capital,17,50.0000,24.0000,null,80.0000
Arroyo Seco,21,28.0000,35.0000,4.0000,39.0000
Emilio Castro,13,6.0000,6.0000,1.0000,4.0000
Olivos,13,1.0000,null,5.0000,6.0000
Floresta,13,1.0000,null,1.0000,3.0000
Emilio Castro,1,8.0000,9.0000,3.0000,4.0000
San Isidro,17,6.0000,20.0000,10.0000,49.0000
Dialogos,2,1.0000,null,null,null
Maschwitz,12,null,null,null,20.0000
Zarate Brazo Largo,11,3.0000,1.0000,null,4.0000
America,9,10.0000,11.0000,null,8.0000
La Carmela,14,1.0000,3.0000,2.0000,7.0000
Gutierrez,3,3.0000,4.0000,null,2.0000
Del Tejar,18,6.0000,2.0000,1.0000,15.0000
Alvear,1,11.0000,19.0000,11.0000,59.0000
DISC Echeverria,11,null,null,null,13.0000
America,19,3.0000,7.0000,null,38.0000
AUBASA BA-LP,21,4.0000,17.0000,1.0000,13.0000
Los Incas,10,62.0000,9.0000,null,3.0000
Del Tejar,20,1.0000,3.0000,2.0000,5.0000
Santa Rita,17,null,15.0000,2.0000,23.0000
Alberdi,9,null,null,null,33.0000
Santa Fe,16,null,1.0000,1.0000,3.0000
Luis Viale,12,null,12.0000,3.0000,8.0000
AUBASA BA-LP,2,11.0000,22.0000,5.0000,31.0000
Ovidio Lagos,0,null,10.0000,7.0000,21.0000
Buen Ayre,7,15.0000,11.0000,10.0000,13.0000
Amanecer,13,2.0000,1.0000,null,10.0000
Centenera,10,10.0000,9.0000,38.0000,63.0000
Alvear,0,5.0000,21.0000,11.0000,62.0000
Fisherton,13,null,8.0000,null,20.0000
AUBASA LP-BA,16,32.0000,54.0000,27.0000,103.0000
