estacion,hora,dia_semana,q_cafes_local_mas_1
Del Tejar,14,7,47.0000
Alvear,12,5,150.0000
Alvear,4,1,82.0000
Amanecer,10,5,109.0000
Congreso,16,7,54.0000
El Arco,9,4,317.0000
Quilmes,4,2,18.0000
Arroyo Seco,14,6,581.0000
Gral Paz Capital,9,3,378.0000
Gutierrez,21,6,41.0000
Trelles,21,6,2.0000
Villa Luro,17,3,207.0000
Gral Paz Provincia,18,3,284.0000
La Carmela,9,3,66.0000
Parque Sarmiento,10,7,120.0000
Luis Viale,10,1,79.0000
Bulnes,10,4,166.0000
Fisherton,19,7,177.0000
AUBASA LP-BA,15,4,191.0000
Alvear,15,4,146.0000
Centenera,18,5,39.0000
Arroyo Seco,9,5,1867.0000
Lima,13,3,219.0000
El Club,14,2,176.0000
Villa Allende,9,2,143.0000
Gral Paz Provincia,7,6,268.0000
Santa Fe,10,5,50.0000
El Club,21,1,60.0000
Arroyo Seco,18,2,936.0000
Pilar,17,2,96.0000
Quilmes,5,4,7.0000
Floresta,8,5,41.0000
Lima,13,2,265.0000
Lima,11,3,613.0000
Florencio Varela,6,1,226.0000
Arroyo Seco,17,3,891.0000
Gutierrez,10,4,152.0000
El Club,2,6,36.0000
Floresta,10,4,47.0000
CORS Alem,7,6,
Alvear,8,7,218.0000
Bonpland,7,6,155.0000
Lima,11,6,966.0000
Arroyo Seco,9,4,1759.0000
El Club,6,5,78.0000
AUBASA LP-BA,20,7,144.0000
Trelles,1,6,6.0000
Ovidio Lagos,11,2,141.0000
Olivos,9,3,72.0000
Boulevard,19,2,79.0000
Luis Viale,9,3,111.0000
Gutierrez,18,5,112.0000
America,9,2,95.0000
Gral Paz Capital,14,1,78.0000
Congreso,14,2,34.0000
Bonpland,15,4,80.0000
Villa Allende,8,6,154.0000
Zarate,0,7,8.0000
Florencio Varela,21,4,26.0000
Ovidio Lagos,7,6,104.0000
Luis Viale,12,3,74.0000
Santa Rita,23,4,15.0000
Laferrere,15,5,29.0000
Dialogos,13,5,43.0000
Maipu,0,3,15.0000
Villa Luro,6,5,97.0000
Santa Rita,0,6,27.0000
Ovidio Lagos,1,7,40.0000
Bonpland,11,1,112.0000
Villa Luro,12,6,127.0000
El Club,21,4,69.0000
Luis Viale,18,5,83.0000
Alsina,11,4,65.0000
El Club,3,6,22.0000
Alsina,8,7,40.0000
Maipu,2,7,21.0000
Luis Viale,8,1,36.0000
San Isidro,17,6,154.0000
Gral Paz Capital,10,7,558.0000
Bonpland,11,5,188.0000
Quilmes,7,2,229.0000
CORS EVENTOS,20,4,
Parque Sarmiento,18,3,88.0000
Del Tejar,2,5,26.0000
Del Tejar,6,6,102.0000
Garay,16,6,108.0000
Emilio Castro,0,5,24.0000
Luis Viale,18,7,48.0000
Luis Viale,8,5,47.0000
San Isidro,14,2,72.0000
Buen Ayre,19,3,347.0000
Fisherton,21,5,52.0000
Maipu,15,5,41.0000
Floresta,5,6,46.0000
Amanecer,17,1,58.0000
Santa Fe,9,3,58.0000
Garay,17,6,132.0000
Boulevard,12,1,89.0000
El Arco,23,2,75.0000
Laferrere,22,4,12.0000
Alvear,10,1,295.0000
Boulevard,6,1,41.0000
Arroyo Seco,22,5,150.0000
Amanecer,4,7,53.0000
El Arco,14,5,52.0000
Alsina,0,4,19.0000
AUBASA BA-LP,13,1,113.0000
Villa Luro,7,3,54.0000
El Arco,0,3,51.0000
Del Tejar,15,6,94.0000
La Bandera,12,5,89.0000
Bonpland,7,4,165.0000
Alvear,2,1,215.0000
El Club,3,1,109.0000
Parque Sarmiento,9,7,108.0000
Luis Viale,17,3,88.0000
Parque Sarmiento,10,5,164.0000
Santa Rita,10,4,145.0000
La Carmela,7,3,82.0000
Santa Rita,18,6,141.0000
Amanecer,11,6,85.0000
Villa Luro,18,6,189.0000
Laferrere,9,6,77.0000
Dialogos,11,1,72.0000
El Club,14,5,206.0000
Pilar,20,3,24.0000
Del Tejar,16,1,44.0000
Centenera,7,1,51.0000
Santa Fe,11,3,11.0000
La Carmela,22,3,6.0000
Gral Paz Provincia,7,2,197.0000
Bonpland,10,2,169.0000
Fisherton,3,1,134.0000
Santa Rita,13,2,53.0000
Del Tejar,3,1,32.0000
Luis Viale,13,7,42.0000
Centenera,17,2,46.0000
Olivos,18,4,68.0000
Bonpland,11,7,166.0000
Zarate Brazo Largo,19,6,74.0000
Florencio Varela,17,2,142.0000
La Carmela,7,7,131.0000
Dialogos,15,4,52.0000
Fisherton,19,5,235.0000
La Bandera,17,6,257.0000
OPERADOR LOGISTICO 2,10,6,15658.0000
America,9,1,50.0000
Lima,2,1,139.0000
Bonpland,6,6,193.0000
Florencio Varela,20,1,79.0000
Zarate,9,6,53.0000
OPERADOR LOGISTICO 2,20,5,11130.0000
Congreso,19,7,38.0000
San Isidro,17,1,88.0000
Gral Paz Capital,5,7,129.0000
Florencio Varela,15,3,73.0000
Alsina,0,5,20.0000
Gral Paz Provincia,6,4,239.0000
Congreso,10,6,147.0000
Santa Rita,8,5,103.0000
Pilar,8,6,139.0000
Gral Paz Capital,1,4,61.0000
Lima,5,7,259.0000
Gral Paz Capital,15,3,163.0000
Bulnes,14,2,83.0000
El Club,1,2,68.0000
Los Incas,9,2,4.0000
Olivos,20,5,22.0000
OPERADOR LOGISTICO 2,14,5,6250.0000
Pilar,3,2,11.0000
Del Tejar,2,1,52.0000
Bonpland,22,5,37.0000
Bonpland,8,7,240.0000
Lima,22,5,78.0000
Amanecer,6,5,79.0000
Centenera,2,2,10.0000
Maipu,12,3,51.0000
Villa Luro,0,4,71.0000
Floresta,11,5,67.0000
Emilio Castro,8,3,29.0000
Santa Fe,10,3,35.0000
Emilio Castro,1,3,10.0000
AUBASA LP-BA,2,2,24.0000
Olivos,6,7,17.0000
Santa Rita,15,3,127.0000
San Isidro,22,3,35.0000
Maipu,0,7,51.0000
Santa Rita,3,2,19.0000
AUBASA LP-BA,17,2,420.0000
Alsina,18,3,31.0000
Gutierrez,8,4,137.0000
Quilmes,17,1,70.0000
Alvear,6,7,147.0000
Pilar,15,4,74.0000
Trelles,15,1,26.0000
Centenera,15,5,48.0000
Santa Rita,17,4,94.0000
La Carmela,0,5,16.0000
El Arco,19,1,280.0000
Luis Viale,12,6,77.0000
Olivos,23,4,19.0000
Zarate Brazo Largo,13,5,65.0000
Villa Allende,10,5,249.0000
Zarate Brazo Largo,23,5,16.0000
America,1,3,17.0000
Santa Rita,19,7,48.0000
Del Tejar,23,7,52.0000
Maipu,6,6,30.0000
Congreso,5,6,12.0000
Las Heras,17,7,40.0000
Floresta,16,5,20.0000
AUBASA LP-BA,14,6,125.0000
Cabildo,7,4,7.0000
Garay,5,2,56.0000
El Club,4,2,15.0000
El Arco,4,7,38.0000
Olivos,12,1,44.0000
Congreso,13,1,8.0000
Dialogos,6,4,42.0000
Pilar,5,7,28.0000
Amanecer,21,5,27.0000
Trelles,6,5,34.0000
Pilar,7,2,79.0000
CORS Alem,18,4,
Bonpland,13,6,59.0000
Bulnes,20,5,23.0000
Alvear,13,4,148.0000
Zarate,23,6,5.0000
AUBASA LP-BA,13,4,138.0000
Zarate Brazo Largo,5,1,46.0000
Pilar,16,6,73.0000
Luis Viale,14,2,56.0000
Gutierrez,16,7,133.0000
Gutierrez,15,3,84.0000
Alsina,1,4,10.0000
Ovidio Lagos,0,7,54.0000
Gutierrez,23,2,40.0000
Garay,18,6,87.0000
Parque Sarmiento,5,3,10.0000
Alsina,7,2,39.0000
Lima,21,5,108.0000
El Club,0,3,229.0000
Alsina,8,2,59.0000
Los Incas,17,7,
AUBASA LP-BA,4,5,14.0000
Lima,0,3,97.0000
Del Tejar,14,5,45.0000
Santa Fe,9,4,46.0000
Olivos,19,1,52.0000
America,18,1,86.0000
Trelles,16,4,30.0000
Santa Rita,16,7,64.0000
Villa Luro,22,1,64.0000
Olivos,4,2,7.0000
Zarate,9,5,37.0000
Fisherton,3,3,9.0000
Quilmes,0,5,36.0000
Garay,5,1,50.0000
Pilar,19,2,48.0000
Congreso,10,2,131.0000
Parque Sarmiento,15,4,66.0000
Ovidio Lagos,7,7,74.0000
Centenera,14,3,31.0000
Pilar,18,6,138.0000
Santa Rita,11,2,100.0000
Santa Fe,19,6,15.0000
Zarate Brazo Largo,1,5,9.0000
Gutierrez,16,5,106.0000
Gral Paz Provincia,13,1,77.0000
La Carmela,12,6,21.0000
Gral Paz Provincia,4,3,36.0000
Zarate Brazo Largo,21,2,6.0000
La Carmela,11,2,40.0000
Emilio Castro,7,3,30.0000
Olivos,0,2,24.0000
Floresta,13,4,21.0000
Ovidio Lagos,18,4,84.0000
Parque Sarmiento,0,7,36.0000
Parque Sarmiento,14,2,28.0000
La Bandera,8,6,137.0000
La Carmela,20,7,19.0000
Quilmes,22,5,57.0000
Maschwitz,23,3,
San Isidro,22,7,33.0000
Laferrere,10,7,95.0000
La Carmela,13,7,28.0000
AUBASA BA-LP,0,4,114.0000
El Arco,13,7,55.0000
El Arco,0,6,39.0000
Floresta,16,7,28.0000
Alvear,22,6,94.0000
Boulevard,15,7,95.0000
Maschwitz,13,5,
OPERADOR LOGISTICO 2,12,4,28001.0000
Alvear,20,4,71.0000
Dialogos,7,2,102.0000
El Club,2,3,16.0000
Boulevard,13,4,39.0000
Gutierrez,5,1,45.0000
Zarate,22,6,2.0000
Zarate,15,6,14.0000
Del Tejar,13,3,56.0000
Santa Fe,7,3,14.0000
Zarate,11,3,30.0000
Ovidio Lagos,16,3,86.0000
Amanecer,23,4,49.0000
Garay,20,2,35.0000
Pilar,16,1,36.0000
Trelles,11,4,30.0000
La Bandera,21,1,24.0000
Dialogos,17,5,78.0000
Olivos,14,4,35.0000
Gutierrez,5,3,34.0000
Garay,4,4,11.0000
Laferrere,22,7,13.0000
Zarate,15,5,14.0000
Alsina,14,2,33.0000
San Isidro,3,7,62.0000
Laferrere,5,5,21.0000
Olivos,14,3,28.0000
Villa Luro,2,5,23.0000
America,20,6,74.0000
Zarate,8,2,45.0000
Garay,17,7,68.0000
Floresta,18,3,51.0000
Trelles,3,2,4.0000
Luis Viale,19,7,39.0000
Quilmes,19,4,58.0000
Zarate,13,4,4.0000
Villa Allende,22,2,6.0000
