estacion,hora,dia_semana,q_cafes_local_mas_1
Alsina,21,2,22.0000
Congreso,2,7,22.0000
Garay,22,7,20.0000
Garay,11,1,84.0000
Zarate Brazo Largo,14,1,25.0000
Villa Luro,13,6,74.0000
Buen Ayre,3,5,17.0000
Zarate Brazo Largo,15,1,62.0000
Rosario Sur,17,1,
Laferrere,23,2,17.0000
America,0,7,114.0000
La Bandera,18,7,131.0000
Pilar,15,7,54.0000
Santa Fe,19,4,19.0000
Bonpland,2,4,22.0000
Villa Allende,22,6,25.0000
Emilio Castro,10,1,30.0000
Cabildo,18,5,8.0000
Trelles,10,3,47.0000
Buen Ayre,1,5,49.0000
CORS Alem,11,6,
Laferrere,12,5,30.0000
Congreso,12,5,65.0000
Florencio Varela,14,5,58.0000
Zarate Brazo Largo,2,7,6.0000
Bonpland,21,3,14.0000
La Carmela,4,4,25.0000
Maschwitz,10,7,
Parque Sarmiento,18,4,83.0000
AUBASA LP-BA,0,4,54.0000
OPERADOR LOGISTICO,8,2,2174.0000
Boulevard,6,7,49.0000
Alberdi,7,7,
Laferrere,13,4,15.0000
AUBASA LP-BA,0,2,49.0000
Trelles,18,2,53.0000
Dialogos,19,7,70.0000
Bulnes,16,3,77.0000
America,3,2,9.0000
Ovidio Lagos,1,6,28.0000
Parque Sarmiento,19,6,49.0000
Alberdi,6,2,
Emilio Castro,13,6,13.0000
Trelles,8,1,28.0000
Santa Rita,8,1,60.0000
Los Incas,13,4,
Congreso,13,4,39.0000
Alsina,22,1,10.0000
Luis Viale,5,6,19.0000
Zarate Brazo Largo,2,4,8.0000
Los Incas,15,4,
Olivos,1,4,25.0000
Las Heras,0,1,15.0000
Bonpland,2,2,50.0000
Boulevard,23,4,22.0000
Quilmes,13,4,67.0000
Bulnes,9,1,20.0000
La Bandera,6,3,4.0000
Garay,23,3,18.0000
Fisherton,1,6,51.0000
America,10,1,64.0000
CORS Alem,13,4,
Quilmes,5,2,15.0000
Amanecer,2,7,57.0000
Olivos,20,1,43.0000
Emilio Castro,5,3,7.0000
Olivos,21,7,19.0000
Dialogos,12,4,43.0000
Las Heras,20,6,17.0000
Dialogos,5,6,19.0000
Trelles,20,7,30.0000
Boulevard,14,6,82.0000
Las Heras,2,6,6.0000
Del Tejar,4,3,4.0000
Garay,3,1,29.0000
El Arco,3,6,7.0000
Zarate,18,4,20.0000
Emilio Castro,11,7,55.0000
Bonpland,0,5,61.0000
Ovidio Lagos,13,5,76.0000
Emilio Castro,19,1,20.0000
La Carmela,11,7,49.0000
Cabildo,19,1,6.0000
Alsina,19,1,18.0000
Pilar,14,4,31.0000
Gral Paz Capital,2,4,36.0000
Gutierrez,20,3,56.0000
Maschwitz,12,1,
Maipu,4,3,6.0000
Zarate Brazo Largo,21,7,13.0000
Trelles,4,5,7.0000
La Bandera,13,1,43.0000
Emilio Castro,19,5,19.0000
La Bandera,2,7,16.0000
Centenera,23,6,14.0000
Maschwitz,13,6,
Centenera,0,2,4.0000
Los Incas,14,4,
Las Heras,13,4,23.0000
Parque Sarmiento,21,7,9.0000
Rosario Sur,23,3,
Del Tejar,5,4,7.0000
Fisherton,2,2,29.0000
Bulnes,20,2,29.0000
Los Incas,0,3,
Las Heras,19,2,21.0000
Trelles,17,7,23.0000
Santa Rita,2,2,22.0000
Villa Luro,2,4,23.0000
Santa Fe,18,2,16.0000
Luis Viale,8,6,57.0000
Quilmes,22,6,19.0000
Las Heras,4,4,5.0000
Dialogos,1,5,24.0000
Maschwitz,20,1,2.0000
Santa Fe,18,3,13.0000
Cabildo,2,6,7.0000
Amanecer,1,2,25.0000
Ovidio Lagos,23,5,47.0000
Cabildo,18,2,4.0000
Santa Rita,13,6,25.0000
Las Heras,1,3,10.0000
Olivos,19,4,56.0000
Floresta,15,3,22.0000
Laferrere,0,1,17.0000
Maschwitz,8,1,
Olivos,1,3,20.0000
OPERADOR LOGISTICO,18,5,1600.0000
Cabildo,5,4,4.0000
Maschwitz,17,6,
Alsina,8,1,40.0000
Centenera,1,4,7.0000
Alberdi,17,4,
Fisherton,22,3,70.0000
Gutierrez,2,2,24.0000
Garay,4,3,5.0000
Boulevard,21,7,4.0000
Bulnes,6,2,17.0000
Los Incas,3,1,
Villa Allende,1,7,9.0000
Cabildo,1,7,7.0000
Trelles,12,5,20.0000
Florencio Varela,21,7,18.0000
CORS Alem,7,5,
Santa Rita,22,1,15.0000
Los Incas,9,7,3.0000
Floresta,3,4,6.0000
Alberdi,9,7,
Alberdi,12,5,
La Carmela,12,5,25.0000
El Club,4,7,35.0000
Luis Viale,1,5,23.0000
OPERADOR LOGISTICO 2,13,5,4083.0000
Gutierrez,2,7,52.0000
Alberdi,16,7,
Santa Fe,16,6,12.0000
Boulevard,23,1,4.0000
Zarate,21,1,7.0000
Alsina,14,4,30.0000
Floresta,20,4,19.0000
Maschwitz,19,6,
Centenera,2,5,4.0000
OPERADOR LOGISTICO 2,18,5,3300.0000
Bonpland,1,3,45.0000
Bulnes,17,7,33.0000
Emilio Castro,20,7,10.0000
Cabildo,2,3,
Quilmes,22,2,10.0000
Maschwitz,12,4,
CORS Alem,19,5,
San Isidro,4,6,2.0000
Emilio Castro,9,1,13.0000
Ovidio Lagos,22,2,13.0000
Villa Allende,1,5,5.0000
La Carmela,21,6,15.0000
La Carmela,21,5,6.0000
Centenera,5,2,11.0000
CORS EVENTOS,22,6,
Cabildo,5,3,15.0000
CORS Alem,13,3,
Santa Fe,12,5,8.0000
La Bandera,5,2,6.0000
Santa Fe,14,3,9.0000
Bulnes,6,1,2.0000
Centenera,23,3,6.0000
Congreso,3,6,9.0000
Maschwitz,21,4,
Alsina,15,7,22.0000
Dialogos,2,4,10.0000
Las Heras,4,6,4.0000
Centenera,4,1,4.0000
America,4,3,2.0000
OPERADOR LOGISTICO,19,6,1290.0000
Alberdi,16,1,
Cabildo,6,2,6.0000
Bulnes,21,4,8.0000
OPERADOR LOGISTICO,14,4,1606.0000
Alsina,3,5,5.0000
La Bandera,2,1,8.0000
Alberdi,16,6,
Cabildo,1,6,4.0000
Rosario Sur,17,3,
OPERADOR LOGISTICO,21,1,52.0000
Alberdi,21,3,
Rosario Sur,18,3,
Rivadavia,6,3,
Maschwitz,15,3,
Alberdi,18,4,2.0000
Alberdi,22,1,
Los Incas,20,6,
Alberdi,16,5,
CORS EVENTOS,17,2,
Alberdi,18,2,
Maipu,6,5,8.0000
Maschwitz,4,4,
Rivadavia,6,4,
Alberdi,16,2,
Los Incas,16,1,
CORS Alem,19,4,
Cabildo,21,5,2.0000
Maschwitz,5,6,
Boulevard,5,2,
Los Incas,14,3,
OPERADOR LOGISTICO,11,2,812.0000
Alberdi,12,3,
Maschwitz,20,3,
Rivadavia,11,3,
Del Tejar,7,1,55.0000
AUBASA BA-LP,12,6,223.0000
Zarate Brazo Largo,7,1,188.0000
Buen Ayre,9,4,807.0000
Floresta,15,6,24.0000
AUBASA LP-BA,0,7,62.0000
Buen Ayre,9,1,704.0000
San Isidro,18,2,158.0000
Santa Rita,7,5,88.0000
Alvear,6,3,305.0000
Lima,21,7,113.0000
Pilar,19,7,46.0000
Dialogos,7,6,137.0000
Bonpland,17,6,108.0000
OPERADOR LOGISTICO 2,11,4,21260.0000
Gral Paz Capital,7,6,269.0000
La Carmela,20,1,35.0000
La Bandera,9,5,216.0000
Boulevard,5,1,25.0000
Arroyo Seco,9,3,1609.0000
America,7,4,87.0000
Gral Paz Provincia,20,7,190.0000
El Arco,15,2,98.0000
Gral Paz Provincia,6,7,333.0000
Del Tejar,1,6,45.0000
Dialogos,2,1,44.0000
Gutierrez,4,4,47.0000
La Bandera,9,6,220.0000
San Isidro,8,7,185.0000
Luis Viale,10,4,175.0000
La Bandera,16,4,129.0000
Lima,0,7,140.0000
Parque Sarmiento,19,4,43.0000
Pilar,8,7,140.0000
Zarate Brazo Largo,10,7,304.0000
Maipu,10,1,26.0000
Villa Luro,5,6,65.0000
Gral Paz Provincia,10,4,391.0000
Lima,11,5,811.0000
Centenera,8,4,88.0000
Quilmes,19,6,104.0000
Alsina,7,6,54.0000
Bonpland,12,3,107.0000
Gral Paz Capital,15,7,141.0000
Boulevard,18,7,138.0000
Parque Sarmiento,14,4,57.0000
El Arco,16,1,75.0000
Buen Ayre,10,5,776.0000
AUBASA BA-LP,23,7,136.0000
Florencio Varela,11,7,135.0000
Parque Sarmiento,16,2,98.0000
Los Incas,7,5,
Gutierrez,2,4,29.0000
Gral Paz Provincia,4,1,264.0000
Arroyo Seco,7,3,1165.0000
El Club,17,2,382.0000
Garay,8,4,167.0000
America,12,5,68.0000
Pilar,7,1,66.0000
El Arco,17,4,211.0000
Zarate,3,1,16.0000
AUBASA BA-LP,0,6,103.0000
Parque Sarmiento,22,3,11.0000
Fisherton,17,7,366.0000
Villa Allende,11,4,183.0000
AUBASA BA-LP,11,4,375.0000
La Carmela,7,5,108.0000
Los Incas,12,7,
AUBASA BA-LP,5,3,61.0000
Bonpland,13,3,68.0000
La Carmela,8,4,89.0000
Dialogos,19,6,69.0000
El Arco,11,2,260.0000
Buen Ayre,17,6,732.0000
Trelles,2,2,12.0000
Zarate Brazo Largo,17,2,66.0000
Alvear,4,6,22.0000
Villa Allende,10,3,230.0000
Amanecer,8,1,55.0000
Bonpland,3,6,33.0000
Gral Paz Capital,22,2,60.0000
Gral Paz Capital,8,1,275.0000
Del Tejar,5,6,13.0000
AUBASA BA-LP,1,5,80.0000
Pilar,19,5,63.0000
Centenera,18,3,49.0000
Bulnes,9,4,98.0000
Buen Ayre,23,7,135.0000
Luis Viale,14,6,55.0000
Arroyo Seco,4,3,169.0000
Parque Sarmiento,11,1,74.0000
Arroyo Seco,3,6,176.0000
Lima,5,5,168.0000
Del Tejar,20,6,36.0000
Florencio Varela,13,4,26.0000
Florencio Varela,14,6,60.0000
Alvear,17,3,240.0000
Lima,3,3,81.0000
Dialogos,9,1,57.0000
Villa Luro,2,1,115.0000
Fisherton,12,7,377.0000
Buen Ayre,8,6,782.0000
Buen Ayre,19,1,639.0000
Lima,21,4,72.0000
Emilio Castro,16,2,26.0000
Arroyo Seco,8,4,1824.0000
Arroyo Seco,0,1,157.0000
Garay,15,1,53.0000
Gral Paz Capital,7,7,354.0000
AUBASA LP-BA,23,3,42.0000
Gral Paz Provincia,13,5,142.0000
Olivos,19,3,40.0000
Maipu,8,7,43.0000
Buen Ayre,8,5,697.0000
Laferrere,4,7,18.0000
Fisherton,17,2,410.0000
Lima,2,3,50.0000
El Arco,0,1,73.0000
Alvear,17,5,226.0000
AUBASA LP-BA,4,2,34.0000
Arroyo Seco,0,4,99.0000
America,10,2,97.0000
Laferrere,22,5,5.0000
Amanecer,6,4,70.0000
Villa Luro,11,5,176.0000
Gral Paz Provincia,21,7,66.0000
Gral Paz Provincia,21,4,68.0000
Fisherton,15,4,184.0000
Las Heras,14,5,24.0000
America,12,2,60.0000
Gral Paz Provincia,6,3,145.0000
El Club,10,7,415.0000
Congreso,21,5,10.0000
Centenera,12,5,123.0000
Gral Paz Capital,5,6,71.0000
Lima,21,6,118.0000
La Carmela,10,4,50.0000
Luis Viale,6,6,26.0000
Pilar,9,1,87.0000
Lima,7,2,975.0000
El Club,8,5,295.0000
Quilmes,12,3,93.0000
Gral Paz Capital,6,1,234.0000
Buen Ayre,7,2,349.0000
Villa Luro,11,3,162.0000
Fisherton,11,4,315.0000
Garay,10,3,175.0000
Bulnes,10,7,133.0000
Gral Paz Provincia,19,3,260.0000
Fisherton,16,2,257.0000
Del Tejar,8,2,143.0000
AUBASA LP-BA,21,2,43.0000
Fisherton,1,4,37.0000
Arroyo Seco,8,2,1726.0000
El Club,6,2,98.0000
Trelles,7,3,68.0000
AUBASA BA-LP,13,4,120.0000
Santa Rita,9,4,117.0000
Lima,15,7,620.0000
AUBASA LP-BA,14,4,182.0000
Gral Paz Capital,12,7,192.0000
Quilmes,9,3,166.0000
El Arco,11,7,298.0000
Las Heras,13,5,34.0000
Florencio Varela,10,2,202.0000
AUBASA LP-BA,10,4,364.0000
Buen Ayre,5,3,54.0000
Florencio Varela,10,4,184.0000
Olivos,12,7,42.0000
Fisherton,10,1,543.0000
Dialogos,16,6,84.0000
Arroyo Seco,1,7,151.0000
Santa Rita,3,6,21.0000
Quilmes,20,6,40.0000
Santa Rita,11,6,132.0000
Arroyo Seco,7,5,1472.0000
Pilar,10,3,178.0000
Gral Paz Capital,11,5,292.0000
Buen Ayre,14,7,243.0000
Alvear,22,5,73.0000
Dialogos,10,4,152.0000
Lima,12,3,373.0000
Florencio Varela,12,1,42.0000
Villa Luro,1,4,40.0000
Bonpland,3,5,27.0000
Lima,12,2,438.0000
Gral Paz Provincia,15,3,188.0000
Villa Luro,8,4,141.0000
Garay,21,6,28.0000
Del Tejar,1,7,59.0000
La Carmela,10,6,67.0000
Gral Paz Provincia,19,1,218.0000
Boulevard,21,2,4.0000
CORS EVENTOS,17,6,2.0000
Gral Paz Provincia,8,3,367.0000
Gral Paz Capital,1,1,266.0000
San Isidro,10,4,268.0000
Villa Luro,6,3,88.0000
Gutierrez,17,6,125.0000
Gral Paz Capital,2,1,182.0000
Gutierrez,9,1,137.0000
Maschwitz,7,3,
America,5,7,8.0000
Gral Paz Capital,22,7,65.0000
AUBASA LP-BA,11,1,325.0000
Laferrere,20,6,33.0000
Florencio Varela,9,1,93.0000
Florencio Varela,0,6,67.0000
Ovidio Lagos,15,3,65.0000
Bonpland,12,4,115.0000
Boulevard,6,3,38.0000
Villa Luro,12,1,117.0000
Gral Paz Capital,20,6,108.0000
Arroyo Seco,0,7,160.0000
Maipu,8,4,55.0000
Pilar,7,3,85.0000
Del Tejar,0,2,20.0000
Fisherton,11,7,478.0000
Alvear,15,6,162.0000
Bonpland,6,4,125.0000
Gutierrez,11,2,135.0000
Garay,14,4,70.0000
AUBASA BA-LP,18,7,488.0000
Gral Paz Capital,12,5,170.0000
Pilar,15,1,8.0000
El Club,11,4,313.0000
Olivos,20,3,16.0000
Santa Rita,16,5,145.0000
Ovidio Lagos,23,7,34.0000
Maipu,23,7,114.0000
Maschwitz,7,4,
AUBASA BA-LP,21,5,53.0000
Trelles,18,4,29.0000
Quilmes,9,6,180.0000
Arroyo Seco,16,2,1028.0000
Arroyo Seco,11,4,881.0000
Maipu,7,3,24.0000
Amanecer,7,5,121.0000
Garay,15,6,80.0000
Las Heras,7,7,46.0000
Gral Paz Capital,4,3,33.0000
OPERADOR LOGISTICO 2,9,6,40526.0000
Bonpland,5,4,106.0000
Pilar,4,6,10.0000
Los Incas,5,4,
Gral Paz Capital,7,4,194.0000
Zarate Brazo Largo,6,7,255.0000
Del Tejar,12,3,54.0000
Rosario Sur,10,4,
Dialogos,6,3,52.0000
Florencio Varela,13,6,48.0000
Zarate,17,2,12.0000
Gral Paz Provincia,9,2,332.0000
Trelles,6,6,20.0000
Olivos,20,7,28.0000
Zarate,0,1,9.0000
Centenera,13,2,36.0000
Laferrere,17,4,52.0000
Ovidio Lagos,8,7,72.0000
AUBASA BA-LP,2,2,49.0000
AUBASA BA-LP,20,3,77.0000
Arroyo Seco,5,3,221.0000
Bonpland,5,5,73.0000
La Bandera,10,6,252.0000
Quilmes,17,3,126.0000
Gral Paz Provincia,3,7,172.0000
La Bandera,20,5,39.0000
Luis Viale,11,5,154.0000
Alvear,3,6,27.0000
Santa Rita,5,1,52.0000
Las Heras,17,1,45.0000
Emilio Castro,1,1,19.0000
Dialogos,19,4,44.0000
Garay,6,1,38.0000
Fisherton,13,7,135.0000
Las Heras,1,4,14.0000
Fisherton,11,5,402.0000
El Arco,19,5,204.0000
Buen Ayre,6,1,239.0000
Centenera,5,1,13.0000
Olivos,11,2,61.0000
AUBASA LP-BA,18,6,366.0000
Bulnes,15,2,44.0000
Trelles,1,5,3.0000
Maipu,5,4,17.0000
Las Heras,17,5,61.0000
Garay,14,7,53.0000
Floresta,6,6,16.0000
Bonpland,6,1,148.0000
Gral Paz Capital,6,2,120.0000
Laferrere,5,3,20.0000
AUBASA LP-BA,0,6,60.0000
Pilar,2,1,29.0000
Florencio Varela,20,2,50.0000
Gutierrez,11,7,124.0000
Alvear,8,6,248.0000
El Arco,0,4,35.0000
Luis Viale,19,4,49.0000
Gral Paz Capital,3,7,146.0000
AUBASA LP-BA,7,1,166.0000
Santa Rita,7,7,73.0000
Zarate Brazo Largo,18,7,78.0000
El Arco,3,2,14.0000
Centenera,14,5,34.0000
Trelles,8,7,40.0000
Centenera,8,3,126.0000
Bonpland,14,4,58.0000
Luis Viale,12,4,74.0000
Gral Paz Capital,12,1,164.0000
Los Incas,11,4,
San Isidro,18,4,176.0000
Congreso,20,4,30.0000
Gutierrez,22,4,30.0000
Gutierrez,17,3,112.0000
Santa Rita,8,4,95.0000
Olivos,10,4,104.0000
America,16,1,68.0000
Emilio Castro,10,5,31.0000
Santa Fe,13,3,8.0000
Trelles,19,1,30.0000
Quilmes,18,6,161.0000
San Isidro,13,7,41.0000
Zarate,16,7,16.0000
Zarate Brazo Largo,7,3,138.0000
Parque Sarmiento,11,4,104.0000
Las Heras,8,3,76.0000
Gral Paz Provincia,23,3,86.0000
America,19,5,72.0000
Alvear,17,7,293.0000
Villa Luro,6,1,91.0000
Del Tejar,7,4,129.0000
Parque Sarmiento,12,4,59.0000
Villa Allende,19,4,111.0000
El Club,2,5,43.0000
OPERADOR LOGISTICO 2,21,1,6442.0000
Bonpland,23,5,41.0000
El Club,12,7,152.0000
La Bandera,8,7,67.0000
Fisherton,1,3,36.0000
Alberdi,19,5,
San Isidro,6,3,31.0000
AUBASA LP-BA,0,5,47.0000
Arroyo Seco,13,6,458.0000
AUBASA LP-BA,3,3,4.0000
Las Heras,18,3,47.0000
El Club,7,5,307.0000
Buen Ayre,14,2,218.0000
Maipu,17,3,70.0000
Alvear,18,4,266.0000
America,9,7,96.0000
Pilar,21,4,10.0000
Fisherton,0,2,108.0000
AUBASA BA-LP,12,7,370.0000
Luis Viale,16,6,50.0000
Pilar,9,2,133.0000
Dialogos,15,7,30.0000
Boulevard,9,6,235.0000
Bonpland,19,7,118.0000
El Club,14,1,126.0000
Buen Ayre,23,3,88.0000
Gutierrez,12,4,62.0000
Alvear,7,7,220.0000
Floresta,17,4,57.0000
San Isidro,6,1,45.0000
La Carmela,7,4,108.0000
Maipu,17,4,73.0000
San Isidro,8,2,96.0000
Centenera,20,5,20.0000
Bonpland,17,1,114.0000
Amanecer,14,4,36.0000
Los Incas,1,5,
La Carmela,12,4,36.0000
AUBASA BA-LP,14,4,125.0000
Garay,13,4,70.0000
America,20,2,63.0000
America,0,5,82.0000
Quilmes,2,2,16.0000
Bonpland,0,4,46.0000
La Bandera,18,3,246.0000
Dialogos,19,3,57.0000
La Bandera,6,4,25.0000
Garay,16,4,93.0000
Amanecer,13,3,48.0000
Cabildo,15,7,12.0000
Bonpland,15,3,112.0000
Bonpland,5,7,74.0000
El Club,7,3,243.0000
Buen Ayre,3,7,47.0000
Zarate Brazo Largo,11,6,223.0000
Centenera,10,3,67.0000
Luis Viale,7,7,45.0000
La Carmela,2,5,13.0000
Zarate,15,3,16.0000
Gral Paz Capital,23,6,108.0000
Maipu,23,2,23.0000
Alvear,12,3,134.0000
Olivos,17,4,67.0000
Bonpland,21,5,42.0000
Emilio Castro,9,7,35.0000
AUBASA LP-BA,23,4,50.0000
Las Heras,2,3,16.0000
Olivos,13,6,19.0000
Alberdi,18,6,
Gutierrez,14,4,57.0000
Dialogos,4,1,63.0000
Gutierrez,3,7,21.0000
La Carmela,6,3,86.0000
AUBASA BA-LP,1,7,176.0000
Fisherton,0,1,286.0000
AUBASA BA-LP,22,2,48.0000
Congreso,10,3,104.0000
Trelles,6,3,44.0000
Laferrere,8,5,90.0000
Villa Allende,9,7,175.0000
Boulevard,14,3,79.0000
America,11,2,80.0000
AUBASA LP-BA,20,5,95.0000
Floresta,23,1,19.0000
Bonpland,16,1,144.0000
La Carmela,11,3,41.0000
Gral Paz Capital,16,3,165.0000
Del Tejar,15,3,68.0000
Las Heras,7,2,61.0000
Gutierrez,23,3,78.0000
Maipu,10,3,104.0000
Cabildo,10,3,23.0000
CORS Alem,10,6,
Alsina,15,5,80.0000
Villa Luro,12,4,91.0000
Boulevard,17,6,168.0000
Congreso,2,1,32.0000
Villa Luro,4,5,20.0000
Santa Rita,9,1,64.0000
Maipu,18,1,21.0000
Emilio Castro,4,1,23.0000
America,12,4,52.0000
Luis Viale,13,2,40.0000
Laferrere,22,1,15.0000
Amanecer,3,4,6.0000
La Bandera,10,4,260.0000
Amanecer,18,7,75.0000
Laferrere,13,5,23.0000
Del Tejar,13,5,30.0000
Zarate Brazo Largo,11,3,139.0000
Alsina,16,2,56.0000
Parque Sarmiento,22,5,15.0000
Parque Sarmiento,21,6,14.0000
Floresta,23,3,27.0000
Parque Sarmiento,19,7,48.0000
AUBASA BA-LP,21,7,47.0000
Maipu,9,7,67.0000
Villa Luro,3,2,16.0000
Olivos,23,6,51.0000
Maipu,11,3,63.0000
Trelles,15,3,19.0000
Bonpland,20,4,42.0000
Santa Fe,9,5,35.0000
Bulnes,16,2,83.0000
La Carmela,13,5,16.0000
Las Heras,18,1,36.0000
Villa Luro,1,6,38.0000
Centenera,20,1,11.0000
Quilmes,9,7,108.0000
Del Tejar,17,3,145.0000
Los Incas,8,4,1.0000
Zarate,19,1,13.0000
Alberdi,3,6,
AUBASA LP-BA,4,1,61.0000
Villa Allende,14,1,20.0000
Congreso,21,2,6.0000
Congreso,5,3,5.0000
Luis Viale,17,5,80.0000
Zarate Brazo Largo,12,1,74.0000
Floresta,20,7,37.0000
Boulevard,14,7,45.0000
Ovidio Lagos,14,6,63.0000
Santa Fe,16,7,12.0000
Bonpland,22,1,30.0000
Florencio Varela,13,2,42.0000
Del Tejar,0,3,19.0000
San Isidro,21,2,14.0000
Buen Ayre,20,3,136.0000
Centenera,10,4,65.0000
Florencio Varela,23,6,46.0000
Trelles,23,5,9.0000
Floresta,2,4,23.0000
Del Tejar,5,7,16.0000
Ovidio Lagos,13,2,73.0000
Los Incas,7,6,4.0000
La Carmela,20,2,16.0000
Maipu,20,5,22.0000
Dialogos,6,1,153.0000
Zarate,15,4,4.0000
Gutierrez,12,1,58.0000
Cabildo,7,7,6.0000
Boulevard,2,5,10.0000
Las Heras,22,2,10.0000
Ovidio Lagos,12,7,60.0000
Pilar,0,4,20.0000
Del Tejar,19,7,44.0000
OPERADOR LOGISTICO 2,16,5,6426.0000
Santa Rita,20,2,33.0000
Florencio Varela,21,5,26.0000
Trelles,23,7,18.0000
La Bandera,22,6,27.0000
Cabildo,1,1,4.0000
Trelles,16,1,25.0000
Centenera,1,6,10.0000
Laferrere,20,7,23.0000
Santa Fe,16,3,25.0000
OPERADOR LOGISTICO 2,8,6,10467.0000
Garay,14,5,84.0000
Alsina,14,6,23.0000
Villa Luro,13,4,65.0000
Emilio Castro,14,7,27.0000
Alvear,22,2,42.0000
Centenera,14,2,28.0000
Cabildo,5,5,15.0000
Zarate Brazo Largo,15,4,80.0000
Pilar,4,4,17.0000
Luis Viale,1,7,15.0000
Dialogos,12,3,13.0000
Santa Fe,20,1,11.0000
Congreso,19,4,48.0000
Maipu,15,7,17.0000
Luis Viale,16,1,50.0000
Ovidio Lagos,19,4,70.0000
Olivos,18,1,104.0000
Rosario Sur,9,7,
Amanecer,0,4,42.0000
Zarate Brazo Largo,0,1,10.0000
Zarate Brazo Largo,14,2,55.0000
Santa Fe,12,2,14.0000
Gral Paz Capital,2,5,60.0000
Florencio Varela,4,4,12.0000
Maipu,1,5,10.0000
Santa Rita,20,4,45.0000
Emilio Castro,19,7,13.0000
Parque Sarmiento,16,7,100.0000
Trelles,19,2,16.0000
Las Heras,10,1,60.0000
Garay,6,2,44.0000
Las Heras,14,4,41.0000
Alsina,15,2,24.0000
Quilmes,5,1,63.0000
Lima,22,4,52.0000
Zarate,12,5,10.0000
Garay,15,7,34.0000
Los Incas,17,5,
Congreso,4,1,12.0000
Emilio Castro,6,7,26.0000
Ovidio Lagos,20,2,44.0000
Las Heras,9,4,88.0000
America,2,5,16.0000
CORS Alem,9,5,
Del Tejar,6,5,95.0000
San Isidro,2,2,9.0000
Maschwitz,23,6,
Trelles,18,1,40.0000
Rosario Sur,0,6,
Alsina,10,2,70.0000
Floresta,11,3,46.0000
Parque Sarmiento,12,3,35.0000
Maipu,13,4,16.0000
Amanecer,7,2,40.0000
Olivos,2,5,15.0000
Alsina,16,3,52.0000
Bonpland,14,6,85.0000
Luis Viale,21,5,34.0000
Maipu,2,2,4.0000
Floresta,1,3,14.0000
Santa Rita,3,7,16.0000
Bonpland,20,6,65.0000
El Arco,23,1,65.0000
Zarate,5,2,8.0000
Ovidio Lagos,12,3,84.0000
Garay,15,3,95.0000
Zarate,18,5,11.0000
Emilio Castro,21,4,13.0000
Dialogos,23,6,30.0000
Florencio Varela,2,6,27.0000
Dialogos,4,6,8.0000
Villa Allende,21,5,25.0000
Quilmes,12,1,58.0000
Bonpland,23,3,38.0000
Gutierrez,21,1,38.0000
Zarate,22,5,4.0000
Pilar,6,2,21.0000
Alberdi,11,6,
Los Incas,13,6,
El Club,21,6,103.0000
San Isidro,23,2,9.0000
Alberdi,10,7,
Trelles,12,3,22.0000
Rivadavia,7,2,
Villa Allende,6,2,10.0000
AUBASA LP-BA,22,2,54.0000
Amanecer,14,7,28.0000
Las Heras,4,2,7.0000
La Bandera,7,1,16.0000
Emilio Castro,22,3,4.0000
Villa Allende,15,5,72.0000
Zarate,2,1,9.0000
Los Incas,11,3,
Rosario Sur,14,5,
Quilmes,2,5,11.0000
La Bandera,23,5,19.0000
Pilar,4,7,19.0000
Bulnes,15,3,63.0000
Alsina,1,2,25.0000
Quilmes,13,2,49.0000
America,6,7,21.0000
Alsina,2,7,20.0000
Olivos,10,5,94.0000
Cabildo,18,4,12.0000
OPERADOR LOGISTICO,17,5,2806.0000
Pilar,23,7,50.0000
Congreso,1,6,18.0000
Los Incas,13,5,
Olivos,14,6,30.0000
Quilmes,2,3,12.0000
Gral Paz Provincia,14,1,63.0000
Garay,2,7,30.0000
Las Heras,22,6,9.0000
Pilar,19,4,83.0000
Maschwitz,7,7,
Zarate,11,7,16.0000
America,5,4,9.0000
La Carmela,16,3,36.0000
Boulevard,3,2,4.0000
Centenera,1,2,7.0000
Centenera,1,7,7.0000
Luis Viale,3,3,11.0000
Zarate,1,7,10.0000
Maschwitz,11,1,
Maipu,22,3,14.0000
Maschwitz,9,6,
Las Heras,0,6,13.0000
Santa Fe,16,2,14.0000
Rosario Sur,22,3,
CORS Alem,17,3,
Rosario Sur,3,7,
El Arco,14,1,28.0000
Dialogos,21,4,33.0000
Alberdi,5,7,
Parque Sarmiento,5,1,13.0000
Luis Viale,2,4,8.0000
Floresta,12,5,14.0000
Garay,23,4,26.0000
Olivos,13,7,29.0000
CORS Alem,12,2,
Santa Fe,17,7,25.0000
Cabildo,3,7,4.0000
Bulnes,15,7,16.0000
CORS EVENTOS,13,7,
Garay,1,3,8.0000
El Arco,23,7,46.0000
Dialogos,14,7,20.0000
Pilar,2,2,14.0000
Las Heras,16,3,34.0000
Emilio Castro,23,2,6.0000
Las Heras,21,2,10.0000
Laferrere,0,6,24.0000
Cabildo,22,2,5.0000
Alsina,4,7,23.0000
OPERADOR LOGISTICO,15,2,13510.0000
Villa Allende,23,5,12.0000
Santa Rita,21,1,27.0000
Cabildo,23,4,
Olivos,20,4,18.0000
Maschwitz,6,1,
Dialogos,13,2,15.0000
La Carmela,23,4,7.0000
La Bandera,21,4,15.0000
Pilar,0,5,29.0000
Dialogos,4,2,13.0000
Zarate,2,6,6.0000
San Isidro,22,1,20.0000
La Carmela,22,5,6.0000
Luis Viale,22,2,9.0000
CORS Alem,14,3,
