estacion,hora,q_cafes_llevar_algo_leche_sinbakery_sandwiches,q_cafes_llevar_algo_otros_sinbakery_sandwiches,q_cafes_local_algo_leche_sinbakery_sandwiches,q_cafes_local_algo_otros_sinbakery_sandwiches
Trelles,17,10.0000,4.0000,30.0000,17.0000
El Arco,19,25.0000,20.0000,61.0000,51.0000
Villa Luro,13,22.0000,29.0000,96.0000,75.0000
AUBASA BA-LP,3,18.0000,38.0000,18.0000,26.0000
Arroyo Seco,8,135.0000,100.0000,141.0000,131.0000
Fisherton,18,4.0000,29.0000,null,274.0000
Dialogos,16,24.0000,8.0000,79.0000,30.0000
El Club,12,30.0000,30.0000,153.0000,133.0000
AUBASA LP-BA,0,36.0000,36.0000,15.0000,46.0000
Buen Ayre,17,105.0000,43.0000,369.0000,183.0000
Alsina,18,16.0000,9.0000,56.0000,32.0000
El Club,18,88.0000,43.0000,504.0000,211.0000
Las Heras,23,4.0000,2.0000,3.0000,3.0000
Libertador,8,75.0000,48.0000,208.0000,101.0000
San Isidro,6,75.0000,11.0000,108.0000,41.0000
Garay,10,20.0000,18.0000,118.0000,93.0000
La Bandera,14,9.0000,1.0000,30.0000,34.0000
DISC Echeverria,19,null,null,null,6.0000
Gutierrez,16,15.0000,3.0000,54.0000,37.0000
DISC Echeverria,16,null,null,null,2.0000
Bulnes,13,1.0000,null,14.0000,19.0000
Las Heras,8,8.0000,5.0000,11.0000,7.0000
Las Heras,1,3.0000,null,3.0000,8.0000
Dialogos,18,25.0000,13.0000,116.0000,63.0000
Boulevard,9,9.0000,6.0000,48.0000,22.0000
America,8,46.0000,31.0000,1.0000,103.0000
Ovidio Lagos,17,4.0000,7.0000,16.0000,24.0000
Gral Paz Capital,4,42.0000,10.0000,null,61.0000
AUBASA BA-LP,8,368.0000,161.0000,771.0000,344.0000
Los Incas,14,15.0000,6.0000,null,null
Las Heras,5,3.0000,28.0000,4.0000,3.0000
Del Tejar,11,24.0000,5.0000,54.0000,32.0000
Santa Fe,20,6.0000,2.0000,null,3.0000
Arroyo Seco,7,80.0000,68.0000,104.0000,79.0000
Ovidio Lagos,1,2.0000,1.0000,12.0000,7.0000
Luis Viale,8,17.0000,61.0000,67.0000,19.0000
Gutierrez,18,37.0000,15.0000,99.0000,50.0000
Cabildo,15,5.0000,4.0000,4.0000,5.0000
Quilmes,20,9.0000,7.0000,22.0000,16.0000
Dialogos,0,7.0000,1.0000,7.0000,5.0000
Centenera,17,9.0000,null,37.0000,19.0000
Gutierrez,2,3.0000,1.0000,2.0000,11.0000
America,10,36.0000,20.0000,null,78.0000
Boulevard,6,2.0000,2.0000,11.0000,6.0000
Cabildo,11,8.0000,9.0000,12.0000,3.0000
Disc Panamericana,12,null,2.0000,null,2.0000
Floresta,0,10.0000,18.0000,7.0000,9.0000
Alsina,7,18.0000,13.0000,30.0000,62.0000
Centenera,11,11.0000,8.0000,36.0000,27.0000
Fisherton,2,null,1.0000,null,11.0000
Maschwitz,17,null,null,null,7.0000
Centenera,20,6.0000,2.0000,14.0000,4.0000
DISC Echeverria,9,null,null,null,5.0000
Zarate,18,44.0000,15.0000,32.0000,24.0000
Laferrere,7,37.0000,24.0000,103.0000,13.0000
Trelles,10,18.0000,7.0000,60.0000,29.0000
Alberdi,22,null,null,null,1.0000
Alsina,5,5.0000,4.0000,11.0000,37.0000
Maipu,3,4.0000,2.0000,16.0000,13.0000
Zarate Brazo Largo,3,8.0000,null,null,10.0000
Maschwitz,11,null,null,null,6.0000
Centenera,2,4.0000,3.0000,6.0000,8.0000
DISC Echeverria,10,null,null,null,8.0000
Santa Fe,6,7.0000,1.0000,3.0000,null
Alberdi,19,null,null,null,1.0000
La Bandera,6,3.0000,null,12.0000,1.0000
DISC Caraffa,21,1.0000,1.0000,6.0000,2.0000
Bulnes,20,null,1.0000,22.0000,9.0000
DISC Echeverria,17,null,null,null,3.0000
Bulnes,21,2.0000,null,18.0000,3.0000
Bulnes,10,6.0000,2.0000,47.0000,23.0000
Disc Panamericana,11,null,1.0000,null,7.0000
DISC Caraffa,23,null,null,null,2.0000
Villa Allende,0,null,null,null,null
Florencio Varela,3,1.0000,null,1.0000,3.0000
Bulnes,23,null,null,null,null
DISC Caraffa,6,null,1.0000,1.0000,null
Santa Fe,22,null,2.0000,null,null
Dialogos,3,null,null,null,null
Villa Allende,22,null,null,null,5.0000
Bulnes,2,null,null,null,null
La Bandera,5,null,null,null,null
Anchorena,19,null,null,null,null
San Isidro,12,30.0000,19.0000,63.0000,104.0000
Gral Paz Capital,13,44.0000,37.0000,null,194.0000
Gral Paz Capital,14,43.0000,17.0000,null,230.0000
Alsina,8,9.0000,14.0000,49.0000,43.0000
Los Incas,0,2.0000,null,null,1.0000
Luis Viale,15,8.0000,17.0000,80.0000,36.0000
Dialogos,11,26.0000,7.0000,75.0000,35.0000
AUBASA BA-LP,4,20.0000,21.0000,23.0000,37.0000
Floresta,19,3.0000,7.0000,26.0000,20.0000
El Arco,8,9.0000,8.0000,42.0000,22.0000
Maschwitz,14,null,null,null,6.0000
Gutierrez,0,null,1.0000,22.0000,10.0000
La Carmela,20,7.0000,6.0000,22.0000,19.0000
Gral Paz Capital,22,38.0000,15.0000,null,51.0000
Olivos,16,33.0000,6.0000,116.0000,59.0000
El Arco,20,3.0000,13.0000,20.0000,24.0000
Pilar,1,5.0000,8.0000,11.0000,3.0000
AUBASA BA-LP,19,157.0000,163.0000,282.0000,299.0000
Floresta,17,5.0000,16.0000,21.0000,32.0000
Alsina,9,11.0000,22.0000,64.0000,68.0000
Los Incas,9,27.0000,6.0000,null,null
Cabildo,1,7.0000,null,4.0000,3.0000
Gral Paz Provincia,7,222.0000,68.0000,394.0000,154.0000
Del Tejar,1,3.0000,3.0000,7.0000,9.0000
Maipu,1,1.0000,null,5.0000,16.0000
Bonpland,20,31.0000,12.0000,38.0000,38.0000
Dialogos,17,23.0000,8.0000,118.0000,53.0000
Ovidio Lagos,19,6.0000,7.0000,10.0000,64.0000
AUBASA LP-BA,15,81.0000,71.0000,378.0000,255.0000
Parque Sarmiento,2,15.0000,3.0000,3.0000,2.0000
Santa Fe,14,3.0000,2.0000,1.0000,3.0000
Parque Sarmiento,13,22.0000,9.0000,60.0000,47.0000
Boulevard,19,15.0000,19.0000,37.0000,38.0000
Las Heras,19,5.0000,7.0000,13.0000,13.0000
Las Heras,13,11.0000,7.0000,18.0000,14.0000
Lima,0,65.0000,99.0000,77.0000,103.0000
Alvear,4,13.0000,4.0000,34.0000,29.0000
Emilio Castro,16,2.0000,3.0000,16.0000,9.0000
Congreso,0,3.0000,14.0000,2.0000,14.0000
Gutierrez,14,9.0000,10.0000,48.0000,33.0000
Las Heras,12,7.0000,4.0000,13.0000,12.0000
Luis Viale,18,11.0000,17.0000,98.0000,34.0000
Trelles,8,17.0000,23.0000,35.0000,37.0000
El Club,19,37.0000,43.0000,185.0000,148.0000
Cabildo,13,4.0000,null,10.0000,4.0000
Ovidio Lagos,22,null,null,4.0000,6.0000
Del Tejar,6,24.0000,4.0000,59.0000,14.0000
Bonpland,11,34.0000,28.0000,109.0000,82.0000
America,7,24.0000,25.0000,null,52.0000
AUBASA BA-LP,18,263.0000,160.0000,671.0000,352.0000
Alvear,13,43.0000,26.0000,100.0000,122.0000
Amanecer,11,29.0000,23.0000,null,75.0000
El Arco,9,21.0000,12.0000,36.0000,21.0000
Villa Luro,23,4.0000,7.0000,4.0000,8.0000
Alsina,11,20.0000,12.0000,54.0000,42.0000
Santa Rita,4,5.0000,2.0000,1.0000,12.0000
Olivos,4,36.0000,3.0000,43.0000,8.0000
Gral Paz Capital,5,88.0000,27.0000,null,127.0000
El Club,23,7.0000,4.0000,16.0000,29.0000
Zarate,13,20.0000,11.0000,27.0000,17.0000
Emilio Castro,15,2.0000,3.0000,21.0000,11.0000
Gral Paz Capital,18,137.0000,66.0000,null,431.0000
America,14,13.0000,13.0000,null,54.0000
Santa Rita,10,2.0000,12.0000,27.0000,55.0000
Zarate Brazo Largo,19,37.0000,25.0000,2.0000,34.0000
America,13,11.0000,7.0000,null,103.0000
Ovidio Lagos,14,4.0000,9.0000,14.0000,39.0000
Santa Rita,22,1.0000,4.0000,6.0000,16.0000
America,17,17.0000,18.0000,null,109.0000
Maipu,2,6.0000,3.0000,16.0000,16.0000
Buen Ayre,18,125.0000,48.0000,348.0000,194.0000
Zarate Brazo Largo,10,28.0000,3.0000,1.0000,41.0000
Bonpland,19,36.0000,21.0000,103.0000,61.0000
AUBASA LP-BA,12,81.0000,84.0000,171.0000,219.0000
Villa Allende,13,4.0000,8.0000,24.0000,34.0000
Alsina,21,5.0000,7.0000,7.0000,18.0000
Alvear,18,45.0000,33.0000,292.0000,117.0000
Fisherton,7,20.0000,19.0000,null,95.0000
Maschwitz,7,null,null,null,8.0000
Gral Paz Provincia,6,124.0000,69.0000,285.0000,127.0000
San Isidro,5,18.0000,8.0000,20.0000,11.0000
Cabildo,23,2.0000,null,null,1.0000
Fisherton,14,null,9.0000,null,148.0000
Gutierrez,19,13.0000,5.0000,48.0000,15.0000
Villa Luro,21,8.0000,8.0000,45.0000,48.0000
Los Incas,13,21.0000,3.0000,null,1.0000
Boulevard,21,2.0000,null,3.0000,2.0000
Amanecer,16,10.0000,9.0000,null,75.0000
Luis Viale,7,12.0000,30.0000,48.0000,17.0000
La Bandera,8,5.0000,8.0000,24.0000,8.0000
Villa Luro,20,17.0000,9.0000,46.0000,41.0000
El Arco,6,3.0000,8.0000,9.0000,10.0000
Arroyo Seco,20,158.0000,198.0000,118.0000,226.0000
Amanecer,20,7.0000,6.0000,null,47.0000
Alvear,8,103.0000,35.0000,288.0000,150.0000
La Carmela,12,8.0000,7.0000,3.0000,23.0000
Amanecer,8,66.0000,44.0000,null,113.0000
AUBASA LP-BA,13,61.0000,68.0000,137.0000,236.0000
Gutierrez,17,17.0000,5.0000,97.0000,61.0000
San Isidro,11,40.0000,25.0000,81.0000,93.0000
El Club,22,12.0000,9.0000,32.0000,27.0000
Los Incas,22,3.0000,null,null,null
Buen Ayre,22,5.0000,11.0000,21.0000,20.0000
Gral Paz Capital,19,82.0000,50.0000,null,250.0000
AUBASA LP-BA,14,64.0000,57.0000,143.0000,224.0000
AUBASA LP-BA,7,318.0000,136.0000,247.0000,104.0000
Fisherton,21,1.0000,9.0000,null,15.0000
Dialogos,8,42.0000,18.0000,137.0000,47.0000
AUBASA BA-LP,9,400.0000,196.0000,783.0000,399.0000
Garay,17,14.0000,27.0000,49.0000,119.0000
Villa Allende,16,6.0000,3.0000,42.0000,23.0000
Parque Sarmiento,14,8.0000,17.0000,42.0000,60.0000
Lima,13,80.0000,183.0000,71.0000,385.0000
Los Incas,16,3.0000,2.0000,null,null
Boulevard,14,10.0000,4.0000,28.0000,50.0000
Luis Viale,9,17.0000,53.0000,82.0000,35.0000
Florencio Varela,18,11.0000,3.0000,48.0000,43.0000
Del Tejar,7,70.0000,4.0000,161.0000,22.0000
Fisherton,0,null,null,null,7.0000
Alsina,23,null,4.0000,5.0000,19.0000
Emilio Castro,4,7.0000,2.0000,23.0000,7.0000
Del Tejar,2,1.0000,1.0000,5.0000,2.0000
Villa Luro,12,17.0000,25.0000,125.0000,96.0000
Olivos,18,36.0000,8.0000,114.0000,76.0000
Garay,21,8.0000,10.0000,5.0000,28.0000
San Isidro,22,null,11.0000,10.0000,8.0000
Luis Viale,11,10.0000,40.0000,64.0000,20.0000
Ovidio Lagos,15,1.0000,10.0000,4.0000,38.0000
Del Tejar,21,10.0000,11.0000,9.0000,15.0000
Del Tejar,13,19.0000,8.0000,45.0000,38.0000
Congreso,9,45.0000,43.0000,31.0000,92.0000
Arroyo Seco,9,174.0000,122.0000,170.0000,194.0000
Alvear,14,36.0000,24.0000,120.0000,96.0000
Amanecer,19,5.0000,4.0000,null,54.0000
Las Heras,22,3.0000,1.0000,1.0000,6.0000
Bonpland,9,171.0000,59.0000,346.0000,84.0000
Floresta,15,2.0000,12.0000,40.0000,27.0000
Las Heras,0,2.0000,null,8.0000,2.0000
Dialogos,19,18.0000,7.0000,64.0000,39.0000
Buen Ayre,12,40.0000,24.0000,91.0000,126.0000
Maipu,6,17.0000,6.0000,51.0000,20.0000
Emilio Castro,20,2.0000,2.0000,9.0000,7.0000
Arroyo Seco,19,198.0000,230.0000,208.0000,279.0000
Lima,11,83.0000,139.0000,107.0000,222.0000
Alsina,2,4.0000,8.0000,13.0000,28.0000
Ovidio Lagos,13,12.0000,8.0000,12.0000,39.0000
Luis Viale,21,13.0000,10.0000,19.0000,13.0000
Santa Rita,3,null,5.0000,5.0000,3.0000
La Carmela,5,18.0000,12.0000,39.0000,8.0000
Pilar,5,7.0000,5.0000,12.0000,3.0000
Alberdi,10,null,null,null,5.0000
Fisherton,23,null,1.0000,null,6.0000
Pilar,3,6.0000,3.0000,15.0000,2.0000
Disc Panamericana,23,null,null,null,null
Maschwitz,19,null,null,null,5.0000
DISC Echeverria,23,null,null,null,1.0000
Florencio Varela,6,27.0000,32.0000,40.0000,32.0000
Santa Fe,17,2.0000,3.0000,1.0000,8.0000
La Bandera,18,9.0000,null,47.0000,40.0000
Garay,4,5.0000,14.0000,13.0000,15.0000
Gral Paz Provincia,4,12.0000,14.0000,46.0000,29.0000
Las Heras,3,3.0000,2.0000,null,2.0000
Emilio Castro,11,22.0000,8.0000,57.0000,9.0000
Santa Fe,21,3.0000,10.0000,3.0000,4.0000
Los Incas,18,6.0000,1.0000,null,null
Alberdi,3,null,null,null,null
Centenera,5,3.0000,2.0000,3.0000,null
Las Heras,20,5.0000,4.0000,4.0000,6.0000
Amanecer,3,1.0000,5.0000,null,19.0000
DISC Echeverria,4,null,null,null,2.0000
Santa Fe,10,5.0000,2.0000,5.0000,9.0000
Ovidio Lagos,2,null,null,1.0000,2.0000
Alberdi,17,null,null,null,1.0000
Maschwitz,5,null,null,null,3.0000
Bulnes,16,1.0000,2.0000,10.0000,5.0000
Gutierrez,6,13.0000,10.0000,61.0000,19.0000
Arroyo Seco,5,15.0000,4.0000,6.0000,9.0000
Anchorena,7,null,null,null,null
DISC Echeverria,20,null,null,null,3.0000
Villa Allende,5,null,null,4.0000,null
Bulnes,19,2.0000,1.0000,50.0000,16.0000
Maschwitz,2,null,null,null,4.0000
Disc Panamericana,20,null,null,null,3.0000
Alberdi,12,null,null,null,2.0000
Disc Panamericana,10,null,3.0000,null,11.0000
Zarate,3,1.0000,1.0000,null,null
Villa Allende,1,null,null,null,null
Bulnes,3,null,null,null,null
Zarate Brazo Largo,7,20.0000,6.0000,3.0000,28.0000
Gral Paz Capital,6,99.0000,65.0000,null,270.0000
Villa Allende,21,null,null,8.0000,7.0000
Trelles,7,30.0000,13.0000,28.0000,23.0000
Villa Allende,8,21.0000,12.0000,123.0000,25.0000
America,2,1.0000,4.0000,null,7.0000
Lima,2,37.0000,73.0000,20.0000,44.0000
Floresta,7,9.0000,6.0000,29.0000,7.0000
La Bandera,10,15.0000,8.0000,43.0000,23.0000
Trelles,22,5.0000,1.0000,12.0000,10.0000
Floresta,12,12.0000,6.0000,35.0000,20.0000
America,20,3.0000,14.0000,null,23.0000
Florencio Varela,16,10.0000,1.0000,28.0000,16.0000
AUBASA LP-BA,19,99.0000,79.0000,196.0000,233.0000
Parque Sarmiento,15,10.0000,21.0000,46.0000,55.0000
Alsina,19,20.0000,2.0000,41.0000,19.0000
Fisherton,10,22.0000,30.0000,null,147.0000
Alvear,17,46.0000,38.0000,256.0000,134.0000
Zarate,10,51.0000,29.0000,35.0000,17.0000
Libertador,11,27.0000,26.0000,66.0000,72.0000
El Arco,14,4.0000,3.0000,13.0000,31.0000
Villa Allende,20,6.0000,9.0000,56.0000,30.0000
Buen Ayre,1,6.0000,3.0000,15.0000,15.0000
El Arco,11,8.0000,8.0000,49.0000,33.0000
El Arco,18,9.0000,11.0000,62.0000,37.0000
Bonpland,15,30.0000,33.0000,119.0000,69.0000
El Club,8,173.0000,104.0000,492.0000,163.0000
Del Tejar,8,121.0000,7.0000,177.0000,74.0000
Arroyo Seco,10,173.0000,171.0000,177.0000,192.0000
Fisherton,6,16.0000,19.0000,null,75.0000
Libertador,0,5.0000,12.0000,5.0000,4.0000
Las Heras,7,20.0000,5.0000,9.0000,9.0000
Santa Fe,9,10.0000,1.0000,2.0000,3.0000
Pilar,9,110.0000,40.0000,115.0000,112.0000
Libertador,13,10.0000,19.0000,47.0000,74.0000
Bonpland,21,41.0000,7.0000,28.0000,23.0000
Laferrere,22,6.0000,8.0000,16.0000,9.0000
America,16,6.0000,14.0000,null,97.0000
AUBASA BA-LP,6,214.0000,95.0000,291.0000,165.0000
Olivos,3,24.0000,null,40.0000,17.0000
Luis Viale,1,1.0000,7.0000,4.0000,24.0000
Trelles,0,7.0000,2.0000,21.0000,12.0000
Parque Sarmiento,22,6.0000,1.0000,9.0000,5.0000
Luis Viale,4,7.0000,6.0000,17.0000,34.0000
Alvear,3,10.0000,1.0000,35.0000,48.0000
Cabildo,16,4.0000,5.0000,5.0000,6.0000
El Arco,12,4.0000,4.0000,52.0000,29.0000
Alvear,21,7.0000,20.0000,59.0000,82.0000
Gral Paz Capital,16,68.0000,39.0000,null,320.0000
Garay,22,1.0000,6.0000,8.0000,10.0000
Olivos,23,11.0000,null,23.0000,24.0000
Villa Allende,6,3.0000,1.0000,27.0000,18.0000
Pilar,16,23.0000,9.0000,32.0000,76.0000
DISC Echeverria,22,null,null,null,3.0000
Alvear,16,26.0000,26.0000,195.0000,124.0000
Quilmes,4,7.0000,7.0000,14.0000,6.0000
Santa Rita,15,null,10.0000,9.0000,66.0000
Gral Paz Capital,1,22.0000,7.0000,null,66.0000
Gutierrez,12,13.0000,7.0000,25.0000,28.0000
La Carmela,4,4.0000,3.0000,5.0000,8.0000
Villa Luro,5,31.0000,11.0000,30.0000,11.0000
Santa Fe,8,1.0000,4.0000,3.0000,1.0000
Pilar,12,34.0000,16.0000,50.0000,43.0000
Garay,16,8.0000,19.0000,67.0000,98.0000
Emilio Castro,22,4.0000,null,2.0000,5.0000
Pilar,10,65.0000,35.0000,82.0000,90.0000
Pilar,17,23.0000,27.0000,66.0000,94.0000
Amanecer,14,20.0000,12.0000,null,67.0000
Laferrere,23,3.0000,7.0000,29.0000,21.0000
Pilar,15,7.0000,10.0000,25.0000,63.0000
Garay,15,8.0000,10.0000,39.0000,63.0000
Gral Paz Provincia,11,66.0000,63.0000,148.0000,137.0000
Libertador,18,43.0000,34.0000,255.0000,119.0000
Anchorena,23,null,null,null,null
Garay,23,2.0000,4.0000,14.0000,18.0000
Gral Paz Provincia,15,32.0000,22.0000,177.0000,103.0000
Dialogos,13,9.0000,11.0000,21.0000,23.0000
Centenera,3,9.0000,1.0000,3.0000,6.0000
Laferrere,13,6.0000,9.0000,38.0000,21.0000
Buen Ayre,21,9.0000,6.0000,28.0000,46.0000
Parque Sarmiento,9,54.0000,31.0000,98.0000,57.0000
Laferrere,11,25.0000,13.0000,62.0000,24.0000
Olivos,21,14.0000,2.0000,40.0000,32.0000
Villa Luro,19,21.0000,19.0000,86.0000,69.0000
AUBASA LP-BA,23,23.0000,24.0000,36.0000,48.0000
La Carmela,13,13.0000,6.0000,8.0000,13.0000
Buen Ayre,6,111.0000,45.0000,142.0000,57.0000
Dialogos,14,42.0000,6.0000,35.0000,34.0000
San Isidro,19,8.0000,20.0000,77.0000,93.0000
Dialogos,6,23.0000,8.0000,55.0000,37.0000
Libertador,4,8.0000,13.0000,5.0000,10.0000
Emilio Castro,2,9.0000,6.0000,3.0000,3.0000
Villa Luro,7,176.0000,183.0000,233.0000,112.0000
Boulevard,11,11.0000,9.0000,53.0000,63.0000
La Carmela,11,12.0000,8.0000,19.0000,27.0000
Alvear,10,64.0000,33.0000,233.0000,112.0000
Alsina,10,22.0000,17.0000,51.0000,73.0000
Olivos,19,30.0000,1.0000,63.0000,32.0000
Fisherton,11,8.0000,12.0000,null,153.0000
Parque Sarmiento,1,5.0000,2.0000,4.0000,4.0000
Boulevard,10,12.0000,5.0000,66.0000,45.0000
Libertador,20,15.0000,9.0000,97.0000,31.0000
Villa Luro,8,157.0000,145.0000,447.0000,113.0000
Parque Sarmiento,0,11.0000,2.0000,2.0000,3.0000
Villa Allende,11,19.0000,4.0000,44.0000,28.0000
Libertador,22,3.0000,5.0000,12.0000,9.0000
Dialogos,22,3.0000,2.0000,13.0000,5.0000
El Club,14,25.0000,19.0000,107.0000,155.0000
Floresta,16,16.0000,14.0000,41.0000,25.0000
Fisherton,9,22.0000,15.0000,null,133.0000
Zarate Brazo Largo,9,31.0000,10.0000,1.0000,39.0000
Emilio Castro,3,9.0000,1.0000,6.0000,3.0000
Pilar,19,24.0000,21.0000,33.0000,67.0000
AUBASA BA-LP,17,231.0000,169.0000,653.0000,347.0000
Laferrere,17,7.0000,4.0000,55.0000,15.0000
AUBASA LP-BA,10,206.0000,165.0000,450.0000,267.0000
Gral Paz Provincia,3,13.0000,13.0000,20.0000,24.0000
Maipu,9,20.0000,3.0000,61.0000,43.0000
Alsina,1,6.0000,3.0000,17.0000,38.0000
Buen Ayre,5,35.0000,13.0000,37.0000,23.0000
AUBASA BA-LP,7,341.0000,157.0000,644.0000,271.0000
AUBASA BA-LP,10,307.0000,164.0000,703.0000,340.0000
Quilmes,6,33.0000,16.0000,54.0000,35.0000
America,3,7.0000,2.0000,null,10.0000
Olivos,9,91.0000,4.0000,127.0000,36.0000
La Carmela,7,48.0000,28.0000,104.0000,39.0000
Los Incas,20,5.0000,1.0000,null,null
Bonpland,23,12.0000,7.0000,29.0000,19.0000
Gral Paz Capital,10,253.0000,151.0000,null,616.0000
Bonpland,10,76.0000,41.0000,311.0000,98.0000
Gral Paz Provincia,17,118.0000,44.0000,300.0000,140.0000
Zarate,9,52.0000,14.0000,45.0000,8.0000
Del Tejar,0,10.0000,3.0000,4.0000,14.0000
AUBASA BA-LP,16,121.0000,129.0000,464.0000,298.0000
Zarate,22,8.0000,4.0000,null,null
Floresta,9,12.0000,21.0000,27.0000,25.0000
Garay,18,20.0000,24.0000,56.0000,114.0000
Laferrere,1,9.0000,6.0000,22.0000,10.0000
Arroyo Seco,17,222.0000,222.0000,228.0000,367.0000
Trelles,23,2.0000,1.0000,8.0000,8.0000
Las Heras,15,13.0000,7.0000,13.0000,12.0000
Santa Fe,12,3.0000,5.0000,1.0000,4.0000
Las Heras,21,null,4.0000,11.0000,6.0000
Congreso,10,38.0000,40.0000,23.0000,68.0000
AUBASA LP-BA,18,242.0000,110.0000,553.0000,326.0000
Boulevard,15,9.0000,4.0000,27.0000,22.0000
Pilar,14,16.0000,10.0000,28.0000,46.0000
Del Tejar,16,30.0000,4.0000,88.0000,31.0000
Quilmes,17,25.0000,21.0000,132.0000,74.0000
Parque Sarmiento,5,8.0000,null,4.0000,3.0000
Trelles,13,10.0000,7.0000,70.0000,45.0000
Congreso,7,28.0000,52.0000,22.0000,56.0000
Laferrere,5,6.0000,4.0000,14.0000,3.0000
Alsina,15,15.0000,6.0000,47.0000,34.0000
Zarate Brazo Largo,5,6.0000,null,null,7.0000
Florencio Varela,20,18.0000,1.0000,13.0000,10.0000
Ovidio Lagos,21,1.0000,2.0000,3.0000,9.0000
Congreso,5,3.0000,14.0000,6.0000,11.0000
Centenera,21,1.0000,null,6.0000,7.0000
Santa Rita,18,9.0000,13.0000,23.0000,105.0000
DISC Echeverria,14,null,null,null,null
Centenera,6,19.0000,4.0000,41.0000,9.0000
Los Incas,1,7.0000,null,null,null
Centenera,7,31.0000,9.0000,29.0000,5.0000
Alberdi,8,null,null,null,6.0000
Fisherton,3,null,2.0000,null,14.0000
Maschwitz,18,null,null,null,9.0000
Alsina,3,4.0000,2.0000,8.0000,31.0000
Disc Panamericana,19,null,2.0000,null,4.0000
Alberdi,15,null,null,null,3.0000
Maschwitz,8,null,null,null,8.0000
Cabildo,21,3.0000,2.0000,6.0000,null
Floresta,21,3.0000,3.0000,5.0000,10.0000
DISC Echeverria,8,null,null,null,13.0000
Anchorena,0,null,null,null,null
Anchorena,20,null,null,null,null
Maschwitz,22,null,null,null,null
Alberdi,5,null,null,null,3.0000
Disc Panamericana,14,null,1.0000,null,3.0000
Villa Allende,3,null,null,null,null
Disc Panamericana,3,null,2.0000,null,null
DISC Echeverria,6,null,null,null,null
Disc Panamericana,8,1.0000,3.0000,null,2.0000
Anchorena,17,null,null,null,null
DISC Caraffa,20,null,1.0000,10.0000,9.0000
Anchorena,16,null,null,null,null
Bulnes,0,null,null,null,null
Villa Allende,23,null,null,null,null
Cabildo,8,3.0000,4.0000,4.0000,1.0000
Libertador,9,80.0000,62.0000,183.0000,77.0000
Gral Paz Provincia,20,27.0000,20.0000,104.0000,74.0000
Florencio Varela,14,27.0000,4.0000,37.0000,34.0000
Luis Viale,17,29.0000,9.0000,97.0000,42.0000
Amanecer,1,3.0000,3.0000,null,15.0000
Boulevard,20,4.0000,2.0000,7.0000,14.0000
Libertador,3,2.0000,5.0000,4.0000,6.0000
Alsina,20,3.0000,5.0000,29.0000,11.0000
Las Heras,11,11.0000,14.0000,6.0000,15.0000
Libertador,23,8.0000,6.0000,9.0000,10.0000
El Arco,15,5.0000,3.0000,15.0000,19.0000
Emilio Castro,23,1.0000,null,4.0000,3.0000
DISC Echeverria,1,null,null,null,1.0000
Bonpland,0,10.0000,15.0000,16.0000,19.0000
Florencio Varela,12,9.0000,17.0000,32.0000,43.0000
Alvear,5,17.0000,16.0000,81.0000,50.0000
Garay,8,31.0000,34.0000,64.0000,80.0000
Florencio Varela,8,116.0000,51.0000,113.0000,50.0000
Gral Paz Provincia,5,35.0000,36.0000,93.0000,49.0000
Ovidio Lagos,4,2.0000,1.0000,1.0000,4.0000
Ovidio Lagos,18,2.0000,12.0000,16.0000,51.0000
Laferrere,12,10.0000,12.0000,50.0000,15.0000
Villa Luro,1,3.0000,3.0000,9.0000,10.0000
Florencio Varela,10,38.0000,13.0000,96.0000,46.0000
El Club,21,15.0000,9.0000,64.0000,34.0000
Pilar,18,36.0000,40.0000,45.0000,92.0000
America,22,3.0000,2.0000,null,16.0000
DISC Echeverria,3,null,null,null,null
Arroyo Seco,16,161.0000,238.0000,183.0000,395.0000
Luis Viale,16,21.0000,11.0000,69.0000,27.0000
Emilio Castro,10,21.0000,17.0000,57.0000,9.0000
El Club,2,5.0000,7.0000,16.0000,23.0000
Trelles,12,11.0000,5.0000,59.0000,15.0000
Pilar,8,89.0000,35.0000,97.0000,108.0000
Gral Paz Capital,11,112.0000,68.0000,null,352.0000
El Club,9,125.0000,64.0000,599.0000,179.0000
Arroyo Seco,0,94.0000,87.0000,60.0000,31.0000
Gral Paz Provincia,8,291.0000,153.0000,511.0000,263.0000
Trelles,16,6.0000,7.0000,36.0000,17.0000
Garay,5,4.0000,18.0000,5.0000,21.0000
Maschwitz,21,null,null,null,null
Zarate Brazo Largo,4,3.0000,null,null,2.0000
Laferrere,15,9.0000,5.0000,44.0000,14.0000
El Club,11,59.0000,42.0000,167.0000,134.0000
Garay,11,23.0000,21.0000,72.0000,58.0000
Congreso,17,14.0000,32.0000,32.0000,85.0000
Buen Ayre,23,6.0000,10.0000,15.0000,17.0000
San Isidro,0,11.0000,8.0000,17.0000,27.0000
El Club,10,111.0000,46.0000,426.0000,159.0000
Libertador,2,6.0000,6.0000,15.0000,8.0000
Los Incas,15,6.0000,1.0000,null,null
Ovidio Lagos,11,4.0000,9.0000,8.0000,32.0000
Las Heras,16,9.0000,8.0000,8.0000,8.0000
Florencio Varela,1,null,5.0000,4.0000,14.0000
Buen Ayre,8,263.0000,62.0000,512.0000,172.0000
Del Tejar,9,92.0000,15.0000,186.0000,39.0000
Lima,21,72.0000,126.0000,56.0000,173.0000
Parque Sarmiento,11,38.0000,12.0000,63.0000,60.0000
