estacion,hora,q_cafes_llevar_algo_leche_sinbakery_sandwiches,q_cafes_llevar_algo_otros_sinbakery_sandwiches,q_cafes_local_algo_leche_sinbakery_sandwiches,q_cafes_local_algo_otros_sinbakery_sandwiches
Bonpland,22,23.0000,5.0000,29.0000,19.0000
Gral Paz Capital,7,152.0000,111.0000,null,330.0000
Laferrere,10,33.0000,24.0000,95.0000,29.0000
America,15,6.0000,12.0000,null,56.0000
Floresta,2,8.0000,5.0000,3.0000,7.0000
Alberdi,13,null,null,null,3.0000
Gral Paz Capital,17,120.0000,54.0000,null,377.0000
Lima,7,98.0000,93.0000,87.0000,67.0000
Emilio Castro,13,7.0000,8.0000,43.0000,19.0000
Arroyo Seco,21,134.0000,139.0000,99.0000,145.0000
Olivos,13,21.0000,2.0000,71.0000,30.0000
Floresta,13,8.0000,10.0000,27.0000,21.0000
Maschwitz,12,null,null,null,4.0000
San Isidro,17,23.0000,64.0000,91.0000,264.0000
Dialogos,2,1.0000,null,2.0000,null
Zarate Brazo Largo,11,26.0000,4.0000,2.0000,37.0000
Alvear,1,11.0000,8.0000,33.0000,47.0000
AUBASA BA-LP,21,19.0000,46.0000,51.0000,92.0000
Del Tejar,18,37.0000,21.0000,82.0000,60.0000
La Carmela,14,6.0000,14.0000,11.0000,19.0000
Del Tejar,20,9.0000,3.0000,19.0000,25.0000
Santa Rita,17,null,36.0000,15.0000,108.0000
America,19,6.0000,13.0000,null,78.0000
Santa Fe,16,1.0000,1.0000,1.0000,5.0000
Ovidio Lagos,0,null,1.0000,5.0000,6.0000
Luis Viale,12,8.0000,29.0000,75.0000,32.0000
Buen Ayre,7,167.0000,52.0000,255.0000,110.0000
Fisherton,13,8.0000,15.0000,null,150.0000
Alvear,0,12.0000,14.0000,34.0000,46.0000
Amanecer,13,18.0000,12.0000,null,58.0000
Alberdi,1,null,null,null,2.0000
Trelles,4,8.0000,2.0000,15.0000,4.0000
La Bandera,19,5.0000,3.0000,20.0000,40.0000
Alsina,6,13.0000,10.0000,29.0000,33.0000
Emilio Castro,8,32.0000,12.0000,70.0000,9.0000
Laferrere,4,3.0000,8.0000,9.0000,9.0000
Parque Sarmiento,3,27.0000,2.0000,null,5.0000
Santa Rita,7,1.0000,13.0000,15.0000,50.0000
Luis Viale,20,8.0000,8.0000,43.0000,25.0000
Santa Rita,21,1.0000,12.0000,5.0000,14.0000
La Carmela,22,2.0000,3.0000,6.0000,5.0000
DISC Caraffa,10,null,3.0000,27.0000,10.0000
Zarate,2,9.0000,3.0000,2.0000,1.0000
Maschwitz,0,null,null,null,null
Emilio Castro,6,15.0000,5.0000,27.0000,2.0000
America,9,30.0000,28.0000,null,119.0000
DISC Echeverria,11,null,null,null,5.0000
Los Incas,10,28.0000,4.0000,null,null
Alberdi,9,null,null,null,2.0000
AUBASA BA-LP,2,16.0000,21.0000,29.0000,71.0000
Centenera,10,24.0000,1.0000,71.0000,49.0000
Amanecer,2,6.0000,7.0000,null,6.0000
Centenera,19,6.0000,5.0000,20.0000,15.0000
Zarate Brazo Largo,6,24.0000,5.0000,2.0000,13.0000
Zarate,23,2.0000,2.0000,2.0000,2.0000
Emilio Castro,1,2.0000,6.0000,5.0000,3.0000
Santa Rita,2,null,8.0000,3.0000,8.0000
Boulevard,7,5.0000,3.0000,7.0000,10.0000
Cabildo,19,5.0000,3.0000,3.0000,1.0000
Maschwitz,4,null,null,null,2.0000
Disc Panamericana,2,null,null,null,null
Disc Panamericana,7,1.0000,8.0000,null,6.0000
La Carmela,3,8.0000,8.0000,11.0000,9.0000
Disc Panamericana,21,null,null,null,null
Anchorena,3,null,null,null,null
Zarate,5,null,null,null,null
Gutierrez,3,1.0000,null,8.0000,5.0000
Alberdi,21,null,null,null,3.0000
Centenera,4,5.0000,1.0000,2.0000,3.0000
Disc Panamericana,16,null,2.0000,null,6.0000
Alberdi,2,null,null,null,2.0000
Bulnes,4,null,null,null,null
Bulnes,6,null,null,2.0000,null
Anchorena,10,null,null,null,null
AUBASA LP-BA,16,100.0000,75.0000,414.0000,274.0000
Congreso,8,39.0000,59.0000,35.0000,64.0000
El Club,15,36.0000,23.0000,186.0000,136.0000
Alvear,9,77.0000,28.0000,290.0000,102.0000
Luis Viale,23,7.0000,5.0000,5.0000,15.0000
Buen Ayre,16,60.0000,32.0000,208.0000,114.0000
Pilar,6,42.0000,18.0000,23.0000,38.0000
Bonpland,17,49.0000,27.0000,250.0000,89.0000
Disc Panamericana,13,null,null,null,3.0000
La Carmela,10,33.0000,12.0000,52.0000,37.0000
Emilio Castro,14,9.0000,16.0000,16.0000,7.0000
Centenera,16,15.0000,5.0000,29.0000,20.0000
Emilio Castro,7,23.0000,6.0000,37.0000,6.0000
Buen Ayre,10,187.0000,57.0000,372.0000,172.0000
La Bandera,17,7.0000,4.0000,44.0000,41.0000
Villa Luro,6,26.0000,29.0000,103.0000,36.0000
Zarate Brazo Largo,22,23.0000,8.0000,null,19.0000
Las Heras,9,15.0000,18.0000,18.0000,12.0000
AUBASA LP-BA,1,21.0000,20.0000,21.0000,36.0000
Gral Paz Provincia,21,18.0000,17.0000,41.0000,32.0000
San Isidro,21,4.0000,10.0000,8.0000,25.0000
Luis Viale,0,3.0000,5.0000,8.0000,22.0000
Los Incas,11,11.0000,2.0000,null,null
Congreso,11,31.0000,36.0000,27.0000,39.0000
DISC Caraffa,12,null,null,13.0000,10.0000
Alsina,22,4.0000,5.0000,6.0000,13.0000
Trelles,19,12.0000,12.0000,27.0000,15.0000
Quilmes,11,48.0000,17.0000,131.0000,54.0000
Congreso,16,16.0000,28.0000,33.0000,68.0000
Villa Allende,14,3.0000,null,24.0000,20.0000
Del Tejar,22,1.0000,1.0000,6.0000,4.0000
Boulevard,13,10.0000,11.0000,36.0000,43.0000
San Isidro,16,15.0000,39.0000,61.0000,202.0000
Las Heras,4,2.0000,3.0000,9.0000,2.0000
Del Tejar,19,30.0000,12.0000,50.0000,30.0000
Villa Luro,10,106.0000,94.0000,295.0000,129.0000
Alvear,22,5.0000,12.0000,47.0000,45.0000
La Carmela,8,53.0000,21.0000,85.0000,49.0000
Alsina,0,6.0000,4.0000,10.0000,29.0000
Cabildo,12,8.0000,1.0000,13.0000,4.0000
Parque Sarmiento,6,36.0000,23.0000,49.0000,25.0000
Quilmes,21,3.0000,4.0000,13.0000,13.0000
Fisherton,15,3.0000,13.0000,null,178.0000
America,11,23.0000,14.0000,null,89.0000
La Bandera,12,9.0000,5.0000,52.0000,31.0000
Dialogos,9,53.0000,31.0000,139.0000,38.0000
Quilmes,18,43.0000,23.0000,129.0000,69.0000
Buen Ayre,19,55.0000,21.0000,154.0000,122.0000
Floresta,6,9.0000,14.0000,20.0000,15.0000
Gral Paz Capital,12,73.0000,46.0000,null,257.0000
Floresta,18,6.0000,12.0000,19.0000,24.0000
La Bandera,16,4.0000,null,25.0000,24.0000
La Carmela,18,26.0000,10.0000,35.0000,31.0000
Laferrere,21,4.0000,null,17.0000,7.0000
Cabildo,4,2.0000,null,null,null
Olivos,17,34.0000,7.0000,107.0000,81.0000
Maipu,15,7.0000,3.0000,20.0000,24.0000
Floresta,20,1.0000,8.0000,48.0000,38.0000
Gral Paz Capital,20,47.0000,34.0000,null,136.0000
Bulnes,12,6.0000,2.0000,25.0000,18.0000
Centenera,15,3.0000,1.0000,19.0000,16.0000
Maipu,5,17.0000,4.0000,6.0000,12.0000
Luis Viale,2,4.0000,5.0000,8.0000,18.0000
Luis Viale,13,8.0000,21.0000,73.0000,40.0000
Fisherton,8,20.0000,18.0000,null,87.0000
Pilar,4,9.0000,10.0000,45.0000,5.0000
DISC Caraffa,14,null,1.0000,8.0000,18.0000
Lima,1,58.0000,124.0000,64.0000,103.0000
Trelles,18,14.0000,10.0000,39.0000,19.0000
Luis Viale,5,5.0000,6.0000,17.0000,15.0000
Garay,12,27.0000,12.0000,54.0000,74.0000
Amanecer,6,15.0000,7.0000,null,54.0000
El Arco,21,4.0000,8.0000,13.0000,16.0000
Bonpland,6,49.0000,18.0000,215.0000,65.0000
Gutierrez,11,10.0000,16.0000,40.0000,32.0000
Garay,0,4.0000,10.0000,4.0000,9.0000
America,5,4.0000,12.0000,null,30.0000
Quilmes,3,8.0000,5.0000,14.0000,9.0000
Garay,1,6.0000,8.0000,5.0000,21.0000
Garay,7,36.0000,33.0000,36.0000,47.0000
Villa Luro,2,4.0000,6.0000,10.0000,4.0000
