estacion,hora,dia_semana,q_cafes_llevar_algo,q_cafes_local_algo,q_cafes_llevar_algo_leche,q_cafes_llevar_algo_otros,q_cafes_local_algo_leche,q_cafes_local_algo_otros
Dialogos,20,4,19.0000,42.0000,12.0000,7.0000,30.0000,12.0000
Zarate Brazo Largo,6,5,224.0000,195.0000,129.0000,95.0000,105.0000,90.0000
Zarate,15,6,26.0000,31.0000,10.0000,16.0000,8.0000,23.0000
Santa Rita,19,6,36.0000,127.0000,18.0000,18.0000,46.0000,81.0000
Centenera,5,7,50.0000,23.0000,23.0000,27.0000,13.0000,10.0000
La Bandera,10,7,103.0000,438.0000,44.0000,59.0000,165.0000,273.0000
America,17,7,34.0000,215.0000,17.0000,17.0000,50.0000,165.0000
AUBASA BA-LP,10,1,654.0000,937.0000,336.0000,318.0000,385.0000,552.0000
Arroyo Seco,14,1,700.0000,710.0000,345.0000,355.0000,229.0000,481.0000
America,18,1,25.0000,181.0000,13.0000,12.0000,50.0000,131.0000
Gutierrez,18,1,73.0000,199.0000,35.0000,38.0000,86.0000,113.0000
Villa Luro,22,1,20.0000,86.0000,9.0000,11.0000,20.0000,66.0000
Santa Rita,23,1,5.0000,26.0000,5.0000,,15.0000,11.0000
America,9,2,95.0000,339.0000,46.0000,49.0000,100.0000,239.0000
Congreso,14,2,37.0000,119.0000,10.0000,27.0000,21.0000,98.0000
Emilio Castro,8,3,212.0000,162.0000,115.0000,97.0000,48.0000,114.0000
Del Tejar,13,3,33.0000,127.0000,23.0000,10.0000,53.0000,74.0000
Zarate,18,3,39.0000,30.0000,26.0000,13.0000,14.0000,16.0000
Alvear,18,3,128.0000,548.0000,45.0000,83.0000,189.0000,359.0000
Congreso,5,4,69.0000,28.0000,35.0000,34.0000,7.0000,21.0000
Emilio Castro,23,6,17.0000,15.0000,15.0000,2.0000,7.0000,8.0000
Alsina,5,7,55.0000,86.0000,37.0000,18.0000,39.0000,47.0000
Santa Rita,16,7,57.0000,116.0000,29.0000,28.0000,27.0000,89.0000
Zarate Brazo Largo,22,1,46.0000,28.0000,23.0000,23.0000,12.0000,16.0000
Zarate Brazo Largo,8,2,305.0000,402.0000,171.0000,134.0000,191.0000,211.0000
Gral Paz Provincia,8,2,534.0000,718.0000,308.0000,226.0000,327.0000,391.0000
Santa Fe,7,3,95.0000,40.0000,34.0000,61.0000,14.0000,26.0000
Pilar,21,3,12.0000,29.0000,9.0000,3.0000,16.0000,13.0000
Trelles,16,4,41.0000,107.0000,19.0000,22.0000,28.0000,79.0000
Rivadavia,16,5,2.0000,,,2.0000,,
Las Heras,14,7,34.0000,80.0000,15.0000,19.0000,22.0000,58.0000
Cabildo,22,7,10.0000,7.0000,1.0000,9.0000,1.0000,6.0000
Maipu,12,3,29.0000,126.0000,26.0000,3.0000,31.0000,95.0000
Amanecer,22,4,11.0000,62.0000,1.0000,10.0000,12.0000,50.0000
Floresta,11,5,55.0000,148.0000,9.0000,46.0000,62.0000,86.0000
Gutierrez,9,7,191.0000,280.0000,111.0000,80.0000,120.0000,160.0000
Gral Paz Capital,14,1,89.0000,117.0000,30.0000,59.0000,38.0000,79.0000
Olivos,19,1,32.0000,109.0000,25.0000,7.0000,50.0000,59.0000
Los Incas,22,3,6.0000,1.0000,2.0000,4.0000,,1.0000
San Isidro,23,5,5.0000,54.0000,4.0000,1.0000,5.0000,49.0000
Maschwitz,3,7,5.0000,,2.0000,3.0000,,
Centenera,5,6,37.0000,20.0000,23.0000,14.0000,8.0000,12.0000
Alberdi,3,1,13.0000,,7.0000,6.0000,,
Alvear,5,4,110.0000,257.0000,62.0000,48.0000,100.0000,157.0000
Villa Luro,0,4,32.0000,89.0000,10.0000,22.0000,24.0000,65.0000
Cabildo,1,5,3.0000,15.0000,1.0000,2.0000,4.0000,11.0000
Mitre,1,4,,,,,,
Santa Fe,21,4,1.0000,1.0000,,1.0000,1.0000,
Florencio Varela,21,4,15.0000,37.0000,3.0000,12.0000,15.0000,22.0000
Quilmes,0,5,9.0000,33.0000,1.0000,8.0000,10.0000,23.0000
Zarate,9,5,173.0000,94.0000,95.0000,78.0000,44.0000,50.0000
Arroyo Seco,10,5,1297.0000,1896.0000,728.0000,569.0000,850.0000,1046.0000
Amanecer,11,5,125.0000,196.0000,57.0000,68.0000,55.0000,141.0000
Santa Rita,14,5,24.0000,136.0000,9.0000,15.0000,42.0000,94.0000
Santa Fe,17,5,18.0000,23.0000,7.0000,11.0000,4.0000,19.0000
Bulnes,22,5,,,,,,
Maschwitz,4,6,13.0000,,5.0000,8.0000,,
Gral Paz Provincia,8,6,653.0000,858.0000,410.0000,243.0000,350.0000,508.0000
Trelles,11,6,53.0000,131.0000,22.0000,31.0000,36.0000,95.0000
Maipu,21,6,21.0000,35.0000,18.0000,3.0000,13.0000,22.0000
Dialogos,10,7,103.0000,190.0000,72.0000,31.0000,95.0000,95.0000
Las Heras,15,7,25.0000,70.0000,12.0000,13.0000,14.0000,56.0000
Maipu,2,1,33.0000,74.0000,31.0000,2.0000,15.0000,59.0000
Garay,5,1,41.0000,92.0000,16.0000,25.0000,30.0000,62.0000
Floresta,7,1,56.0000,135.0000,18.0000,38.0000,50.0000,85.0000
Gutierrez,14,1,21.0000,61.0000,6.0000,15.0000,26.0000,35.0000
Gutierrez,17,1,73.0000,144.0000,26.0000,47.0000,63.0000,81.0000
AUBASA LP-BA,2,2,94.0000,35.0000,31.0000,63.0000,12.0000,23.0000
Arroyo Seco,12,2,482.0000,768.0000,248.0000,234.0000,298.0000,470.0000
Boulevard,17,2,45.0000,278.0000,13.0000,32.0000,74.0000,204.0000
Santa Fe,10,3,58.0000,63.0000,26.0000,32.0000,20.0000,43.0000
Zarate,11,3,47.0000,95.0000,27.0000,20.0000,17.0000,78.0000
Luis Viale,12,3,25.0000,148.0000,10.0000,15.0000,30.0000,118.0000
Lima,8,4,1250.0000,1532.0000,677.0000,573.0000,780.0000,752.0000
Ovidio Lagos,7,6,66.0000,289.0000,26.0000,40.0000,135.0000,154.0000
Zarate,0,7,25.0000,9.0000,16.0000,9.0000,1.0000,8.0000
Fisherton,15,7,23.0000,187.0000,7.0000,16.0000,1.0000,186.0000
Garay,7,1,70.0000,149.0000,40.0000,30.0000,53.0000,96.0000
Bonpland,8,1,81.0000,245.0000,38.0000,43.0000,85.0000,160.0000
Congreso,22,1,40.0000,32.0000,16.0000,24.0000,8.0000,24.0000
Olivos,22,1,7.0000,25.0000,7.0000,,4.0000,21.0000
Laferrere,12,2,11.0000,48.0000,8.0000,3.0000,17.0000,31.0000
Maipu,15,3,28.0000,125.0000,26.0000,2.0000,28.0000,97.0000
Lima,20,3,247.0000,274.0000,101.0000,146.0000,98.0000,176.0000
Quilmes,22,3,5.0000,27.0000,3.0000,2.0000,10.0000,17.0000
AUBASA BA-LP,2,4,57.0000,59.0000,24.0000,33.0000,20.0000,39.0000
Anchorena,13,4,,,,,,
Bonpland,15,4,48.0000,246.0000,21.0000,27.0000,51.0000,195.0000
La Carmela,5,5,111.0000,124.0000,72.0000,39.0000,60.0000,64.0000
Pilar,7,5,224.0000,190.0000,183.0000,41.0000,98.0000,92.0000
Laferrere,15,5,18.0000,49.0000,8.0000,10.0000,18.0000,31.0000
Villa Allende,8,6,203.0000,455.0000,23.0000,180.0000,100.0000,355.0000
Anchorena,15,2,,,,,,
Bonpland,23,2,25.0000,56.0000,8.0000,17.0000,19.0000,37.0000
Garay,1,4,16.0000,25.0000,9.0000,7.0000,5.0000,20.0000
America,5,6,61.0000,66.0000,38.0000,23.0000,10.0000,56.0000
Bonpland,4,7,48.0000,169.0000,33.0000,15.0000,68.0000,101.0000
Fisherton,3,3,36.0000,14.0000,25.0000,11.0000,6.0000,8.0000
CORS Alem,16,6,139.0000,,72.0000,67.0000,,
Emilio Castro,1,3,19.0000,12.0000,12.0000,7.0000,6.0000,6.0000
Santa Rita,23,4,16.0000,21.0000,14.0000,2.0000,11.0000,10.0000
Gutierrez,3,5,22.0000,23.0000,5.0000,17.0000,14.0000,9.0000
Quilmes,3,6,16.0000,32.0000,6.0000,10.0000,9.0000,23.0000
Bulnes,2,4,,,,,,
Olivos,6,7,88.0000,66.0000,56.0000,32.0000,29.0000,37.0000
Olivos,4,2,35.0000,10.0000,35.0000,,7.0000,3.0000
Bulnes,4,5,,,,,,
Villa Luro,6,5,144.0000,277.0000,95.0000,49.0000,109.0000,168.0000
Zarate Brazo Largo,22,5,51.0000,19.0000,18.0000,33.0000,6.0000,13.0000
Pilar,20,6,21.0000,57.0000,15.0000,6.0000,27.0000,30.0000
Maipu,0,7,44.0000,34.0000,44.0000,,3.0000,31.0000
Maschwitz,13,7,15.0000,,8.0000,7.0000,,
Maschwitz,7,1,48.0000,1.0000,29.0000,19.0000,,1.0000
Floresta,0,2,13.0000,30.0000,3.0000,10.0000,5.0000,25.0000
Maschwitz,21,2,8.0000,,4.0000,4.0000,,
Santa Fe,22,2,,,,,,
Garay,12,3,61.0000,191.0000,28.0000,33.0000,58.0000,133.0000
Alsina,15,3,42.0000,151.0000,14.0000,28.0000,34.0000,117.0000
Ovidio Lagos,16,3,11.0000,194.0000,1.0000,10.0000,21.0000,173.0000
San Isidro,22,3,11.0000,53.0000,10.0000,1.0000,11.0000,42.0000
Emilio Castro,5,4,73.0000,104.0000,58.0000,15.0000,41.0000,63.0000
Alsina,21,4,25.0000,35.0000,13.0000,12.0000,4.0000,31.0000
Alvear,13,5,57.0000,306.0000,21.0000,36.0000,97.0000,209.0000
Dialogos,13,5,16.0000,79.0000,10.0000,6.0000,46.0000,33.0000
Bulnes,3,6,,,,,,
Laferrere,1,2,15.0000,49.0000,3.0000,12.0000,30.0000,19.0000
Congreso,11,3,97.0000,181.0000,43.0000,54.0000,43.0000,138.0000
Emilio Castro,23,3,31.0000,11.0000,20.0000,11.0000,2.0000,9.0000
La Bandera,8,4,113.0000,467.0000,54.0000,59.0000,177.0000,290.0000
Santa Rita,21,4,16.0000,38.0000,5.0000,11.0000,16.0000,22.0000
Alsina,12,5,41.0000,166.0000,20.0000,21.0000,59.0000,107.0000
AUBASA BA-LP,5,7,276.0000,182.0000,141.0000,135.0000,96.0000,86.0000
Santa Rita,3,2,7.0000,40.0000,5.0000,2.0000,30.0000,10.0000
Maipu,0,3,24.0000,26.0000,21.0000,3.0000,15.0000,11.0000
Santa Rita,15,3,54.0000,188.0000,24.0000,30.0000,36.0000,152.0000
Olivos,23,3,12.0000,37.0000,10.0000,2.0000,9.0000,28.0000
Villa Allende,6,5,77.0000,111.0000,6.0000,71.0000,27.0000,84.0000
Anchorena,5,6,,,,,,
San Isidro,2,7,30.0000,49.0000,10.0000,20.0000,9.0000,40.0000
La Bandera,16,2,19.0000,305.0000,4.0000,15.0000,65.0000,240.0000
Los Incas,17,1,34.0000,1.0000,15.0000,19.0000,,1.0000
Bulnes,1,6,,,,,,
Gutierrez,8,4,256.0000,275.0000,134.0000,122.0000,99.0000,176.0000
Pilar,15,4,39.0000,130.0000,38.0000,1.0000,54.0000,76.0000
El Club,21,4,25.0000,102.0000,10.0000,15.0000,34.0000,68.0000
America,21,4,12.0000,47.0000,7.0000,5.0000,15.0000,32.0000
Lima,9,6,1145.0000,1709.0000,602.0000,543.0000,794.0000,915.0000
Villa Luro,12,6,71.0000,221.0000,38.0000,33.0000,78.0000,143.0000
Rosario Sur,23,6,2.0000,,,2.0000,,
Bonpland,11,1,81.0000,238.0000,38.0000,43.0000,82.0000,156.0000
Quilmes,17,1,42.0000,110.0000,9.0000,33.0000,29.0000,81.0000
Lima,23,1,347.0000,198.0000,128.0000,219.0000,86.0000,112.0000
Maipu,8,2,42.0000,132.0000,42.0000,,42.0000,90.0000
Maschwitz,10,2,40.0000,,26.0000,14.0000,,
Congreso,10,2,113.0000,279.0000,64.0000,49.0000,69.0000,210.0000
Maschwitz,15,2,14.0000,,7.0000,7.0000,,
Buen Ayre,18,2,421.0000,883.0000,195.0000,226.0000,371.0000,512.0000
Pilar,19,2,30.0000,76.0000,28.0000,2.0000,42.0000,34.0000
Garay,20,2,25.0000,102.0000,13.0000,12.0000,38.0000,64.0000
San Isidro,12,3,68.0000,241.0000,21.0000,47.0000,59.0000,182.0000
Santa Fe,17,3,33.0000,37.0000,8.0000,25.0000,15.0000,22.0000
Alsina,18,3,43.0000,120.0000,25.0000,18.0000,27.0000,93.0000
Alberdi,23,3,5.0000,,4.0000,1.0000,,
Lima,14,4,352.0000,405.0000,112.0000,240.0000,99.0000,306.0000
Parque Sarmiento,15,4,33.0000,183.0000,18.0000,15.0000,41.0000,142.0000
Amanecer,23,4,12.0000,75.0000,5.0000,7.0000,18.0000,57.0000
Los Incas,9,5,116.0000,11.0000,66.0000,50.0000,,11.0000
Zarate,19,5,23.0000,26.0000,11.0000,12.0000,15.0000,11.0000
El Club,3,6,19.0000,29.0000,9.0000,10.0000,6.0000,23.0000
Maipu,2,7,19.0000,41.0000,16.0000,3.0000,7.0000,34.0000
Alvear,6,7,165.0000,357.0000,94.0000,71.0000,138.0000,219.0000
Arroyo Seco,9,7,1805.0000,3041.0000,1071.0000,734.0000,1684.0000,1357.0000
Zarate,10,7,115.0000,65.0000,58.0000,57.0000,27.0000,38.0000
Pilar,13,7,28.0000,55.0000,11.0000,17.0000,26.0000,29.0000
Santa Fe,15,1,13.0000,4.0000,4.0000,9.0000,1.0000,3.0000
Arroyo Seco,11,2,823.0000,1223.0000,436.0000,387.0000,547.0000,676.0000
AUBASA LP-BA,17,2,380.0000,571.0000,165.0000,215.0000,172.0000,399.0000
Alsina,11,4,77.0000,181.0000,44.0000,33.0000,66.0000,115.0000
Santa Rita,0,6,18.0000,31.0000,16.0000,2.0000,7.0000,24.0000
San Isidro,17,6,67.0000,367.0000,33.0000,34.0000,137.0000,230.0000
Ovidio Lagos,1,7,18.0000,50.0000,,18.0000,,50.0000
Ovidio Lagos,15,2,5.0000,137.0000,,5.0000,16.0000,121.0000
Luis Viale,18,5,100.0000,267.0000,22.0000,78.0000,57.0000,210.0000
Anchorena,1,7,,,,,,
El Arco,6,7,142.0000,133.0000,75.0000,67.0000,64.0000,69.0000
Ovidio Lagos,7,7,53.0000,226.0000,18.0000,35.0000,106.0000,120.0000
Alsina,8,7,92.0000,134.0000,56.0000,36.0000,51.0000,83.0000
Ovidio Lagos,5,6,27.0000,51.0000,4.0000,23.0000,6.0000,45.0000
Boulevard,3,3,3.0000,3.0000,3.0000,,3.0000,
Bulnes,19,4,15.0000,125.0000,4.0000,11.0000,20.0000,105.0000
Rosario Sur,14,6,8.0000,,,8.0000,,
Bulnes,22,6,,,,,,
Luis Viale,8,1,47.0000,107.0000,25.0000,22.0000,38.0000,69.0000
Boulevard,0,3,3.0000,8.0000,2.0000,1.0000,4.0000,4.0000
Congreso,3,5,29.0000,10.0000,6.0000,23.0000,2.0000,8.0000
Alberdi,4,3,5.0000,,3.0000,2.0000,,
Congreso,3,2,27.0000,15.0000,10.0000,17.0000,1.0000,14.0000
Zarate Brazo Largo,14,4,50.0000,141.0000,18.0000,32.0000,37.0000,104.0000
Mitre,10,5,,,,,,
Bonpland,11,5,104.0000,480.0000,50.0000,54.0000,116.0000,364.0000
Fisherton,7,6,305.0000,574.0000,149.0000,156.0000,26.0000,548.0000
Alberdi,14,6,17.0000,,10.0000,7.0000,,
Pilar,18,6,62.0000,194.0000,40.0000,22.0000,75.0000,119.0000
Pilar,16,1,25.0000,73.0000,18.0000,7.0000,38.0000,35.0000
Quilmes,7,2,169.0000,397.0000,34.0000,135.0000,139.0000,258.0000
Centenera,14,3,20.0000,87.0000,13.0000,7.0000,33.0000,54.0000
Trelles,11,4,55.0000,128.0000,17.0000,38.0000,31.0000,97.0000
Buen Ayre,17,5,552.0000,956.0000,270.0000,282.0000,364.0000,592.0000
Quilmes,1,6,19.0000,27.0000,1.0000,18.0000,8.0000,19.0000
Garay,19,6,41.0000,180.0000,16.0000,25.0000,63.0000,117.0000
Gral Paz Capital,10,7,585.0000,748.0000,340.0000,245.0000,335.0000,413.0000
Florencio Varela,0,1,37.0000,99.0000,9.0000,28.0000,37.0000,62.0000
Gral Paz Provincia,15,1,82.0000,193.0000,39.0000,43.0000,53.0000,140.0000
Olivos,16,1,51.0000,131.0000,48.0000,3.0000,53.0000,78.0000
La Bandera,21,1,5.0000,37.0000,,5.0000,8.0000,29.0000
Zarate,3,2,25.0000,1.0000,16.0000,9.0000,1.0000,
Centenera,6,2,94.0000,89.0000,62.0000,32.0000,27.0000,62.0000
Del Tejar,6,7,105.0000,164.0000,72.0000,33.0000,56.0000,108.0000
Cabildo,22,5,6.0000,7.0000,2.0000,4.0000,,7.0000
La Bandera,1,4,2.0000,5.0000,,2.0000,3.0000,2.0000
Maschwitz,11,3,26.0000,,16.0000,10.0000,,
Trelles,15,1,11.0000,46.0000,3.0000,8.0000,16.0000,30.0000
Garay,2,2,20.0000,43.0000,9.0000,11.0000,13.0000,30.0000
Zarate Brazo Largo,2,3,13.0000,6.0000,3.0000,10.0000,3.0000,3.0000
OPERADOR LOGISTICO 2,17,2,,8677.0000,,,,8677.0000
Rivadavia,4,2,1.0000,,1.0000,,,
OPERADOR LOGISTICO 2,15,3,,3641.0000,,,,3641.0000
CORS EVENTOS,0,3,5.0000,,,5.0000,,
OPERADOR LOGISTICO,11,4,,1606.0000,,,,1606.0000
CORS EVENTOS,13,4,1.0000,,,1.0000,,
OPERADOR LOGISTICO,13,4,,,,,,
OPERADOR LOGISTICO 2,19,6,,3637.0000,,,,3637.0000
CORS EVENTOS,18,1,8.0000,,,8.0000,,
CORS EVENTOS,21,7,9.0000,,,9.0000,,
OPERADOR LOGISTICO 2,7,1,,9702.0000,,,,9702.0000
OPERADOR LOGISTICO 2,8,3,,8860.0000,,,,8860.0000
CORS EVENTOS,15,3,2.0000,,,2.0000,,
OPERADOR LOGISTICO,9,3,,70.0000,,,,70.0000
OPERADOR LOGISTICO 2,6,4,,,,,,
OPERADOR LOGISTICO,17,3,,2000.0000,,,,2000.0000
CORS EVENTOS,10,6,5.0000,,,5.0000,,
OPERADOR LOGISTICO 2,16,7,,,,,,
CASTROL MELI,19,6,,,,,,
Emilio Castro,22,4,15.0000,9.0000,11.0000,4.0000,2.0000,7.0000
Villa Luro,5,5,106.0000,187.0000,55.0000,51.0000,83.0000,104.0000
Gutierrez,16,5,65.0000,145.0000,22.0000,43.0000,59.0000,86.0000
Bulnes,18,5,24.0000,204.0000,11.0000,13.0000,37.0000,167.0000
Fisherton,21,5,4.0000,82.0000,2.0000,2.0000,,82.0000
Del Tejar,6,6,122.0000,258.0000,95.0000,27.0000,75.0000,183.0000
Santa Fe,19,6,27.0000,8.0000,9.0000,18.0000,,8.0000
Rosario Sur,22,6,2.0000,,,2.0000,,
Trelles,14,1,9.0000,20.0000,6.0000,3.0000,4.0000,16.0000
Zarate,18,1,49.0000,29.0000,33.0000,16.0000,10.0000,19.0000
El Arco,19,1,130.0000,342.0000,60.0000,70.0000,140.0000,202.0000
Emilio Castro,20,1,13.0000,21.0000,3.0000,10.0000,5.0000,16.0000
AUBASA BA-LP,1,2,120.0000,95.0000,38.0000,82.0000,29.0000,66.0000
Dialogos,9,2,81.0000,296.0000,58.0000,23.0000,167.0000,129.0000
San Isidro,14,2,54.0000,194.0000,25.0000,29.0000,46.0000,148.0000
AUBASA LP-BA,16,2,288.0000,424.0000,104.0000,184.0000,96.0000,328.0000
El Club,19,2,86.0000,380.0000,51.0000,35.0000,166.0000,214.0000
Laferrere,14,3,12.0000,43.0000,2.0000,10.0000,11.0000,32.0000
Alberdi,1,4,3.0000,,,3.0000,,
Centenera,5,4,32.0000,27.0000,12.0000,20.0000,11.0000,16.0000
Santa Rita,17,4,69.0000,210.0000,45.0000,24.0000,78.0000,132.0000
Zarate Brazo Largo,1,5,37.0000,14.0000,14.0000,23.0000,8.0000,6.0000
La Carmela,6,5,205.0000,193.0000,134.0000,71.0000,102.0000,91.0000
Fisherton,13,5,38.0000,238.0000,17.0000,21.0000,2.0000,236.0000
Dialogos,17,5,75.0000,185.0000,58.0000,17.0000,116.0000,69.0000
Lima,18,5,900.0000,946.0000,382.0000,518.0000,314.0000,632.0000
Luis Viale,12,6,37.0000,158.0000,23.0000,14.0000,42.0000,116.0000
Garay,16,6,90.0000,263.0000,36.0000,54.0000,62.0000,201.0000
Gral Paz Provincia,13,1,94.0000,105.0000,33.0000,61.0000,51.0000,54.0000
Bonpland,5,2,70.0000,156.0000,34.0000,36.0000,80.0000,76.0000
Garay,23,2,19.0000,85.0000,10.0000,9.0000,19.0000,66.0000
Alsina,1,3,15.0000,44.0000,13.0000,2.0000,17.0000,27.0000
La Carmela,0,5,21.0000,31.0000,8.0000,13.0000,15.0000,16.0000
Luis Viale,8,5,111.0000,188.0000,59.0000,52.0000,74.0000,114.0000
Centenera,15,5,33.0000,97.0000,19.0000,14.0000,11.0000,86.0000
Las Heras,13,7,31.0000,48.0000,15.0000,16.0000,28.0000,20.0000
Ovidio Lagos,16,7,23.0000,120.0000,3.0000,20.0000,12.0000,108.0000
Luis Viale,18,7,47.0000,121.0000,17.0000,30.0000,30.0000,91.0000
Santa Rita,11,2,48.0000,162.0000,16.0000,32.0000,66.0000,96.0000
Lima,11,2,626.0000,997.0000,280.0000,346.0000,357.0000,640.0000
Alberdi,8,3,42.0000,,24.0000,18.0000,,
Buen Ayre,19,3,269.0000,485.0000,122.0000,147.0000,201.0000,284.0000
Anchorena,12,2,,,,,,
Laferrere,15,2,6.0000,35.0000,1.0000,5.0000,3.0000,32.0000
Parque Sarmiento,18,3,59.0000,188.0000,26.0000,33.0000,57.0000,131.0000
Maipu,15,5,34.0000,135.0000,33.0000,1.0000,43.0000,92.0000
Anchorena,7,7,,,,,,
Florencio Varela,10,1,75.0000,201.0000,47.0000,28.0000,77.0000,124.0000
La Bandera,4,4,4.0000,7.0000,,4.0000,2.0000,5.0000
Del Tejar,2,5,12.0000,32.0000,8.0000,4.0000,18.0000,14.0000
Olivos,23,5,15.0000,19.0000,15.0000,,3.0000,16.0000
Santa Fe,10,2,67.0000,40.0000,28.0000,39.0000,16.0000,24.0000
Villa Luro,2,3,19.0000,43.0000,5.0000,14.0000,9.0000,34.0000
Zarate,6,3,150.0000,113.0000,73.0000,77.0000,67.0000,46.0000
El Club,5,5,75.0000,80.0000,37.0000,38.0000,35.0000,45.0000
CORS EVENTOS,20,4,18.0000,1.0000,,18.0000,,1.0000
Parque Sarmiento,4,4,13.0000,16.0000,9.0000,4.0000,7.0000,9.0000
Emilio Castro,0,5,35.0000,26.0000,29.0000,6.0000,4.0000,22.0000
Anchorena,17,1,,,,,,
El Club,2,4,11.0000,37.0000,4.0000,7.0000,11.0000,26.0000
Rivadavia,14,3,4.0000,,3.0000,1.0000,,
Los Incas,1,2,2.0000,,2.0000,,,
Los Incas,2,4,7.0000,1.0000,2.0000,5.0000,,1.0000
Zarate Brazo Largo,3,3,28.0000,13.0000,11.0000,17.0000,3.0000,10.0000
Garay,22,4,17.0000,36.0000,7.0000,10.0000,9.0000,27.0000
Villa Allende,10,5,143.0000,469.0000,10.0000,133.0000,98.0000,371.0000
Arroyo Seco,15,5,741.0000,848.0000,345.0000,396.0000,241.0000,607.0000
Garay,10,6,104.0000,449.0000,54.0000,50.0000,148.0000,301.0000
La Carmela,12,6,32.0000,34.0000,15.0000,17.0000,11.0000,23.0000
AUBASA BA-LP,22,6,83.0000,119.0000,38.0000,45.0000,29.0000,90.0000
Pilar,12,7,41.0000,121.0000,22.0000,19.0000,44.0000,77.0000
Boulevard,12,1,61.0000,154.0000,31.0000,30.0000,42.0000,112.0000
Santa Fe,14,1,9.0000,4.0000,3.0000,6.0000,1.0000,3.0000
El Arco,15,1,25.0000,55.0000,10.0000,15.0000,8.0000,47.0000
Amanecer,9,2,173.0000,327.0000,92.0000,81.0000,110.0000,217.0000
Santa Fe,9,3,104.0000,84.0000,47.0000,57.0000,17.0000,67.0000
Floresta,19,3,43.0000,69.0000,11.0000,32.0000,26.0000,43.0000
Rivadavia,12,4,2.0000,,1.0000,1.0000,,
Alvear,12,4,74.0000,363.0000,28.0000,46.0000,105.0000,258.0000
Laferrere,22,4,14.0000,16.0000,9.0000,5.0000,5.0000,11.0000
Zarate Brazo Largo,13,5,85.0000,95.0000,31.0000,54.0000,33.0000,62.0000
Trelles,20,6,40.0000,40.0000,22.0000,18.0000,9.0000,31.0000
Villa Luro,0,7,51.0000,208.0000,22.0000,29.0000,65.0000,143.0000
Laferrere,11,7,35.0000,124.0000,11.0000,24.0000,54.0000,70.0000
Bulnes,19,7,12.0000,45.0000,1.0000,11.0000,5.0000,40.0000
America,12,1,37.0000,134.0000,14.0000,23.0000,29.0000,105.0000
Zarate,14,1,21.0000,7.0000,10.0000,11.0000,,7.0000
El Arco,23,2,11.0000,82.0000,5.0000,6.0000,15.0000,67.0000
Del Tejar,11,3,58.0000,267.0000,42.0000,16.0000,86.0000,181.0000
Garay,17,6,60.0000,311.0000,23.0000,37.0000,105.0000,206.0000
Rosario Sur,19,6,8.0000,,2.0000,6.0000,,
Rosario Sur,11,3,11.0000,,3.0000,8.0000,,
Alberdi,12,7,8.0000,,2.0000,6.0000,,
Olivos,23,4,10.0000,32.0000,7.0000,3.0000,16.0000,16.0000
Amanecer,17,1,41.0000,104.0000,13.0000,28.0000,42.0000,62.0000
Garay,22,1,17.0000,34.0000,3.0000,14.0000,11.0000,23.0000
Bonpland,3,7,34.0000,152.0000,15.0000,19.0000,56.0000,96.0000
Alsina,8,3,94.0000,209.0000,61.0000,33.0000,78.0000,131.0000
Floresta,5,6,48.0000,161.0000,8.0000,40.0000,67.0000,94.0000
Mitre,1,5,,,,,,
Rosario Sur,5,5,12.0000,,4.0000,8.0000,,
Mitre,5,3,,,,,,
Las Heras,22,4,6.0000,26.0000,3.0000,3.0000,10.0000,16.0000
Florencio Varela,0,5,15.0000,70.0000,,15.0000,33.0000,37.0000
Luis Viale,14,5,20.0000,166.0000,5.0000,15.0000,33.0000,133.0000
El Arco,14,5,17.0000,81.0000,6.0000,11.0000,13.0000,68.0000
Centenera,6,6,134.0000,119.0000,106.0000,28.0000,46.0000,73.0000
Villa Allende,7,6,182.0000,255.0000,17.0000,165.0000,79.0000,176.0000
Florencio Varela,15,6,37.0000,111.0000,22.0000,15.0000,51.0000,60.0000
Luis Viale,14,7,24.0000,119.0000,8.0000,16.0000,28.0000,91.0000
Laferrere,18,7,20.0000,92.0000,11.0000,9.0000,30.0000,62.0000
Alvear,10,1,227.0000,529.0000,128.0000,99.0000,195.0000,334.0000
AUBASA BA-LP,13,1,207.0000,184.0000,83.0000,124.0000,60.0000,124.0000
America,1,3,15.0000,32.0000,4.0000,11.0000,6.0000,26.0000
Floresta,17,3,42.0000,133.0000,20.0000,22.0000,42.0000,91.0000
Pilar,21,5,13.0000,22.0000,6.0000,7.0000,13.0000,9.0000
Zarate Brazo Largo,23,5,38.0000,19.0000,7.0000,31.0000,8.0000,11.0000
Mitre,23,6,,,,,,
Amanecer,4,7,36.0000,76.0000,7.0000,29.0000,34.0000,42.0000
Buen Ayre,10,7,791.0000,1493.0000,408.0000,383.0000,692.0000,801.0000
Cabildo,18,7,21.0000,25.0000,14.0000,7.0000,7.0000,18.0000
Santa Rita,19,7,37.0000,91.0000,16.0000,21.0000,32.0000,59.0000
Bulnes,8,1,18.0000,22.0000,9.0000,9.0000,3.0000,19.0000
Santa Rita,11,1,47.0000,101.0000,32.0000,15.0000,33.0000,68.0000
Boulevard,22,1,6.0000,7.0000,3.0000,3.0000,1.0000,6.0000
Amanecer,4,2,127.0000,20.0000,7.0000,120.0000,10.0000,10.0000
Luis Viale,20,2,20.0000,75.0000,13.0000,7.0000,17.0000,58.0000
