estacion,hora,dia_semana,q_cafes_llevar_algo,q_cafes_local_algo,q_cafes_llevar_algo_leche,q_cafes_llevar_algo_otros,q_cafes_local_algo_leche,q_cafes_local_algo_otros
Villa Allende,16,3,26.0000,228.0000,4.0000,22.0000,22.0000,206.0000
Congreso,3,4,32.0000,8.0000,9.0000,23.0000,1.0000,7.0000
Ovidio Lagos,21,4,6.0000,29.0000,1.0000,5.0000,1.0000,28.0000
La Bandera,12,6,24.0000,282.0000,9.0000,15.0000,55.0000,227.0000
Villa Luro,23,7,34.0000,113.0000,13.0000,21.0000,12.0000,101.0000
La Carmela,9,2,117.0000,132.0000,73.0000,44.0000,68.0000,64.0000
Zarate,9,2,159.0000,100.0000,94.0000,65.0000,59.0000,41.0000
Santa Fe,15,3,16.0000,18.0000,4.0000,12.0000,6.0000,12.0000
Laferrere,19,3,17.0000,78.0000,11.0000,6.0000,35.0000,43.0000
Arroyo Seco,1,4,204.0000,128.0000,106.0000,98.0000,65.0000,63.0000
Buen Ayre,15,4,265.0000,611.0000,96.0000,169.0000,165.0000,446.0000
La Carmela,1,5,19.0000,20.0000,8.0000,11.0000,8.0000,12.0000
Amanecer,7,1,104.0000,81.0000,49.0000,55.0000,36.0000,45.0000
Maschwitz,5,2,29.0000,1.0000,18.0000,11.0000,,1.0000
El Arco,16,4,29.0000,167.0000,15.0000,14.0000,31.0000,136.0000
El Arco,5,7,112.0000,108.0000,47.0000,65.0000,57.0000,51.0000
Villa Luro,13,1,41.0000,74.0000,15.0000,26.0000,24.0000,50.0000
Del Tejar,6,4,77.0000,254.0000,56.0000,21.0000,77.0000,177.0000
Ovidio Lagos,10,4,42.0000,419.0000,14.0000,28.0000,90.0000,329.0000
La Bandera,15,4,20.0000,251.0000,6.0000,14.0000,34.0000,217.0000
Anchorena,7,4,,,,,,
Floresta,3,7,18.0000,31.0000,5.0000,13.0000,8.0000,23.0000
San Isidro,20,1,36.0000,50.0000,11.0000,25.0000,10.0000,40.0000
Cabildo,6,6,33.0000,63.0000,18.0000,15.0000,28.0000,35.0000
Santa Rita,6,1,58.0000,82.0000,41.0000,17.0000,36.0000,46.0000
Dialogos,14,4,23.0000,65.0000,16.0000,7.0000,17.0000,48.0000
Laferrere,6,5,86.0000,96.0000,54.0000,32.0000,32.0000,64.0000
Florencio Varela,11,5,77.0000,307.0000,41.0000,36.0000,151.0000,156.0000
Parque Sarmiento,18,5,73.0000,251.0000,32.0000,41.0000,76.0000,175.0000
Santa Fe,23,5,,,,,,
Emilio Castro,6,6,167.0000,97.0000,83.0000,84.0000,44.0000,53.0000
Maipu,11,6,40.0000,175.0000,38.0000,2.0000,52.0000,123.0000
Arroyo Seco,21,6,262.0000,187.0000,145.0000,117.0000,90.0000,97.0000
Laferrere,22,6,11.0000,19.0000,2.0000,9.0000,2.0000,17.0000
Buen Ayre,9,7,998.0000,1377.0000,524.0000,474.0000,731.0000,646.0000
Lima,13,7,395.0000,413.0000,138.0000,257.0000,102.0000,311.0000
Fisherton,21,7,18.0000,65.0000,6.0000,12.0000,1.0000,64.0000
Alsina,4,1,32.0000,110.0000,26.0000,6.0000,50.0000,60.0000
Garay,9,1,89.0000,183.0000,45.0000,44.0000,73.0000,110.0000
Emilio Castro,12,1,25.0000,44.0000,17.0000,8.0000,10.0000,34.0000
Congreso,20,1,22.0000,64.0000,8.0000,14.0000,17.0000,47.0000
Garay,16,2,47.0000,252.0000,12.0000,35.0000,60.0000,192.0000
Maipu,1,3,13.0000,25.0000,12.0000,1.0000,3.0000,22.0000
Garay,16,3,68.0000,287.0000,21.0000,47.0000,75.0000,212.0000
Gral Paz Provincia,16,3,166.0000,410.0000,92.0000,74.0000,133.0000,277.0000
Gral Paz Capital,17,3,242.0000,397.0000,100.0000,142.0000,140.0000,257.0000
San Isidro,18,3,98.0000,350.0000,46.0000,52.0000,149.0000,201.0000
Floresta,15,4,29.0000,67.0000,12.0000,17.0000,20.0000,47.0000
Gutierrez,16,4,75.0000,199.0000,16.0000,59.0000,76.0000,123.0000
Santa Rita,19,4,32.0000,111.0000,16.0000,16.0000,33.0000,78.0000
Santa Rita,2,5,4.0000,30.0000,2.0000,2.0000,16.0000,14.0000
Rivadavia,11,5,5.0000,,1.0000,4.0000,,
Congreso,2,6,20.0000,16.0000,5.0000,15.0000,2.0000,14.0000
Rivadavia,11,6,2.0000,,2.0000,,,
Emilio Castro,14,6,31.0000,31.0000,7.0000,24.0000,1.0000,30.0000
Laferrere,20,1,19.0000,28.0000,6.0000,13.0000,15.0000,13.0000
Emilio Castro,7,2,192.0000,105.0000,123.0000,69.0000,33.0000,72.0000
Boulevard,16,2,36.0000,204.0000,15.0000,21.0000,60.0000,144.0000
Trelles,0,3,8.0000,32.0000,2.0000,6.0000,6.0000,26.0000
Florencio Varela,5,5,61.0000,19.0000,7.0000,54.0000,7.0000,12.0000
Garay,11,6,81.0000,353.0000,38.0000,43.0000,119.0000,234.0000
Las Heras,2,7,26.0000,35.0000,9.0000,17.0000,9.0000,26.0000
Zarate Brazo Largo,23,2,18.0000,18.0000,8.0000,10.0000,9.0000,9.0000
Boulevard,17,3,38.0000,271.0000,14.0000,24.0000,104.0000,167.0000
Pilar,18,3,58.0000,148.0000,49.0000,9.0000,71.0000,77.0000
La Carmela,15,5,33.0000,44.0000,17.0000,16.0000,7.0000,37.0000
Buen Ayre,17,1,305.0000,951.0000,130.0000,175.0000,336.0000,615.0000
Del Tejar,14,3,40.0000,136.0000,21.0000,19.0000,48.0000,88.0000
Anchorena,18,4,,,,,,
Buen Ayre,4,6,184.0000,88.0000,107.0000,77.0000,49.0000,39.0000
America,2,7,16.0000,55.0000,8.0000,8.0000,15.0000,40.0000
Floresta,4,4,17.0000,30.0000,5.0000,12.0000,8.0000,22.0000
America,5,5,68.0000,59.0000,38.0000,30.0000,16.0000,43.0000
Lima,1,3,176.0000,137.0000,79.0000,97.0000,41.0000,96.0000
Zarate,4,2,41.0000,3.0000,20.0000,21.0000,,3.0000
La Bandera,8,1,41.0000,115.0000,22.0000,19.0000,56.0000,59.0000
Centenera,3,3,12.0000,20.0000,10.0000,2.0000,13.0000,7.0000
Zarate Brazo Largo,19,4,74.0000,69.0000,37.0000,37.0000,25.0000,44.0000
Lima,12,5,351.0000,516.0000,126.0000,225.0000,154.0000,362.0000
Olivos,16,6,38.0000,151.0000,38.0000,,65.0000,86.0000
Maipu,17,6,44.0000,192.0000,41.0000,3.0000,69.0000,123.0000
Bonpland,7,7,185.0000,336.0000,123.0000,62.0000,151.0000,185.0000
Bulnes,11,7,32.0000,221.0000,8.0000,24.0000,50.0000,171.0000
Zarate,21,7,4.0000,5.0000,3.0000,1.0000,2.0000,3.0000
Floresta,1,1,11.0000,55.0000,1.0000,10.0000,9.0000,46.0000
Parque Sarmiento,4,1,17.0000,26.0000,10.0000,7.0000,8.0000,18.0000
La Carmela,5,1,87.0000,81.0000,55.0000,32.0000,45.0000,36.0000
Arroyo Seco,8,1,1010.0000,2047.0000,603.0000,407.0000,1187.0000,860.0000
Las Heras,12,1,25.0000,38.0000,7.0000,18.0000,9.0000,29.0000
Del Tejar,7,2,182.0000,328.0000,152.0000,30.0000,165.0000,163.0000
Maschwitz,14,2,13.0000,,4.0000,9.0000,,
Lima,18,2,755.0000,811.0000,340.0000,415.0000,278.0000,533.0000
Laferrere,9,4,66.0000,136.0000,34.0000,32.0000,51.0000,85.0000
Trelles,3,7,7.0000,30.0000,2.0000,5.0000,6.0000,24.0000
Cabildo,11,7,19.0000,45.0000,9.0000,10.0000,14.0000,31.0000
Villa Allende,3,1,3.0000,17.0000,,3.0000,7.0000,10.0000
Pilar,12,1,52.0000,69.0000,29.0000,23.0000,33.0000,36.0000
Emilio Castro,13,1,14.0000,28.0000,9.0000,5.0000,3.0000,25.0000
AUBASA LP-BA,19,2,183.0000,272.0000,64.0000,119.0000,107.0000,165.0000
San Isidro,19,2,56.0000,156.0000,24.0000,32.0000,59.0000,97.0000
Floresta,0,3,9.0000,27.0000,3.0000,6.0000,4.0000,23.0000
Gral Paz Provincia,2,3,55.0000,54.0000,27.0000,28.0000,20.0000,34.0000
AUBASA BA-LP,15,3,267.0000,408.0000,111.0000,156.0000,119.0000,289.0000
Ovidio Lagos,7,4,75.0000,374.0000,28.0000,47.0000,167.0000,207.0000
La Bandera,7,5,155.0000,356.0000,67.0000,88.0000,182.0000,174.0000
Alsina,19,5,30.0000,78.0000,10.0000,20.0000,24.0000,54.0000
Dialogos,18,1,59.0000,151.0000,34.0000,25.0000,81.0000,70.0000
Florencio Varela,4,3,22.0000,26.0000,,22.0000,17.0000,9.0000
Alberdi,6,4,34.0000,,10.0000,24.0000,,
Fisherton,22,5,9.0000,112.0000,5.0000,4.0000,28.0000,84.0000
Mitre,12,7,,,,,,
Ovidio Lagos,2,4,6.0000,23.0000,,6.0000,6.0000,17.0000
Mitre,8,6,,,,,,
Gutierrez,18,6,72.0000,223.0000,38.0000,34.0000,108.0000,115.0000
Congreso,16,1,44.0000,140.0000,28.0000,16.0000,12.0000,128.0000
Parque Sarmiento,5,2,44.0000,38.0000,28.0000,16.0000,12.0000,26.0000
Ovidio Lagos,23,3,6.0000,49.0000,,6.0000,2.0000,47.0000
Mitre,0,7,,,,,,
CORS EVENTOS,20,5,2.0000,,,2.0000,,
El Arco,4,5,34.0000,38.0000,8.0000,26.0000,10.0000,28.0000
Maipu,6,4,61.0000,92.0000,54.0000,7.0000,45.0000,47.0000
San Isidro,5,5,51.0000,95.0000,44.0000,7.0000,57.0000,38.0000
La Bandera,5,1,7.0000,27.0000,1.0000,6.0000,14.0000,13.0000
Luis Viale,2,3,22.0000,20.0000,11.0000,11.0000,4.0000,16.0000
AUBASA LP-BA,2,4,51.0000,22.0000,26.0000,25.0000,4.0000,18.0000
Amanecer,3,5,27.0000,23.0000,4.0000,23.0000,8.0000,15.0000
CORS Alem,10,3,250.0000,,142.0000,108.0000,,
Rosario Sur,12,4,10.0000,,1.0000,9.0000,,
Lima,18,4,736.0000,782.0000,324.0000,412.0000,297.0000,485.0000
Arroyo Seco,3,5,286.0000,158.0000,168.0000,118.0000,84.0000,74.0000
Del Tejar,11,5,53.0000,277.0000,35.0000,18.0000,86.0000,191.0000
Lima,20,5,334.0000,365.0000,137.0000,197.0000,115.0000,250.0000
Gutierrez,10,6,143.0000,307.0000,75.0000,68.0000,108.0000,199.0000
Zarate,18,6,37.0000,32.0000,25.0000,12.0000,18.0000,14.0000
Laferrere,6,7,74.0000,123.0000,33.0000,41.0000,64.0000,59.0000
Zarate Brazo Largo,22,7,24.0000,22.0000,6.0000,18.0000,10.0000,12.0000
Amanecer,20,1,18.0000,68.0000,6.0000,12.0000,23.0000,45.0000
Lima,22,1,266.0000,234.0000,91.0000,175.0000,88.0000,146.0000
Arroyo Seco,20,2,373.0000,348.0000,182.0000,191.0000,185.0000,163.0000
Boulevard,1,3,3.0000,11.0000,1.0000,2.0000,2.0000,9.0000
Buen Ayre,6,3,685.0000,317.0000,411.0000,274.0000,173.0000,144.0000
Anchorena,19,4,,,,,,
Bonpland,0,6,42.0000,110.0000,20.0000,22.0000,28.0000,82.0000
Lima,17,6,1038.0000,1109.0000,415.0000,623.0000,381.0000,728.0000
Florencio Varela,1,1,31.0000,103.0000,10.0000,21.0000,37.0000,66.0000
Quilmes,20,1,22.0000,43.0000,9.0000,13.0000,11.0000,32.0000
America,13,2,42.0000,203.0000,18.0000,24.0000,37.0000,166.0000
Villa Allende,21,2,19.0000,37.0000,4.0000,15.0000,11.0000,26.0000
Lima,16,3,653.0000,770.0000,240.0000,413.0000,185.0000,585.0000
Florencio Varela,9,4,139.0000,425.0000,89.0000,50.0000,229.0000,196.0000
Fisherton,1,5,14.0000,51.0000,8.0000,6.0000,13.0000,38.0000
Las Heras,6,5,128.0000,252.0000,56.0000,72.0000,120.0000,132.0000
Alvear,21,6,51.0000,194.0000,20.0000,31.0000,68.0000,126.0000
Pilar,22,1,10.0000,29.0000,6.0000,4.0000,17.0000,12.0000
Ovidio Lagos,18,3,13.0000,242.0000,1.0000,12.0000,21.0000,221.0000
America,11,1,56.0000,238.0000,30.0000,26.0000,54.0000,184.0000
Bonpland,4,2,42.0000,87.0000,24.0000,18.0000,47.0000,40.0000
Pilar,14,2,29.0000,92.0000,23.0000,6.0000,37.0000,55.0000
Las Heras,8,5,132.0000,327.0000,55.0000,77.0000,105.0000,222.0000
